                    ctW                 ctp                 cpQM                ctei                ctli                cQei                ctZ                 cQlMi               cQl3i               ctG                 ctlTi               cbW                 cpQ3                cptb                cpt                 ctlSi               
MGStart             -8.303849           64.337172           45.883907           24.328689           24.43011            23.757944           -6.093077           23.951426           21.540499           -3.609446           21.809598           49.595354           -51.106621          136.133729          -43.552406          -20.005026          
rwgt0               -0.203408726054     26.0977250404       -7.21032746419      0.575639475059      3.42473779103       1.62204138177       -4.42237446773      9.92229531056       -4.12007339077      2.31756299968       -2.09220939971      0.322914497433      2.73172339779       -11.8687847495      -35.1940504416      1.07424285965       
rwgt1               5.56334108702       61.182907251        24.1913233057       6.96669320509       -1.83054224629      5.72448111454       5.68172122146       -4.58627714138      7.18926027043       -0.242509143755     -2.21560733013      3.83514829389       -13.1429209513      0.697057895746      -34.3121127288      -7.99327706046      
rwgt2               -4.57714010636      46.3537009406       -9.08249917956      7.37761970716       -6.10910440096      5.85249571432       -5.98046380772      -1.44737439259      -6.87546397098      -2.37216379759      -1.49020199929      6.82851138902       -2.54683707714      -1.63190075859      -3.61026782744      -12.7807184746      
rwgt3               3.70774731038       32.660027911        41.8934511115       -2.55513260687      -3.70109834892      -1.14392358677      1.36989947051       -8.30753477486      1.30015139322       0.336857800249      -0.885970868094     2.8303922687        5.7440913886        1.76262563815       -10.6547067712      -0.515942430045     
rwgt4               -3.7770868295       19.7765900225       37.4236299181       -3.33501900527      7.80552836608       -6.32599342738      -4.75059470635      -7.23785698026      9.10886878562       -1.04039806788      1.39792679238       -3.55766670997      -10.2849916117      1.69782636292       -28.8194664663      3.16793454489       
rwgt5               -4.1530894235       59.7718465539       40.5379835361       -1.72411239315      8.09141759325       1.50060032864       -3.32260046211      -8.43693329968      -9.74725426993      -1.88880812864      1.58757001747       -6.26299986683      -14.0990508215      24.5720612822       -21.1012280012      -4.39998104347      
rwgt6               2.41289766322       24.1223233198       11.4230810056       10.3238175728       9.98864839305       -0.0808429372996    -1.02549253346      -3.52448980673      9.14860389756       0.407518361097      -0.578417290964     1.21472305494       2.24608020763       20.1771112613       -4.11966427464      -8.18207426811      
rwgt7               -2.73987704298      -15.3307331139      15.7850565604       -4.27835398757      9.2722924083        3.45092262642       -5.3585986035       -6.65318566891      -2.99696563335      0.107085519773      1.65363497917       -6.64145588407      -1.69107875329      -8.41583387169      14.0325796954       -0.827418777428     
rwgt8               -0.159068344191     -16.4778138993      31.1611687016       6.36853594628       -2.67977603189      0.0272087989009     -1.48020584922      -7.1664218736       -0.184498487892     2.6761701302        0.0272484616801     1.49815367013       -3.05322742193      -20.7952760337      -6.50793908806      -9.19909827801      
rwgt9               -3.31713429417      59.1961653885       20.4796743403       5.56710236192       -8.56309350163      0.234516278695      3.58433582998       0.993288694591      10.4790909918       1.29987362156       -0.710130992936     -2.96846065248      -4.22176638619      -8.34814182612      2.38954072323       -3.92035841109      
rwgt10              -1.97213650613      10.9027397246       34.911200029        -6.13973260797      -0.445747257622     -4.78275381267      -0.725081855797     6.5461536692        -7.05891607292      -1.06407392582      1.05108314842       6.86516321413       -10.3345682025      6.44585795534       7.69319824661       -3.75190913026      
rwgt11              2.60021715852       18.7606100811       2.91639290556       7.60115527348       8.58581905435       -8.7211190753       -1.10282737049      -1.63807734651      1.77149878021       -2.28533544797      2.59975196824       1.00372301002       5.38956793007       26.9473003946       -2.06772570818      -5.67769013888      
rwgt12              4.3710094118        32.1233683735       26.4605302761       -3.82849316508      6.1601861492        6.98305959265       -2.23355765608      9.60172123652       -2.47916672663      2.49305285625       -1.61304346694      2.94872809371       3.3157092567        -13.9676243203      11.4690641292       -11.8655758792      
rwgt13              3.20786353688       14.1722009386       -4.34400901519      6.26017617672       1.60894243948       -6.20519738947      5.21759941021       1.62605631906       3.65301279447       -1.42889543044      1.0833725775        -5.85818436433      5.03839887495       -0.742496709839     -34.2340553742      6.23487919718       
rwgt14              2.96489673749       -7.60034654441      29.8010754422       -5.11464613252      7.09258329473       -8.49989890603      0.232055064296      1.71281107634       9.99043628785       -2.74850349933      -2.07716921415      2.09028817175       -3.07179987316      -26.4857948536      -25.6047741406      5.21329978525       
rwgt15              3.03347205463       -14.8778963737      8.10753461919       -8.20695633157      -8.03850721996      -6.71574731641      -2.00936250136      -6.35201520675      -4.1208626626       2.94850811406       1.90375731292       1.73767731949       -8.05901837092      0.973996301544      14.2987865043       -2.91623648749      
rwgt16              -2.542719006        24.4076127467       35.635057108        1.76328364107       -0.142376153968     0.420272337706      -4.26060640001      9.47761339328       -6.47259503828      -0.453100270872     0.23592340321       -5.32464710662      2.93893961645       21.2379975055       -0.700869436232     4.22980626737       
rwgt17              5.94522381957       -5.88860738085      13.5847461126       7.21983695918       -2.39312366186      4.47376045438       3.14271439844       -3.58882435708      -7.31744081687      1.89482296376       -1.45170681179      1.10211984405       4.39643052273       -4.97272101545      -21.6645935522      -1.6243544228       
rwgt18              5.68094226465       29.2676143891       -4.31023696912      -0.0326486509354    -7.37456718349      3.50126929269       -1.65439077346      -6.49979185288      -3.43986524693      2.28194531957       0.264183877118      -7.27282966567      -8.86782651203      -22.3660092478      14.8959036574       -4.60221088513      
rwgt19              4.31336935826       -8.87215294465      26.0369023819       3.300262069         -5.6331300997       -8.12767647687      3.02447966216       -2.08980279242      4.14375390931       -0.843268326672     0.252341472301      6.57028596297       -3.5401925324       -22.1776398828      -16.6265176565      -10.829104741       
rwgt20              1.79435395778       35.1805426113       -4.90271263615      -7.73767898901      -1.5279951921       -7.24402724204      3.06320594398       4.65544966454       7.85828880811       -1.27075170967      2.28580720155       -2.70618872444      -6.44065137875      -6.57057173133      8.27722491609       -5.51079949056      
rwgt21              -2.53994474371      10.2897518524       39.7626300437       2.00360739138       8.17112406041       6.32931155951       4.34485650299       -6.83356153801      9.01622888571       -1.5607832858       -1.20586151256      2.05392375404       -14.503718808       -25.9287113964      9.00758396926       -7.27651359459      
rwgt22              2.25196605098       11.6412670895       -10.7714158218      3.2631123029        1.43928767319       7.95118303773       -3.86228406376      -4.38253627614      -9.38592418909      1.60652065533       -2.28373506667      3.27122059285       1.62517488508       1.74408032681       -31.0598372388      -2.79257620152      
rwgt23              0.259203779673      -5.51507259477      -3.70017479564      -6.06231490806      5.71562967515       -0.95588288465      -2.1902167998       8.13501492957       -2.44036277891      -0.931956547003     2.95650745974       -3.30726255949      -14.7196598775      -26.5094511608      12.628487278        -8.51399727535      
rwgt24              -2.79102129747      26.7783123627       33.7020399721       0.75108822786       0.795456613151      1.06591968128       -1.19067356134      -3.7588827932       2.48743278328       -2.5954236136       -2.1404102318       -2.9554895578       -1.66114791287      15.8687131822       -7.01750094374      -11.8808440691      
rwgt25              4.80849839989       10.8809929369       38.0028224544       2.2326277446        6.87471420474       4.87888753666       5.00945701744       -3.10297662979      -8.59018912622      -0.0407489376773    0.716848908958      -2.2761516237       3.72995694583       -3.68669735908      -25.9265834336      2.51771688786       
rwgt26              -3.85963415877      42.7689463314       14.0085220137       1.16029151728       1.34601200665       6.06746082389       -2.14962216119      -0.629359232294     -11.1371699261      -1.7563006329       0.0269809507331     -7.2595491958       -12.0200147935      -20.0233379833      8.09915765202       11.4646281781       
rwgt27              -5.64310733697      43.3594312336       28.3472486463       -6.91850783958      3.20389876186       3.05484538612       -3.07405940115      -1.92163990943      -6.29961341652      -0.273313630595     0.20193925262       2.72723233228       -3.43667116364      -12.2068606893      -6.42353251771      10.2944706107       
rwgt28              -5.12771601903      -10.9322781506      1.59516305041       1.73669759256       2.84597402569       -8.64490382743      2.27679361679       -0.637423198056     -7.73264516818      -2.35014817123      1.91327385395       -3.64130648249      -13.3894451661      0.329253251269      -24.4822761498      -12.2984754577      
rwgt29              4.03174808409       22.7885251678       33.5551121394       1.78980257432       9.17703305694       -8.49686117971      -5.85775574809      2.43098414689       5.1647092218        1.24580952635       -1.99760703163      1.24429687618       -1.17984609439      -17.0000752766      -32.8135120081      -11.402337056       
rwgt30              -0.35950042993      44.114146456        19.1921199767       -1.12821949572      8.11362574455       4.68815842515       -2.76507794337      -7.7443591546       -6.19070019377      -2.01863925104      0.379737215689      0.569596648551      -4.05993352147      -9.921912657        5.45529634476       9.35895325898       
rwgt31              4.98361553969       44.4375581252       -7.41642630623      -2.30493619738      -2.08098799054      3.437993986         4.12025302553       4.20466060325       -2.13028241125      1.00490942907       2.26297954279       -7.08319835049      -4.89751127786      3.17858483287       8.95881199745       -1.59290266723      
rwgt32              0.885759307709      -3.14115447324      29.0211908262       -8.52879996168      5.39513601881       -7.15007135435      -1.06139610313      -7.71385188439      2.53647095395       -0.377140874587     -2.73983452656      -2.85568219435      0.640810499343      26.6260380945       -19.2559764842      -11.74216081        
rwgt33              -2.79478074902      14.6406849902       19.8647681554       2.18129817751       -1.04187727872      4.44300168607       1.04119273274       -0.883950124039     -6.35242726864      2.86520000586       -2.87664314322      2.81214859476       -0.168991861423     -16.147924492       16.0683491022       7.48463109172       
rwgt34              5.89400200078       5.92562285314       16.1660498786       8.40627319414       -1.88703770862      -3.76455909696      4.5299164716        -8.89355384449      9.59857824728       1.10851361072       -2.68752365616      -3.08583325096      -14.3535026966      19.7389831738       6.80777783497       9.99611120728       
rwgt35              1.70040454705       7.79997855109       -0.746694362017     -3.00005746604      1.76196116545       -2.91707101024      0.54266472725       -4.58193350827      8.39088819813       1.62037546715       -2.52685504822      4.30399245249       -5.04214881503      -2.23781219416      -31.504736256       -7.46220302328      
rwgt36              -0.107915839546     20.6084789455       10.427061431        2.83344841637       -8.45655966301      -1.0992087315       0.21871209792       7.3533842594        -8.28732176705      -2.24178531002      -1.75158811969      -2.79608014584      -8.57643506233      -26.6549213582      -30.5431046841      5.16514851841       
rwgt37              -1.19018208345      -13.3242812436      -9.99336864428      -6.41563678856      6.73462027898       7.54042167834       0.514302573266      8.55180306544       -6.77081302979      2.39428263349       0.257482348408      -2.5443687291       -8.69155180748      3.41488677385       1.6540138481        -11.9392831905      
rwgt38              2.28513287604       49.9371263579       27.4966720923       -1.32011139022      9.46513001558       -6.18484555394      1.73427860822       2.94005477234       9.11240056001       1.28877909668       0.795361344011      2.25519099836       -9.57203755106      12.7704471154       -33.1465080197      2.13261651013       
rwgt39              3.9980382877        26.0000341296       16.4946019665       8.12136708581       -0.76864215044      -4.2159366112       -5.72850722859      -2.4260747483       -0.72137908352      1.93863634003       0.0318926671014     -3.89090786288      -12.6496583725      3.21556481471       -9.26891171821      3.04795441534       
rwgt40              -4.7303914078       49.8610880433       38.9759738872       8.78037510923       -3.3106324055       -7.71671839695      -2.62373024527      -1.78996838592      7.6005529538        1.93876323509       2.2753237112        0.651257195389      -4.57829192833      -15.8120553777      3.90704140958       -12.9573188681      
rwgt41              3.34989387768       17.8050391263       4.71773766789       1.80281094367       4.36152044969       -2.13861473698      5.89039940531       7.66142033913       2.64554556062       -0.194607695813     -1.92304084288      4.78882969235       4.01259550671       17.3778858647       14.6061953368       2.31258371722       
rwgt42              -0.935940244323     27.6535078552       4.94383539537       6.81533638325       2.818911254         3.33106194044       0.612727333601      6.44473916101       -0.927401139184     2.24719922814       1.79763118115       4.71654426498       -10.1816086141      -21.0901303478      8.04126687639       -12.0881572472      
rwgt43              -4.66816004494      -0.12564220146      5.16174572055       -2.937706152        -3.13561013209      0.210534145746      -0.0690478459218    5.46036508937       -5.23290676694      0.692183908708      2.03189713864       6.93445545742       5.38408511136       1.08505162004       10.9034438014       9.37129490574       
rwgt44              -5.08904310778      26.6201031387       23.1840226763       -5.76220957464      -3.97396646587      6.25476069853       -4.97097012621      -0.548242368081     -6.7897501978       2.57702941659       2.07845220633       5.8738757942        4.4039859296        8.71064816152       4.61386684204       7.76920976149       
rwgt45              -4.93017786936      48.5054106383       31.3116915981       8.60423993766       1.39387465973       -2.7778144094       2.4400781118        0.354017297284      -3.5672341485       2.83624283038       -0.0623698214657    0.767381744448      -12.3817231125      -4.03832008406      7.01759342746       11.491916779        
rwgt46              3.78022458362       29.3891681341       26.3564002272       8.70297612892       6.74892247729       3.3688851523        -2.61573533957      8.63043723          -1.27585300043      1.4349036932        -1.99220595745      -0.175662701511     4.64878099585       25.8210075823       14.4228189371       8.19700171118       
rwgt47              1.08590914358       -9.52231987239      24.1633861763       6.64897381361       -7.85667295096      8.55912349609       2.51999266645       3.74195481988       2.16776986749       -1.43379850103      2.9424641259        6.65396261307       -10.7703562947      3.88200378836       -4.32250750168      11.2804989969       
rwgt48              -1.1597510362       8.45312796883       37.5009421675       2.28663856344       4.7600512683        -6.73707996911      4.55555719984       0.0368195829108     0.539210313789      0.197289247783      -2.5894221375       -5.56216719042      0.108624600834      13.2486153995       2.10855223098       8.90154408547       
rwgt49              -2.88184275731      -16.3875785696      40.2977587493       -6.08959460163      0.223665279885      -3.97847328176      5.31925529358       -6.23666550668      7.18846039165       -0.592258369128     -0.600585458461     2.79537473862       -1.98781759197      -21.9729235496      17.9555780669       5.35809052872       
rwgt50              -1.18371427577      24.5896619217       -2.54630226768      -5.8160986807       3.89464398209       2.3987490938        3.67003983115       5.54451598879       -1.55434846323      1.02911214036       2.10136551887       -0.150994881521     -10.8846853398      -8.30901208964      -10.3607930692      5.60310204202       
rwgt51              1.36418615628       -8.19899360763      -9.08854482301      7.72019804073       6.83126534319       3.95599901394       4.11852743173       -3.51129421892      -9.98047069719      -1.99786914038      -2.23576244676      -0.936321349915     -4.55727036348      15.5500573899       -8.2955049765       11.5556664597       
rwgt52              5.24745422323       6.08405647877       24.2570015958       0.172761857931      8.0916543404        2.70340402924       -2.39502174694      -1.73357437828      -1.48003308698      -1.47595632155      1.21269869841       4.72482402574       -2.51430965119      24.0515387755       -32.2698100343      4.88163399734       
rwgt53              0.553056960848      61.349453979        10.1586760695       0.103874950957      5.22124177011       -3.54952624909      2.43835298123       -7.44807358562      8.88168341161       -0.459544914221     0.39500473266       7.44409618986       -10.8617841622      8.82700674863       -12.6651553374      11.9644445391       
rwgt54              -2.79367177391      52.6467444064       -0.707601520102     -8.4553358958       -3.14535565371      7.60154977978       -1.33418476564      -3.32808694714      -2.11540399742      -0.352455257228     1.71097888025       -0.247459773602     -1.04100474569      25.7216795836       0.111748901509      -7.01831544551      
rwgt55              -0.236731686402     48.283209939        -3.16617073686      9.55151856577       -6.65701011973      -1.80025174782      -2.01734344849      -8.02347121971      9.62471291341       -1.56017719835      -1.71099447782      -5.52627045201      -5.37758897342      7.19821924955       -6.74628429505      11.8909402053       
rwgt56              3.40624497164       34.543552247        -0.845053808233     4.55669057018       6.03302723075       1.81994291111       -4.20231584403      -7.89044965864      10.3720912954       1.07782903225       1.63725386456       -4.27106031814      -5.3170498592       -17.4664680876      11.5829649106       8.82300593819       
rwgt57              4.91057771568       29.6774936096       -0.547754473106     -7.41151083158      9.48351932599       7.75464190351       2.08021684741       6.27405492546       -4.17942658389      -1.10572246251      -0.852769124491     5.11590005924       4.83669114142       -26.014086767       -13.2775166397      2.39791414234       
rwgt58              -1.68794349444      53.2214748014       6.81572386047       -5.26153018144      4.94887925492       -2.77931142482      3.26265572728       9.73236956957       5.5860166692        2.35774221565       -0.211155284403     -1.28843925389      -13.6733697368      -9.89845364173      1.0452419556        6.96643092547       
rwgt59              -5.4320629781       -4.69525863146      -0.314345198583     -4.93263478154      -8.44171596155      -1.39780658926      4.87184352227       5.7731755375        -9.6836477975       -1.42792834333      -2.20358470044      7.22293077396       4.20184836718       -6.68655947836      -28.9175567135      5.05246957576       
rwgt60              1.8427700582        54.1809833407       38.4987245189       -5.60748302468      2.0787798221        -7.34039367909      -0.37235006917      -5.78249380051      -0.64976758763      -1.66763340876      2.86801418702       4.03273207964       -8.69568967372      -6.42674803966      18.0074909591       -6.95694451753      
rwgt61              -0.941876894503     50.5165227762       -5.87759429415      8.06701097815       6.8511508384        -8.29531336947      -2.64924477822      -5.73120292609      2.36145311277       1.06832486798       2.47042677094       2.87546345426       -0.703865846074     24.488975891        -33.6682093709      -8.40513184354      
rwgt62              -2.70204152616      -8.04504505673      35.0588728295       -2.90266855591      4.3616609606        4.89484008108       4.5508500506        -3.86168104151      0.855739196293      -0.97941507675      -2.8933893353       4.13589141914       5.08522158524       14.3673120922       9.80755459392       -13.2443358287      
rwgt63              -3.32749320779      45.6330223043       -9.84238127922      -3.91332501995      -4.17743060189      -4.01036363264      4.30773827776       3.69995498335       -5.27781963765      -2.80766876116      -2.8820106478       -4.59508689878      -9.04037580371      11.2166889485       0.80035559364       -3.31750765929      
rwgt64              -4.65547714626      59.4016129728       29.2648070518       1.77309925431       5.40873903549       -3.89340536827      3.91132279468       -1.23923027441      1.91854289348       -2.21316945505      -0.353724639787     -5.64208300929      -12.1151359853      7.75398874254       6.28844234893       9.55383259416       
rwgt65              3.18344217921       56.0279481259       16.0736722271       -7.59642569084      8.50251278752       -1.1930714288       -5.98211040093      5.2316045258        -0.210836106312     -2.81346760367      -0.290163741385     -1.77128309133      -10.5772273893      22.5303700812       5.99663819534       7.69156662917       
rwgt66              -0.892594066314     19.6087395869       6.34588122916       2.01622955001       -6.78851928571      1.47207024166       1.11144516483       5.17431711028       -7.47344187017      1.40965936873       -1.6096891622       6.86038411127       5.31375123245       12.2674029337       -31.1853684407      5.39793528433       
rwgt67              1.38238091001       -0.48224582062      16.2044641953       10.0848896448       2.63628604496       5.43860115802       3.38375671479       1.75420921523       -3.11571175477      -0.105527873303     1.21224433734       -2.53133286323      -9.44482125283      -9.06315725898      3.47768139133       -9.31299467185      
rwgt68              -5.03178004031      -11.6512687574      7.96804531932       7.17380549111       -1.81904162223      -1.22500180326      -4.61863570673      -3.76093821325      -11.37464548        2.65070621287       0.809689015879      -3.55077713347      -8.5914714818       -24.6404394577      -30.1339284027      0.21627282197       
rwgt69              -1.42164866374      40.4552989729       8.24041426557       1.38249303204       -1.97001404923      1.26430492404       0.736770367402      7.02096562393       -2.12692238599      -1.43261778763      -2.17645060074      -0.919206210872     -4.73105925177      -16.5816592647      -28.2087961285      -8.20870708495      
rwgt70              2.70839491804       15.0750122518       -5.0133536211       -0.779990315286     3.53645544896       -1.16381697808      -5.5902611139       6.57480723028       8.2301774409        0.995509000525      -2.08747348998      2.97476826096       -7.74117574356      -15.0757451806      12.0632112568       10.7062565028       
rwgt71              5.57606908345       60.8744906205       12.4125611019       -3.30756990672      4.75284747882       7.56784318381       1.10462371987       -5.15755060237      1.51171143169       2.20654835813       -1.80306891036      -4.27326894895      2.42584619167       12.4887501216       -7.56188223888      6.29654010752       
rwgt72              -4.03675658928      51.8165093284       25.3204991574       -1.33025639701      3.9484855074        5.31715666875       3.33605346655       -0.069374003698     2.05326521324       0.258470279052      -2.63003305555      4.64400673644       -5.44931967018      24.9439860448       -24.8356305219      4.31643501275       
rwgt73              1.95228481485       -7.11433790049      10.4493770376       -4.45930091563      -3.25771579557      7.15003309512       -1.34078890161      -5.54732983198      3.34111783517       1.26008749344       -1.59268009649      0.999547803853      1.64222548972       21.3205320891       -32.2493473238      8.06967686214       
rwgt74              -4.07238461904      15.6168103759       19.3159021387       -5.14320052828      1.48546850704       0.149033967728      5.16551674467       6.04689783742       4.20885638862       0.866913013234      2.03744774813       1.66287724878       -9.9005434399       15.2577507991       9.85684573547       0.47132768489       
rwgt75              -3.74576233009      -3.64901609517      25.8678883053       3.96236809682       6.59123697791       7.13479203002       5.01989735633       -8.48263948508      -5.95680968798      -2.00180893821      -0.461940601461     4.29920582952       -5.23604096753      15.2971445499       -20.4601366589      -5.65862459172      
rwgt76              1.15522703897       -12.9857206167      2.76371039763       -1.69336997263      8.08852378572       -7.84607618098      -1.55194014292      3.37893526469       5.36968520895       -0.151555594699     -0.429346333565     -6.19453209252      4.69689223285       -8.25246971627      -11.0185946596      4.58457747675       
rwgt77              -3.95950120223      14.5219205626       28.4436449274       7.89874198796       -5.65885200297      -2.71381590491      3.80508220913       -2.32290182097      -5.92374838937      2.80695048375       -2.4354401308       1.75774751035       -8.58686082497      -17.5945262009      -0.0992148127117    1.7033009926        
rwgt78              5.50892299274       -0.33496350236      7.58940327709       7.11276555124       5.42428349706       2.61284317395       2.68639998396       -6.31669954578      -6.09020859487      -1.33337419202      -0.601885940797     0.411655763818      0.4866921875        -24.0954832479      -15.423010527       -5.94776326361      
