                    ctW                 ctp                 cpQM                ctei                ctli                cQei                ctZ                 cQlMi               cQl3i               ctG                 ctlTi               cbW                 cpQ3                cptb                cpt                 ctlSi               
MGStart             -5.34559068461      -12.585169335       26.6588907321       7.64367065914       -4.63213579063      6.65052013283       -4.46904826915      10.1569017782       10.0079626695       -1.90994730922      -1.80521588799      -7.441616816        -9.4390611729       22.6848651139       -27.3587665662      8.22526910997       
rwgt0               -2.13487709201      12.4546631456       22.6422045218       2.45589976861       2.48292343619       -1.01744227508      -2.55589516274      0.602409744984      -11.455495187       -2.03233106072      -0.124200466836     2.72917099573       -12.5879444338      10.0559745576       -13.651178019       1.61246552106       
rwgt1               -1.67133860839      29.6018326972       4.64871983176       -3.85064041103      -5.40913405654      3.85989232866       -3.08498739524      9.30410888925       0.137293361786      1.43804780808       0.820458313347      3.14431501673       -2.71159269436      -13.2520711332      -31.4477794287      5.55082033761       
rwgt2               1.5949888735        -6.15269842245      24.6480124881       -8.69948121444      7.46670121772       6.77641694761       -1.182250999        10.0795039576       -1.98715108383      -0.239979834922     -2.44229642919      5.01690770556       -12.2250270749      -21.6854899809      -6.54619579062      1.97259464131       
rwgt3               5.15433866813       -3.67413550276      4.07047269392       -6.39237477299      3.20408900382       0.748484004723      1.43656913637       -5.50220961297      -2.81232993513      -2.2957541653       1.82110074038       -3.01233364794      -12.0112562233      10.5586448037       -6.34021377743      -2.69866483123      
rwgt4               4.48152526627       32.0134695804       27.6796069969       10.0258210054       8.85588642547       0.49061069983       -4.19787332426      8.61629653929       -1.90337211907      -1.43381561525      2.09923707611       4.12025881747       1.36838886117       -16.9304746714      -24.8409738195      1.32544916691       
rwgt5               -5.90947698884      -14.2476527969      12.702280138        -5.44804869033      4.42852251911       -6.57414790832      -5.10028904314      8.78885023768       0.845063163204      0.753550290801      -2.21808267005      6.82536166603       -2.9467412183       2.68151855572       -32.090047915       -0.0189365218094    
rwgt6               4.95309067041       42.127824682        39.9137721401       -4.63504957723      -0.946939228693     -2.46588510529      -0.355647997985     -8.23713435216      1.99116660214       2.48707836936       1.36916424243       4.66223424447       -7.65164253228      6.11184717837       -8.76546154868      7.34224016327       
rwgt7               3.41743254575       41.0497581792       32.998757699        -4.09963795863      -6.26809620936      7.39858096799       -5.65917557159      10.467939635        -7.64371778023      0.301426386965      0.0161230773732     -4.8584603302       -5.45339119501      4.2857963238        -35.0510832054      -2.35143847928      
rwgt8               -0.596479457172     -0.780328241357     13.4766084068       8.75673156109       10.2439237042       6.14429948771       -5.52110452087      -1.71826345237      4.41494325967       0.17743062884       1.65845199225       6.23413980293       -9.38998225908      12.8922662319       9.88582596777       6.71431962195       
