                    ctW                 ctp                 cpQM                ctei                ctli                cQei                ctZ                 cQlMi               cQl3i               ctG                 ctlTi               cbW                 cpQ3                cptb                cpt                 ctlSi               cQd1                cQd8                cQq11               cQq13               cQQ1                cQq81               cQq83               cQQ8                cQt1                cQt8                cQtQb1              cQtQb8              cQu1                cQu8                ctb1                ctd1                ctd8                ctq1                ctq8                ctt1                ctu1                ctu8                
MGStart             4.30618404525       55.4096812193       -8.00618359371      7.93522486935       6.58898314213       8.12719987446       4.76387752024       -8.88150630985      -7.17321892652      -1.69868035492      -2.23935892446      6.29252120911       -11.5971896152      -23.1474450722      -19.5211481751      -13.4368980233      49.2576013041       -61.0403377552      -56.3642125557      -52.0446501848      42.4293927226       60.1433207886       -46.9025902456      -58.3902539431      50.7716981046       -38.1100658118      48.6416081048       58.1902278144       -56.6868185891      52.5215957952       -54.3566276708      39.4304815644       38.1911642555       -36.6259819558      -40.847861902       41.2311998859       56.4496693233       43.310433419        
rwgt0               5.59204944317       -0.580149183388     -0.421121229608     9.34836034033       8.43382694608       -0.673371051202     2.52373737689       -7.94618548529      9.07095384609       1.43580514402       -0.940305615907     -2.78863897905      -2.83198208492      0.146678083432      -7.20391633837      1.09348104005       5.68148297342       -46.3843412853      15.8861284284       -46.9025271943      35.27338711         39.9923625822       -52.8716067539      -24.7532355895      8.12468637254       35.6562755344       60.485745917        -41.6190098928      -24.1061622524      5.12365902878       0.830900371535      32.8610947035       -57.5739645037      44.8809590832       -36.1190028909      -31.0009531492      1.50670451655       -24.9003899493      
rwgt1               5.79539659507       49.3775605446       14.8016541433       -3.34877644872      -5.37940155124      -1.84741523794      4.20894585927       -7.92140177916      7.95598151727       -0.644077419336     -2.56565258039      -1.52785086826      -14.6103991718      -1.00513299259      -25.4556835335      -6.96867451058      -17.5890245817      8.4231484504        -46.5837968462      -55.0920011844      11.4879393298       -57.2852395999      48.0956749799       50.2982828316       -21.1025811433      38.6989623094       37.8087662579       -23.635865563       -34.6372135932      55.1866401267       -37.0922894697      -38.5689940442      -45.4918097039      -25.1094124742      -18.4124675926      11.4426527881       -16.6148020033      31.5765205919       
rwgt2               -3.90501624541      35.8205279512       16.2032532522       -5.90984042606      3.31693645992       0.118560672903      -1.66371318176      10.3288550886       -7.91321035876      0.350066753321      -1.71795783885      2.85325054489       2.02165558652       12.2186381999       -21.3964970069      9.85499635431       56.1777319667       17.4460444302       -27.0819305729      -0.212165185        1.76590209078       -17.3676980835      -47.0851812062      -45.5356594114      15.2696688121       -19.2364668102      -4.18682492262      25.8756860088       32.3854800214       53.3107176342       -10.6328092117      -27.0396569289      -9.32399694534      -56.1548574803      -9.95866770524      -14.1186205203      -25.9393136405      -17.9239005654      
rwgt3               0.138786715849      11.6115233888       16.4995797095       5.67333947593       5.25433354613       2.96039931178       -0.103481939788     3.00498303349       4.80791441927       2.91553223622       1.27523269904       2.63080725735       -2.99252000486      13.7046229467       -19.7887298434      -4.36608014497      -26.304540974       49.4260418554       -48.9473791213      -32.7431521474      -0.800067710016     13.6071140607       -40.003970364       -38.0050249917      -60.5459018766      13.222616498        -33.5400265949      58.1686589802       -58.041769815       -56.1489118489      22.7991159235       -30.4847296227      -28.9872183522      2.1079910047        33.1715764502       -4.81034841723      45.022286026        51.0813691998       
rwgt4               4.32389492254       31.3492969108       4.27509516369       9.3783767966        -7.87289138568      -3.4383189149       5.19168230194       -3.53666865354      -4.16597122596      2.77734045932       -0.811532035724     -2.04456692472      2.43216978228       -7.77487662208      -12.7386133014      3.08559637704       14.4730039704       -47.8690557543      54.0562170438       58.0069246372       25.5814606088       17.3753253436       -46.2589194108      -4.10370662788      -42.441387974       -46.8862248548      0.131323921354      26.3508853186       45.3660642344       29.4420176188       45.272313487        13.7937798375       31.9283334302       -33.5796420617      16.3481768531       -56.606742601       12.9743765543       28.3495068893       
rwgt5               -3.39855310374      44.1141806034       -1.94781843942      -6.07486711363      -5.48430772542      7.45407327157       -2.02723253541      8.38074501569       -3.64081586054      -1.4985585465       0.6150716336        2.16455265062       -11.4962865973      -4.08282441401      -21.1224697433      6.22402487134       13.6733205481       -14.8446251156      17.9059940915       61.3991819448       37.9581601368       -13.1830676921      18.3073063088       -16.5731826619      -7.52321206839      -18.8978700139      -51.7381338719      -33.6176059241      32.488390791        10.495973158        -51.1548125593      48.4749525761       -43.3984325704      -35.5916211661      32.4451840225       2.88505152877       30.7675927342       -46.0587837704      
rwgt6               3.88286942927       54.1029764916       38.8129908954       5.54886521777       1.5166552493        -1.89689831133      -4.51400222809      0.787227325346      1.38182510798       -0.393403355407     2.90907771582       2.032095786         -3.86863891817      15.3813251077       -14.2125786689      -4.19952530115      -11.8241269824      -28.3216617958      43.786153594        -53.8854683757      60.0462534165       60.2296384938       29.911273932        41.0231221209       40.1089724563       -27.2810999618      14.940214715        -23.4861734581      -51.4622731184      -53.8781247854      11.0097211076       -33.8268809993      54.7607434709       25.1434694484       -48.3979854007      -50.7824354976      28.5490794007       45.8047026387       
rwgt7               4.26035705612       40.6991481165       28.1953601954       -3.29315625124      0.367293613878      -3.35459619673      -1.79759904882      -0.609495886649     -8.5846406569       -2.58183365918      0.562279384898      -1.17585571856      -9.05313394805      17.5587335431       9.61942656651       -2.1070994441       -36.7816630837      -43.0921919995      -28.5827641148      24.8378095698       43.3218101153       -20.3258137888      39.5493874413       13.664672682        -3.1926517916       57.0254303651       -14.8130909948      -38.5417481499      -17.1112235853      -3.56994392392      -35.2246332601      54.6002026069       -16.8747242578      29.3752460041       40.6904393266       35.8457091341       -19.3711047879      -37.9468244227      
rwgt8               4.08145313538       8.1935936439        -3.04192927544      3.36741975457       -1.22019996436      -8.6850629059       2.421676892         6.13603417835       5.9516526974        -1.50324977086      -2.63707747168      7.32220613384       0.418642120038      -7.60963723804      14.7088137971       7.70114010655       13.6185749257       -21.0772931578      -33.6841778587      -36.1797921136      29.0639719767       58.9049696667       50.3178119018       -59.8661075026      -3.53407283413      -46.7948048488      55.8316026059       7.92448301125       49.2250174006       27.6942987061       38.54328007         14.4407927446       17.3914215283       24.2430222255       -31.9260820678      25.2619373351       -44.3419527454      -9.40100648291      
