                         ctp                      cpQM                     ctW                      ctZ                      ctG                      cbW                      cpQ3                     cptb                     cpt                      cQl3i                    cQlMi                    cQei                     ctli                     ctei                     ctlSi                    ctlTi                    cQq13                    cQq83                    cQq11                    ctq1                     cQq81                    ctq8                     ctu1                     ctb8                     cQb8                     ctd8                     cQd1                     cQd8                     ctd1                     cQu1                     ctu8                     cQu8                     
MGStart                  -1.66                    100.0                    0.13                     100.0                    -2.07                    0.3                      0.71                     -1.35                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    0.05                     -0.21                    100.0                    100.0                    100.0                    100.0                    0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        
rwgt0                    2.85970738703            -142.546036148           0.0161122628601          -10.3235303003           -2.72432675174           0.315197366875           -1.2624982164            -2.42597119007           117.37873192             -145.028241803           100.480968511            -127.396979177           -38.2220212487           15.2910503427            -172.177005671           119.454661662            0.00791393871698         -0.0573149761658         -69.4463943406           -16.1346353877           -164.691179304           129.903669729            -157.976649963           -80.330412778            -117.263436448           -92.7435277582           -117.861874327           -38.2925753905           -169.118429436           -34.2533778537           -26.7998652866           73.6575148658            
rwgt1                    -2.40616830853           -9.07347009009           0.227207589307           -160.798301242           1.92721192587            0.0714632833953          -0.833476103432          -0.682859121056          -89.1715960172           -144.820233986           76.6028277506            71.075536257             48.9485857315            -64.0399435417           -133.629127066           -112.408272234           0.0211852838026          -0.344212994145          -146.173168784           -121.301815201           109.229391492            -101.708738452           166.576139325            -105.231454434           -11.901197092            -57.4133258035           -120.264271422           -49.2939912211           154.199894973            -124.37178848            -22.8289700489           -173.277015642           
rwgt2                    0.0403480011377          -44.5856084714           -0.0173122646095         -62.3297879278           -1.60932308376           0.306299772021           -0.0908795372858         -1.32623124359           -20.6949769901           18.1914925618            126.847448635            -64.735294049            -118.433422647           97.3326733477            165.174049886            -178.527071539           -0.0600969253318         -0.356857965794          30.7879444241            -47.414420356            -53.9477189474           144.090588               118.960290521            -162.968469527           -37.9838943014           -52.1563271831           101.476015923            58.1398224605            -31.7105434012           -171.176675598           174.486175989            44.6594346338            
rwgt3                    2.96714026097            44.8001899832            0.1658617679             66.7823245697            0.343692141606           0.286904742862           -0.870396544993          0.0115862045674          -151.782708707           154.848665855            57.3442671048            100.757075674            -38.7571199175           -177.671904204           169.593814196            -34.8108621246           -0.0680496847105         -0.211459440158          124.120939364            81.9535509333            -140.252046191           -109.650714802           137.711497797            -1.50328180309           -36.3281622707           98.8308583975            67.9279490794            -20.351251671            -103.861092168           164.499208378            -161.989779939           41.7189565949            
rwgt4                    0.771858705904           19.3648307334            -0.127675543189          154.68103063             1.71079836478            -0.470154637793          0.523126415699           -0.563211261614          -55.5211774757           32.2853524502            159.907875924            -18.5568745736           -147.762114793           -45.4744428976           101.774247227            44.4173455967            -0.0318228941516         0.115546232717           61.5808987875            90.8383300002            -101.359417539           103.197296786            -73.9363738626           44.4840632151            177.817913487            93.1510671636            -33.9623864385           -120.966527599           154.138171903            19.1003860952            6.92580801165            -43.4482806782           
rwgt5                    2.68627000413            -70.2262349564           -0.145092119263          4.38379048601            2.36380919578            -0.40674580831           -0.132402227401          -1.22178781605           19.5431187151            157.08546968             -168.173956003           -76.6978893068           -112.691156732           -68.4079461978           53.6064638894            85.9445365094            -0.0786483386164         0.232290724985           -69.9163772953           -56.5870710685           132.298535284            21.9816627181            132.499686667            161.201125179            -117.908656272           -137.112155793           -128.146594294           -18.1547635573           22.6313817962            40.089730311             -110.461476097           80.0651102271            
rwgt6                    -1.38566295727           73.1641744347            -0.134442213957          -77.4762041629           -0.890232235442          0.163911173255           0.49278800239            -1.77467467696           88.4260460628            100.834828096            -168.459614438           50.8334722063            -41.3994411928           -142.728059931           -101.118099115           -106.372739372           0.0672669629604          0.15782099105            -59.1933321974           -12.4358713011           12.3567645142            98.6728348026            -134.320399741           36.9541418482            -14.3278581062           12.5422410855            163.875115804            -135.405057336           -117.453716765           64.5493261976            -70.0413348208           47.4324014287            
rwgt7                    0.149401053329           -92.6822930703           0.0640631621972          176.234582054            1.23807149378            0.392065218726           0.423451005152           2.09481774968            -82.8010893688           -115.102116944           -152.622419585           95.7070511253            48.6204836767            -171.03108612            -128.889041779           -13.7876732329           -0.0883930564205         0.263767067142           -115.588711804           7.68073966511            52.7675503961            -39.8212252484           -50.3865137055           -164.336663173           40.4702202933            160.170571643            -10.6514698013           -34.7579392829           75.6513028892            -63.0471788355           61.186672752             94.550276184             
rwgt8                    1.10379579361            -100.565156748           0.22153442059            175.97004747             -3.30642780866           -0.0462241171574         -1.2309053443            -0.67981215479           -162.599945739           114.318598119            -108.769038344           -171.556318358           -104.20717331            -31.3699080422           -37.5708925237           -145.594752617           -0.0578919216971         -0.127406676148          150.809932309            130.153230408            -164.070617661           170.186474843            19.0777860997            123.697753359            147.42970228             61.5806109656            175.531253961            135.49447474             -143.833503273           166.134434365            109.038533045            -9.26069059857           
rwgt9                    -1.80725321369           -123.921971113           -0.0089950585278         173.865061708            1.9635274471             0.371976350283           -1.12986828644           -0.425448293091          -118.918292225           -153.91349107            87.7683419584            165.473510433            47.4282075783            -17.8027374833           104.022788316            15.3713799933            -0.0211697088357         0.346153139806           -5.83482790508           -153.041351786           113.185529703            -37.4788280809           -147.59053918            -101.860857053           -71.6441912798           -2.13227316652           -63.2834217543           -84.1208970584           162.617967574            1.13168816054            -116.214480033           162.724522212            
rwgt10                   1.67578449073            -82.0487046619           0.112181985125           -117.059790151           3.06236325762            -0.490512031916          1.16216410972            -0.855757042027          95.0460720613            -166.480324038           -83.7246659747           15.2584808563            11.1292680805            69.8831498304            107.078303181            37.0141400501            -0.036027966249          -0.104847853362          -115.629905024           109.46601314             -14.0080571709           -128.304061345           -141.314187452           -145.144078917           -34.3577379875           83.0152064053            123.843140413            142.479055921            144.675380198            -37.8782299809           94.0213162924            -49.2100494978           
rwgt11                   -0.258384390934          63.2375916162            0.14015671243            177.322511468            1.84997691797            0.0933154321337          0.836468403169           2.03858389715            -102.093549855           -69.9255132675           -116.917653158           -118.171624083           -166.268149505           131.102038855            111.250579408            -102.190713129           -0.0388703197158         0.210979967847           132.870262954            -113.587331466           -66.5173936434           -15.8267620498           -14.0567183723           -142.817743188           -159.352918151           6.49960914042            89.8238998418            165.17047643             -112.261046189           58.9955328869            82.7255681686            -97.1924839613           
