                         ctp                      cpQM                     ctW                      ctZ                      ctG                      cbW                      cpQ3                     cptb                     cpt                      cQl3i                    cQlMi                    cQei                     ctli                     ctei                     ctlSi                    ctlTi                    cQq13                    cQq83                    cQq11                    ctq1                     cQq81                    ctq8                     ctu1                     ctb8                     cQb8                     ctd8                     cQd1                     cQd8                     ctd1                     cQu1                     ctu8                     cQu8                     
MGStart                  100.0                    4.17                     0.82                     -1.76                    4.24                     1.19                     0.45                     4.33                     8.41                     3.57                     10.14                    -11.07                   -24.42                   29.54                    21.61                    2.67                     -0.1                     0.35                     100.0                    100.0                    100.0                    100.0                    0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        
rwgt0                    164.894108043            4.57689391073            0.660565114574           2.49999350395            -5.56461956558           1.03215567786            0.485078943109           -2.90719956215           -2.77643676873           -0.603647634652          -7.50966743015           13.3609413327            34.0165767217            24.7469175111            31.4946425859            -1.18003509238           -0.126440291883          -0.563362658198          -86.3989361234           -132.678532848           -58.8340113863           -30.408936095            116.609409633            179.669360804            60.1685979941            -94.1929716086           -119.253072918           -115.810537134           -154.016591814           18.2944831869            83.8676116354            120.936805175            
rwgt1                    -27.3786119374           -6.40278083184           1.18774868018            0.583337413969           5.02879628488            -0.298315665096          0.122410819183           -4.3138685523            11.3045225889            -3.5665971846            8.31094297613            9.91213451182            16.4303846168            34.6761583811            -17.5653660153           4.35689891083            0.0137634952023          0.500207748017           75.3679195799            105.533928292            167.062585172            24.9525718065            -138.559710054           -66.5049046195           -29.1314904207           168.680636358            -20.0142182914           75.4142750103            6.79993071121            70.7567844713            -168.711535546           9.08885877609            
rwgt2                    -8.86799482428           5.1140159386             -0.71331713705           1.5291631677             -6.38267893593           -0.119937671515          0.247334807758           -5.4024245669            -0.900960512141          -1.45309862952           -17.4279834385           -19.8842799569           -17.5984782139           9.49813378862            -28.1005996117           -1.68797310243           -0.137109509732          0.478073028969           128.208855302            -131.305872596           9.56298854085            -11.6491147589           65.8591806689            174.00129841             93.3805592476            -67.5853164355           171.332492725            179.89351745             -12.8824024449           126.638287446            110.311100217            147.956276949            
rwgt3                    46.1077616667            -0.798558961222          -0.534044369908          0.172098292424           5.21641981913            -0.908930645128          -0.130911166233          2.43505666018            13.6295596459            -1.01124541386           18.1004320702            -14.0247766805           6.48038288311            -45.5159941084           37.1168204402            0.249688778323           -0.166846536583          0.593478018395           -154.204271637           -31.2126637447           -66.2352290564           78.8270081438            27.8323894828            -67.6653559129           16.7890549038            -17.3997018632           -59.5066410258           62.4129247061            -58.3111670368           6.52809820793            -93.7978932994           -120.786966656           
rwgt4                    -36.8148954761           4.48684728181            0.404289488412           2.65267718227            3.80918034211            1.45181576394            -0.601164866858          3.21910937049            1.74098184156            -5.87052673891           -13.3859700392           -6.93539370595           -40.8430696962           0.112183632104           -15.5550653477           -0.491335677301          -0.0462255135442         0.604100668128           -138.751062317           -108.756142219           73.5044124865            76.2929052458            115.102658047            -46.782299339            110.823759278            -157.709830521           111.820920398            179.423881963            -86.6945420809           95.0052483819            146.4881023              176.417768027            
rwgt5                    -129.868945553           -4.64805478357           0.523760673734           -2.97205255189           6.61757278177            -0.297971512754          -0.320218999422          -1.82432736385           11.8359774818            -0.893594534688          14.8263303696            -2.74628795359           27.2276351941            46.3789178061            36.4942366029            -1.67842132107           -0.140129668987          -0.548243763138          -101.747523328           142.690540062            34.9635340004            19.8536056235            135.775501709            -36.181579591            49.1399575622            72.7059247509            0.852692703553           -94.0265024036           0.205869204082           -115.550442547           -83.096095758            140.966055593            
rwgt6                    56.3980376021            -2.15816419072           -0.785233709482          -2.21297675176           -0.832423877186          0.769586199027           -0.109155781016          5.80133501374            9.15653615774            5.93036031765            -4.78345415477           19.1196479022            -3.36137678416           -51.9341789546           -3.62013750676           -2.15369147923           -0.00806859349803        0.226768790663           -112.125418819           -98.0761272778           -67.5820287707           136.693808644            113.507756341            24.5698215511            129.247876395            -92.846893742            -87.557440498            94.5431050875            -115.825927474           61.5956363016            19.8810173292            85.2067075784            
rwgt7                    103.567179871            -5.66282299865           -1.44101650554           -2.12443500553           7.44605544829            -0.528603577171          -0.0453829540125         -5.56807623252           3.47464387675            -1.54908363053           3.10792020747            -1.73386925513           -25.4703636301           -16.6004580953           -13.1160480127           1.6671128668             0.0854897362667          0.418276497997           71.4116928755            9.134782264              -169.161226644           -37.3038622777           -171.550773334           80.790560452             -57.3051724845           108.923042936            101.422398378            130.059859963            74.6902204745            -8.45559996175           -130.158937973           -15.6307271628           
rwgt8                    -127.449146547           -0.55973747478           1.04244182499            -0.404842929128          0.330863550049           -0.426247249131          0.268405943009           3.33725159063e-06        -6.06505428818           -0.203555283019          11.6128476483            1.3625443777             10.0763331921            -13.6037370599           22.384536142             -2.40187001485           -0.104899630179          -0.185542177471          11.4653455934            146.279305025            82.6220888573            170.358455567            104.826222864            146.588574791            -80.9374944928           135.527208493            67.4225419506            -164.615317383           -47.6770517085           67.6430004214            -63.2057888653           157.568388845            
