                         ctp                      cpQM                     ctW                      ctZ                      ctG                      cbW                      cpQ3                     cptb                     cpt                      cQl3i                    cQlMi                    cQei                     ctli                     ctei                     ctlSi                    ctlTi                    cQq13                    cQq83                    cQq11                    ctq1                     cQq81                    ctq8                     ctu1                     ctb8                     cQb8                     ctd8                     cQd1                     cQd8                     ctd1                     cQu1                     ctu8                     cQu8                     
MGStart                  -0.8                     -11.14                   1.0                      -1.25                    0.09                     7.34                     5.79                     16.53                    12.88                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    0.68                     1.54                     -0.72                    0.7                      0.99                     0.93                     0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        
rwgt0                    -0.643248463228          -15.064741896            -0.0843664661947         0.0411322946636          -0.0584688222762         12.2041301793            2.96351621864            17.034740015             1.87077972692            66.4449610769            20.4557622524            111.178149478            141.076924205            -7.70087199616           -128.25442399            160.683461381            0.747841469875           -0.286959352791          -0.638219910799          0.842276025548           0.315683119373           1.46393078383            -159.576120741           -79.3212322212           -79.3305299319           -111.345754615           -10.3222263662           -92.6866771338           76.4909464753            -32.5782073912           -16.554789449            -24.5597983333           
rwgt1                    0.116696928112           19.2276199612            1.69734497739            1.29324428401            -0.0528532895144         -5.98251074618           4.95540260376            -1.54139552252           -2.31108861134           24.3939976878            83.3141743406            -167.671275306           153.030175735            -178.075607476           -81.0644948032           -11.2008933489           -0.0291485228052         1.49792726218            0.788017272288           0.913453910329           -1.28359012097           1.53551005445            -72.8749620557           130.56291444             60.4163875613            48.4513380575            126.176462297            91.1926452506            -105.632602053           131.580563048            129.332800476            34.302409754             
rwgt2                    0.772584331348           19.9304357133            0.368105340131           -2.21044662157           -0.0952129228255         -3.1317677627            -2.8518570402            5.88302956175            16.5099253573            -26.8847824672           -108.389644191           -50.1864423647           -132.831643671           158.345391419            95.7306877016            -40.3858530693           0.352428047289           2.49679883661            0.316655545016           1.044258893              -0.209912654931          0.0691670376599          156.682356359            28.7973796011            161.884614066            -64.0118526291           -113.121857082           -2.99190375904           -87.8172411463           42.2893767064            -174.256041201           -146.885238571           
rwgt3                    -0.630137085125          -14.2397475883           0.19272509485            -0.404580265333          0.141541452037           10.1029038878            -9.14445052246           -29.4365246921           -18.9614870389           -140.129537455           100.176425537            -50.514041959            -94.6454466071           11.0825050729            -99.4351600493           -161.038657562           0.870186850291           -1.10698021397           1.16569715518            1.13827929146            0.796716894386           1.45878563231            4.08272409857            -80.2690376568           -147.724346879           -148.171956822           -142.102218636           -42.9538481272           -100.193942591           -52.7172521506           155.816287044            99.7468507903            
rwgt4                    -1.29780526046           7.40022591423            -0.0416238589344         1.4261853205             0.155746046351           -7.9544518911            -9.56287213727           -24.3044359717           -14.4133343942           167.425382932            -79.3773784543           -6.02701432353           -36.5575943441           -94.5153617393           111.514161502            23.6218798669            0.133828652434           -0.12055241561           -0.214988015511          0.0680443446953          -1.44053215366           -0.12408776128           53.9952369877            72.2020778622            91.7242259096            -84.6006205316           -146.233322663           9.00944765661            -91.8833538392           30.4590907705            124.743600474            -94.4699880828           
rwgt5                    -0.760661109418          -5.61378719328           -0.969077677523          0.856983469661           -0.148605825037          6.67217298139            9.42817387059            -3.82625403447           -15.9934245884           25.9715054829            171.879073035            -159.748847196           69.5847831199            9.62489074879            -149.99702511            38.5824532628            -0.974930013102          2.15266711866            0.306224634152           -1.2155625095            -0.457839024663          -0.463536921729          85.4357558042            144.897107206            -66.6870944688           174.6734196              -85.7304591942           76.7700033767            112.510825691            -72.3004436589           -12.4574731263           -36.2409223391           
rwgt6                    0.836584221424           16.9880992854            -0.71254889868           -0.921970470378          -0.0529806997893         -7.24300353045           -9.7940269737            -13.3881471239           22.1287733197            136.494369419            176.575248313            -114.655495387           -62.672478156            147.157008468            89.2746112692            -13.1972541191           1.114479769              1.01517815407            1.00178596179            1.24060595702            -1.10236645322           1.41094239554            67.8297995706            -89.6075253144           -177.389349797           -49.0245158619           -35.2620036369           145.270912129            -105.021612857           -33.7275915171           -47.528964657            -73.6167863968           
rwgt7                    0.518459423723           19.5550627575            -1.57980368797           0.5230820343             -0.0223222794629         -6.75892290483           3.58060408978            -9.28234327368           -17.269199071            69.0053562534            -119.29605505            11.0559023982            -48.7901185905           -157.927331897           170.396033406            -92.1859081054           -0.241959561114          -2.36662746652           1.03809941989            0.779355736152           -1.412435927             0.980487994863           19.1299632621            94.1309806528            106.012962098            -102.446033488           -100.444409169           -74.9981408634           -93.5396018954           -109.833112419           -105.840986904           -59.541679638            
rwgt8                    0.178841889691           -12.4860164052           1.39190866827            1.08823469603            -0.112258475428          0.266374561433           8.61256638781            -12.050763459            -21.4328210568           -45.560745779            -17.4956389111           -105.759279781           -116.164476395           -26.9237551289           -99.4311437637           -100.91155876            -1.04446416482           1.74234891039            -0.352071777365          0.11269867832            -0.998314036848          -1.38636622284           -126.894155263           -143.234397178           87.0616319072            -55.1147788951           -139.551515918           81.2691944177            35.0031053523            -65.3146854506           -138.5047793             -136.048656188           
