                         ctp                      cpQM                     ctW                      ctZ                      ctG                      cbW                      cpQ3                     cptb                     cpt                      cQl3i                    cQlMi                    cQei                     ctli                     ctei                     ctlSi                    ctlTi                    cQq13                    cQq83                    cQq11                    ctq1                     cQq81                    ctq8                     ctu1                     ctb8                     cQb8                     ctd8                     cQd1                     cQd8                     ctd1                     cQu1                     ctu8                     cQu8                     
MGStart                  -0.8                     -11.14                   1.0                      -1.25                    0.09                     7.34                     5.79                     16.53                    12.88                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    0.68                     1.54                     -0.72                    0.7                      0.99                     0.93                     0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        
rwgt0                    -0.0392852830889         19.010145114             1.49575640089            -0.965831350866          -0.0507026970232         -3.90071470798           -1.11258617401           -26.7742384603           -14.2155338113           95.1310442519            -108.869150887           174.506882506            -52.8684325306           114.90739091             -32.8336446634           -101.809353894           -0.220518823288          1.21083766248            0.849932587923           -0.764043423092          -0.581907313102          -1.07292342746           135.791043628            -110.550926239           -16.139937476            152.242645741            -159.647116946           -107.829857784           -175.275250983           74.1400908908            -64.2477251735           38.192889795             
rwgt1                    0.389511325419           -14.2256490722           -0.0191042771346         -1.07792800469           -0.0963206870191         4.41119331611            2.97406869478            -26.6033665154           19.0326893285            79.8918725952            -98.7379033032           48.3463203116            155.477754445            109.208854362            15.1915904519            142.610212695            -0.336321848331          -1.84073580619           0.509409886569           -0.514009850773          0.916980193402           -1.06595508718           -97.3113750781           -151.793757518           -82.2959297333           -139.809794743           -10.9574971186           18.160544522             148.999870393            -102.525342106           -4.90395424597           79.0762741392            
rwgt2                    -0.218298887731          2.57227455965            0.463711725704           0.341883418635           -0.00609006655416        -0.816727234542          0.842739083873           11.2704946918            -20.3572752602           -134.228488444           37.7566845279            -111.875793341           -23.1437180378           -99.4919349405           -3.26358352822           -167.281998278           -1.0561176743            1.72506357412            -0.595494530988          0.494826296371           -0.392199763251          1.10080408451            156.38221698             -31.0756404664           -49.4384819498           68.658509629             -110.349499688           -78.1263844044           163.212148153            2.90974690891            -11.797964529            -92.5323922549           
rwgt3                    -0.888661900663          -18.9843809577           -1.78186703213           0.991993075447           -0.0689245578999         5.45879571613            -9.43379559937           -28.8627744821           -7.73096793593           -134.304375903           -128.421461216           59.4216108242            71.5982147651            143.924750351            -95.7440850138           -92.3399827189           -0.506225457691          0.835142131086           -0.063479440919          -1.01228708156           -1.52914483104           1.25538385235            -58.8455705547           -146.472740655           35.4693756877            104.463404097            -51.7858934885           59.3433076808            -74.5205520151           -48.2332260862           52.733887708             64.801832143             
rwgt4                    -0.614104014011          -19.6898169429           -1.74286684547           0.0254258457008          -0.106628195132          0.884886400367           0.716494458552           -4.87525561178           1.44133087615            -16.5214133898           128.637195341            -50.5893652097           -145.783023871           -146.366292563           -19.1840067473           133.838951798            -0.791034127153          -1.88001781707           -1.02747231842           0.836814484391           0.83451638435            -0.129108066862          41.8096109894            -178.44589373            152.277185455            53.9378730498            174.324308649            27.3632116341            101.981721597            8.14994074801            -7.06633635703           -162.629257289           
rwgt5                    -0.798704755491          13.3045232504            1.13171310193            0.849437489373           0.0109248795896          8.32799098418            3.96219429506            -9.89085541403           9.90619399341            3.21796276316            95.2212803556            106.670641764            153.963801923            66.1741371063            177.036703232            161.273756752            1.01745434959            0.465076617551           -0.256748580458          0.890277187135           0.7804800181             0.0786365031377          -108.421807147           -108.930301701           111.644172658            38.0872504816            79.9280463039            113.367220003            -47.7362826415           -126.69726117            -104.316465444           129.015115399            
rwgt6                    -0.557266609829          10.6171822998            -0.102994716782          -0.112276904597          0.0759728580307          1.67727971771            9.7739271712             18.2680414665            -9.38866564361           13.4147864578            121.309634098            43.1102804262            -166.088485932           67.0571956559            36.6653670417            -122.75372646            -0.659364357134          2.43701843417            0.883390758535           0.190007235706           1.05945752321            0.962036149732           -119.935652249           -81.1456166114           43.5291347656            -72.9276775853           -15.4429821622           47.0984757885            165.715060258            -105.860798968           153.333335044            -21.1240270819           
rwgt7                    0.741890879278           -15.5789790717           1.38292062164            -1.06437799013           -0.117927072462          -5.60503929727           1.85947874299            27.8300381025            -17.9899386999           146.080229506            90.9630550659            -167.554595851           95.4159090285            -86.1994165904           -159.159242752           -30.191598384            -0.377834493649          -0.987367375145          -0.168942915632          -0.346544382609          -1.65416981093           -1.18021844046           -9.63903290231           -107.529020167           40.2261898049            48.1136614596            24.276502474             147.171452975            25.8033972782            40.3944819886            -134.036616322           145.996449647            
rwgt8                    0.544216783264           -5.40146591504           -0.330350720521          0.064220731133           -0.047352673968          2.46647388301            -2.24844914512           -10.2212231452           11.7184439274            151.151279972            -140.981558266           -10.4303411818           -7.02259630551           138.898311363            -18.77746776             -40.9383721119           -1.00873121923           2.25121028467            -0.907037749324          -0.937937662233          -0.775298927652          -1.02684278289           135.548540308            -61.793919205            148.01263164             79.7804366936            166.8740523              -147.617210324           -55.9629404311           157.33945103             -132.862125867           74.0648508479            
