                         ctp                      cpQM                     ctW                      ctZ                      ctG                      cbW                      cpQ3                     cptb                     cpt                      cQl3i                    cQlMi                    cQei                     ctli                     ctei                     ctlSi                    ctlTi                    cQq13                    cQq83                    cQq11                    ctq1                     cQq81                    ctq8                     ctu1                     ctb8                     cQb8                     ctd8                     cQd1                     cQd8                     ctd1                     cQu1                     ctu8                     cQu8                     
MGStart                  100.0                    -1.02                    1.49                     0.94                     0.24                     6.98                     8.13                     24.55                    1.5                      3.66                     -5.77                    -7.31                    -5.53                    -7.21                    10.14                    1.42                     0.51                     -1.19                    -0.53                    0.64                     0.79                     0.86                     0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        
rwgt0                    -174.863046726           -1.10397682246           2.25853319119            -0.595487301912          0.239954522421           4.0451727258             9.22622428039            -44.0644249499           2.31668118688            5.77456286091            9.39497291973            -6.70732833474           5.50641386912            -7.71656132969           -18.1906992489           -1.97349129512           0.148412262955           -1.44216399899           -0.504558971886          -0.230505193935          0.619363674211           -1.13232872881           -162.143617194           -48.6689407626           161.282549146            -26.2126575268           91.3281258061            -42.8907393369           -160.440056537           12.4036439706            106.529724699            -51.4478080471           
rwgt1                    -102.275859016           0.61939722621            1.3163231473             1.03112815153            -0.262755076207          3.67383848651            9.38517923202            -36.1895908756           -0.341924231309          -3.56953095127           5.98922169212            -6.95902306477           6.79246353673            -8.84368007096           -9.02283698205           1.99299729773            -0.660843972438          1.78670579246            -0.201290821734          0.712592127089           0.130859694829           -1.18877719358           -23.5309991894           165.280020552            64.836900365             -176.918782228           141.771421118            73.5354835068            43.3783446079            -8.35896102315           41.8062236429            -40.7663333511           
rwgt2                    76.8148206815            1.32949411516            1.44208368249            -1.24444948439           0.360787673288           -11.5805879845           8.28488054116            12.3562798447            -0.49493201137           5.60646204551            -4.7833433791            12.4222773548            3.14833238708            -2.19141963882           6.6862741837             0.391257032585           -0.460422983594          0.463048280836           -0.0873057826498         -0.760516745363          0.592267373116           0.564275502304           53.6365529012            -135.146464866           -45.2995644502           54.6410111261            -134.576100654           179.196385854            -23.8797179154           134.713479919            45.9143707552            -129.143015608           
rwgt3                    -179.802617764           -0.261039240047          0.0996887736223          -1.15869681194           0.0757042002922          11.6392199467            -7.9149391699            -40.6655413683           -1.12136690443           -2.55927715949           -8.49292915867           -0.298178835859          -2.09779868719           7.64833097984            -10.3095231195           -0.51296236765           0.291923064855           2.12032138343            0.759148998191           -0.525894044998          0.928644936519           -0.810739672451          -109.638576268           -114.621588418           12.7858447382            -87.475344669            -54.0256016836           146.009041982            -61.6112258252           80.5732083023            -128.559595957           122.992551934            
rwgt4                    -95.6788359156           -0.573765092299          -1.90006491729           -0.905704132173          -0.0285752408716         -6.45453671358           -2.1059065732            -22.4066322247           2.58397867114            -5.88293661237           -0.254817176719          8.60363023278            -7.16041975849           -11.9503484322           10.8040214094            -2.07564940413           -0.554666545422          2.10358393775            -0.492343398055          0.178785035913           -1.19367740256           -0.675870519836          143.52916982             -177.606636477           -11.905319886            -132.781790788           -107.811836451           -4.09091281866           150.72335536             85.733847698             143.272189548            -54.6379906312           
rwgt5                    51.8775579673            -0.248153440475          1.85902314433            -1.63443841057           0.209501209061           1.62685885683            -4.14941112257           -25.6534194785           -1.85612057896           -1.23758986417           5.94215137999            1.53814823021            -9.56803149045           5.68845389409            -10.0409798508           1.09376872799            -0.0551012422161         0.893237911944           -0.0355876467093         1.14502658333            0.337372867395           1.43534936148            102.115962417            -85.9557671125           -3.06146908308           -39.2013060234           -170.88746239            -134.571491769           59.9641604011            -85.0704088062           19.9909440919            -6.10472371306           
rwgt6                    62.4903332785            1.57985530208            -1.26770366288           1.20012889306            -0.0409667117596         5.3353120792             -10.6915817895           -6.53021230299           -0.98143488537           2.16417288715            -8.31556507287           5.90347256995            0.873176754238           4.45955941601            14.0145426844            -0.19816347679           0.62114227923            -1.43477461002           0.508330880186           0.0871149759204          -0.998446839096          0.534320377997           -49.2412784726           -76.1081302259           146.057088232            -160.044615616           100.419283727            72.1088452976            -106.648108805           27.041250981             -119.351829238           -59.8960075582           
rwgt7                    -148.651387157           -1.085906904             2.4884335173             -1.27606966319           0.192442584078           -8.00519212494           2.71612304049            28.9500652152            1.70979830798            -1.02305244091           -7.92395852498           -4.1945341661            8.48779959564            0.916381033198           15.2051013209            -2.13035895928           0.620060738224           1.52745072455            -0.122418387623          0.190880086955           0.0574622446413          1.31913819458            -53.3685306714           -43.9437627701           61.9697908515            106.345904591            -146.524487269           -25.6206673966           -41.0460547658           72.0410701536            95.7293712301            62.8750279131            
rwgt8                    10.075687178             -0.370201613972          2.05498579359            -0.0684262618726         -0.215480093281          10.4217248612            5.00083505059            -27.637818395            1.64553145817            -2.54152991526           -2.6169018514            -1.41317950543           -3.31319986183           12.2505950279            12.6024250501            2.06065731654            0.375661874202           -1.33666271242           0.690344901692           -0.993699161855          0.609569628321           1.12376314369            71.8536526223            -51.389841646            -174.12128416            -27.3714085274           151.488076486            35.7253929526            -98.9251578085           -54.7304517598           73.9983346213            156.557949487            
rwgt9                    -11.0624273102           -0.793643740694          0.655169499165           1.3937693519             -0.375249734563          -7.83115414105           -1.57963649226           43.1343688742            -0.578016352255          -1.14455422862           -4.86210874451           8.15324424052            -5.64768539675           3.44445759411            15.0328825683            -0.357748516771          -0.592762224802          0.480351431519           -0.800361914449          -0.959212252259          -0.53831472913           0.75518177409            92.0665526693            -37.6744420011           -18.8170848417           -4.98923122016           107.314170791            132.983573352            101.154890964            -68.8851699774           127.905343032            167.218351833            
rwgt10                   3.89220827387            0.534530883435           -1.35668108441           0.450859862552           -0.359236415753          -12.0722057618           11.6496286127            41.3952063253            1.21858944277            -1.87111268488           -7.05867502944           -8.84198800498           -6.65019374683           -11.0323973262           1.71850866657            -1.12538835349           0.872756527182           -1.43245144163           -0.642257166971          -0.76526063964           0.529175972601           -1.37827479952           -178.777065999           32.307078208             -158.230150446           147.522037142            -130.535582101           163.104911021            -47.6932025394           -20.9102076394           35.1817407625            179.865526158            
rwgt11                   152.779927735            -0.76812164949           1.69683101954            -1.18826153948           0.36405608822            6.56683491797            1.76640697836            -2.25897514308           1.23570150678            1.21128956431            -7.68470982398           5.46411304334            -1.4021762884            -9.38746848329           6.1646526036             -0.578834005344          -0.439853525176          -1.53281710446           -0.0114402970308         -0.0721270597291         -1.01085737295           -0.0274616225007         -93.428119255            117.022261864            40.1395788885            38.8913369381            -124.117269256           -36.9577734039           -154.035512112           -34.4731356621           4.30065948484            -128.299083793           
