                         ctp                      cpQM                     ctW                      ctZ                      ctG                      cbW                      cpQ3                     cptb                     cpt                      cQl3i                    cQlMi                    cQei                     ctli                     ctei                     ctlSi                    ctlTi                    cQq13                    cQq83                    cQq11                    ctq1                     cQq81                    ctq8                     ctu1                     ctb8                     cQb8                     ctd8                     cQd1                     cQd8                     ctd1                     cQu1                     ctu8                     cQu8                     
MGStart                  -48.33                   -6.79                    1.15                     -7.18                    0.34                     100.0                    3.93                     100.0                    8.94                     18.42                    32.71                    100.0                    76.64                    100.0                    100.0                    11.65                    0.25                     -0.52                    -0.37                    0.37                     0.4                      0.36                     0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        
rwgt0                    79.4025337782            8.08034142429            -1.16789905426           -5.40115854343           0.0112820661323          104.738959197            -2.67901035115           52.1482383543            13.9505698413            -7.23812811321           6.34336809551            -75.4182030062           -90.2012578323           -71.7486211665           -49.003189088            -8.87851595494           0.423142591683           0.20105098814            0.483004221237           -0.230447868203          0.260916991669           -0.0557279945743         -55.5378007743           -172.782903861           127.430856292            22.1901540404            123.567104991            88.4516882667            -112.445384169           -112.881721846           136.604745383            100.913955506            
rwgt1                    45.3292522911            -9.46545959506           1.45188821281            0.786984480467           0.377161842427           -115.301982155           -4.79982869694           -3.63187484629           -10.4890535126           31.0693211128            45.8919417259            157.650236525            28.0217233072            64.8971026784            62.5045678553            -9.93810837848           0.205528401442           -0.153961622977          -0.592442790136          -0.200626798741          0.415939070769           0.413107055625           -80.0952260862           65.0254294563            137.98582021             -91.053781926            -143.054918646           13.172924951             46.8375030743            -138.666589739           -113.594857853           144.17078235             
rwgt2                    9.33766730234            -9.31680275388           -0.49704201919           -7.52452383452           0.193295816935           36.9957211451            4.72185081155            4.05963642515            -9.92019216899           -2.361603217             -22.2480629036           156.00210754             57.1815787836            -96.6404464877           -91.7297223094           12.7425775276            -0.438378498676          -0.406283691833          0.570271405075           0.613931849702           0.635493213987           -0.600573832768          -8.7616084194            -149.014619394           -136.036991519           -67.3101803823           83.4467079099            16.2285838248            28.8048791664            -23.7160781161           80.0071799725            67.7029995276            
rwgt3                    -82.9014747484           -8.60115489663           -0.742770284398          5.43883025374            -0.026526531853          65.4937050335            3.63518168728            70.6369326212            3.68030237523            -4.72943012805           18.1576833958            95.5588346598            -58.2999108303           111.608690392            -2.29876175135           18.8335327071            -0.160836576007          -0.760565532832          -0.209024197052          0.42543857186            0.165496237414           0.314989325736           -126.438351357           -2.9924356044            -131.526464382           64.0339741041            67.7251245996            74.433965478             157.849813502            -31.7044727524           19.4851714003            -137.834853127           
rwgt4                    82.6527510062            2.20057054241            -0.564628948124          2.0006290068             0.123542984853           33.0072742713            -0.625669473664          64.2047101446            -3.10014008841           31.3337470171            -53.4539039175           -36.2416823619           74.1134102257            -166.042935073           -22.8280492964           14.2404574748            -0.0994453622707         0.778822059538           -0.147481998124          -0.500544517358          0.261132735122           0.0976139209143          50.5929016756            -35.1753460104           -107.782316775           92.0418636989            128.424031894            57.6730418659            -102.375025478           74.7440985127            -122.238605388           132.919666367            
rwgt5                    38.0948977221            6.97766967435            -1.98908920788           -6.72092530808           -0.467979648697          -98.5589480525           4.2386142291             -76.6049787898           3.39119540456            7.91520780118            53.8412964073            155.326122125            -111.824064393           -158.324733862           -163.940584934           14.7347945593            0.144509658795           -0.153711898607          -0.60275948839           -0.497308838539          -0.370930513871          0.502711626041           135.122393045            149.218969414            26.2140385963            55.1817083004            161.959519012            40.449822211             71.3800280394            -134.5090601             -171.728782237           17.1675231601            
rwgt6                    -73.2665928406           5.67057107929            -0.233262444866          -7.67877814858           0.401655706112           -167.670994675           1.98231576885            -164.424038812           9.03218857672            -30.3236458423           55.09658724              11.8908276811            61.9210235276            -15.4084492575           -55.2388797886           5.83975325024            -0.419233306751          -0.173711305678          -0.198805506294          0.631170189722           -0.086340647382          0.311024826586           -162.810776305           10.1083456612            36.4954276273            157.983322278            66.2703643601            27.1777445637            30.9550770638            132.442152872            80.0757085516            127.92051101             
rwgt7                    -9.7465936067            6.87580051772            -0.725895081978          2.22153168104            0.0538313104317          -164.553402609           5.61090665307            -167.223100619           -10.0068215109           -7.09646680626           27.1239270703            -107.42749988            19.9758075246            81.5225988817            112.640028386            -11.7973272721           -0.254853658679          -0.81555402913           -0.170779825211          0.434043262605           0.082385123142           0.120410435656           11.5173119382            -81.8028869524           2.19011935486            -3.71835593532           31.1882782947            -95.1770742177           53.6420659053            -171.90293885            55.7078055086            -92.0255801496           
rwgt8                    -76.9419828644           -7.5759842031            -0.824815467439          7.75004121159            0.369219520926           38.1946928281            6.6653021066             139.485958332            -10.7796598488           30.8067829885            35.9856047685            88.0664249122            -15.2438182926           124.142314652            59.1365349968            20.8505292213            -0.0761205677597         -0.780936123468          -0.240315257371          0.118800525488           0.218220769153           -0.549085204637          96.8771864599            -55.8437901288           -146.468661793           170.835299293            -24.3615715363           167.07798651             46.4266386963            106.315957407            -40.9106587582           106.883619242            
rwgt9                    1.06366952426            -4.08971192064           1.33134354779            12.1939610893            -0.167243576333          44.1669753414            0.639430018904           5.03633732662            -1.54058106342           -0.839150479314          -34.7934156007           -22.5929754046           59.183526349             -118.912857407           -71.1639635906           19.9326821751            -0.367678048313          -0.167591362409          0.127585988787           -0.000633080164223       0.150346755824           0.115114808472           18.579867629             140.521155353            -27.5560450692           88.6261449429            63.0841187778            122.293860198            138.305352415            29.9815312933            169.12695791             -15.3242466421           
rwgt10                   61.7795394557            2.83673672463            0.495720527006           -0.246411419984          0.276414104567           -136.312800029           6.53718426645            -172.831647762           -6.29759684094           11.5768621304            1.77695233851            71.4163893461            130.870691338            -173.865940193           138.335203414            -1.30603911766           0.0633792087187          -0.473032670988          0.453212433383           -0.563232809427          0.650146718845           0.167112814081           -125.899571598           135.830641124            -161.71754863            65.9659239789            -60.3617851489           -49.8583839465           76.2740043577            -48.5984001944           124.43452221             178.047387779            
rwgt11                   -72.0808030407           -11.3146453133           -0.144130595142          -5.98958626773           -0.169190553575          -129.785964058           0.814408285307           152.374769481            15.2409915427            24.6525732342            3.71488860373            78.4605279345            -117.36428076            176.829007077            -80.4180562447           16.6115213311            0.245948792738           -0.839885199834          -0.422060509116          -0.617644538718          -0.25094648781           0.183227558073           -129.198593759           -166.481646791           -18.9835634721           162.012500459            77.3419651418            -85.4926792206           -103.152431979           -113.356703057           77.0320322803            -130.475912954           
