                         ctHRe                    cHQ1                     ctWRe                    ctBRe                    ctGRe                    cbWRe                    cHQ3                     cHtbRe                   cHt                      cQl31                    cQl32                    cQl33                    cQl11                    cQl12                    cQl12                    cQe1                     cQe2                     cQe3                     ctl1                     ctl2                     ctl2                     cte1                     cte2                     cte3                     cleQt3Re11               cleQt3Re22               cleQt3Re33               cleQt1Re11               cleQt1Re22               cleQt1Re33               cQj31                    cQj38                    cQj11                    ctj1                     cQj18                    ctj8                     clj1                     cHbox                    ctu1                     ctb8                     clu                      cld                      cQb8                     ctd8                     cQd1                     cQd8                     ctd1                     cQu1                     cbBRe                    ctu8                     cQu8                     
MGStart                  -2.03                    100.0                    -0.17                    100.0                    2.89                     -0.23                    -0.6                     -1.52                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    0.05                     -0.3                     100.0                    100.0                    100.0                    100.0                    100.0                    0.81                     100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    
rwgt0                    0.519079801205           -62.8843262817           0.0678767243705          137.893412247            -0.691104730233          -0.39466147724           0.121417647064           -1.49286878773           22.5211158107            25.1580732733            -154.491850271           -67.0712499212           -105.445261072           -145.889537477           -145.889537477           -71.8717620593           -55.3163859918           166.376862948            -43.5205949551           158.00760198             158.00760198             3.52533050638            -30.5960962746           95.7664258156            132.458907688            -56.3721322889           -167.879873405           157.78333598             -93.2558261387           -73.438125467            0.0643946579562          -0.512426709867          71.92324112              118.798595812            -167.178955783           79.6910215498            -178.41034876            -0.211131237357          -11.1330934626           -109.792802569           -81.0790699524           122.393152584            -80.3685810968           139.922742627            -28.3560504841           -171.06598057            -109.426963744           169.275901528            63.0830350581            -45.543407359            -175.695176716           
rwgt1                    1.86075042833            -58.7895875705           -0.253213845575          141.933622753            -0.36954536905           -0.0264879251377         0.305946883038           2.52937465096            -128.175094805           -172.745182527           -153.161181103           -93.4393507078           -12.3922647974           113.583625334            113.583625334            -177.571569301           125.574247947            170.401606244            -63.7062812419           -46.231182424            -46.231182424            -144.618459605           97.1476164823            -42.2174749088           -23.2495867532           -31.4753757508           32.1102735749            -22.1463001693           -172.606350188           34.2293998472            -0.0808410855085         0.023062374023           59.3099256779            -30.2394700827           61.1623177865            99.2931141304            117.505104181            1.38330340428            -175.212231153           115.839475187            -98.8354469193           38.2030377478            -88.2564842089           -93.4887254974           79.767182201             -115.572207084           75.8677995018            16.6729993489            -30.5667494366           131.72264145             160.843200277            
rwgt2                    -3.03122714036           -153.137270503           -0.0796891771279         -34.0008384027           -3.70615900981           -0.367649101773          -0.318178567802          -1.69292432946           0.264257880688           115.542953198            -38.1856064141           -77.7329622191           -36.8720648932           64.9690640581            64.9690640581            -115.742249737           -124.954335503           -64.4822859621           95.6189456423            90.0896195406            90.0896195406            143.855882593            115.333609223            129.449035842            148.618712926            -95.6486836175           -142.280082697           -178.90271123            95.8084005382            -30.4432070622           0.0187101463751          0.453784689036           -101.705797095           52.2739950743            -63.4247964062           -15.8489414927           -16.8652348571           1.17358725686            -41.3144186155           -165.106060969           -32.4204437788           -21.2771203781           -38.1287173039           -156.773165292           75.0593984308            -39.5397456117           -61.3657796604           34.8051423535            -164.466305486           23.1426255585            37.3577952455            
rwgt3                    -3.37699015032           103.792303917            0.242275459721           121.148413701            -3.51110865228           0.00134242842659         0.786191010938           2.66273803149            -153.963776162           38.1870220603            -164.153250047           -84.5012622483           47.9602437969            -81.3679399431           -81.3679399431           64.5045230949            42.8974739759            -143.224256756           -130.405060871           68.6685923623            68.6685923623            42.9973050378            8.4563311841             -60.8940289278           -165.306756879           -113.316620708           30.0826958246            -7.62097944501           41.173934317             -11.417693949            0.0141654174554          -0.461699438048          -67.4077071207           96.0572399611            -56.6519591526           98.8351494821            -158.25113311            -0.903163420189          171.735519057            59.8049407298            -13.849348911            45.4129151278            168.602674301            -45.3240297414           -54.7334306235           -160.727644423           -143.306827734           -16.7023630437           168.733880415            -62.844801338            154.389696986            
rwgt4                    2.84667188226            59.9422338053            -0.156832743892          114.225908741            3.2905640557             -0.399026055348          -0.436107220843          1.40402062621            89.8208085052            -31.7321208941           -157.584899934           171.144953117            124.020944585            -147.549309452           -147.549309452           78.7813439058            37.1492442567            -154.695559293           40.3480207139            17.9469394874            17.9469394874            -174.236794828           -152.410728112           -66.1577874261           -147.009475226           -34.8179450977           178.899046784            168.302797165            113.603582847            -130.753521316           0.0570641201558          -0.507855328867          -160.977806773           -15.1812220612           -171.521608116           48.3309986977            -33.3838166091           0.71912404297            9.36525152353            133.514574391            13.7050343514            64.9765772924            -77.5403777913           -133.927716336           -29.7896869196           68.7146978684            158.363933128            113.714527101            43.1520511378            78.107083046             144.670531385            
rwgt5                    -2.69094655396           -133.157143573           0.135098719259           96.1801667101            2.27482687974            0.348855356811           0.406041378654           2.60143753469            7.19856189772            -126.788512025           28.2566257691            131.802771983            -134.73860739            72.6997835605            72.6997835605            -139.243452336           -63.1182521522           127.742647661            118.206611237            -28.1364715952           -28.1364715952           -162.017139766           40.6233233294            -48.404673173            126.084491458            -153.414558394           164.669933367            -158.569004621           4.89881376495            169.524162541            -0.0567650064812         0.167553637845           -113.221014285           60.7808019648            14.1214123703            -112.342914499           -136.861728194           -1.22730261345           -122.155198508           118.670396706            30.0039190315            150.837629166            13.6974279162            119.037317809            -84.5021087786           -87.8691335233           -141.551219039           147.890355509            -147.68719751            65.3854570735            85.3399230749            
rwgt6                    -0.276297255821          -36.8955173485           -0.164303260162          160.313175924            1.89035740584            0.384573163091           -0.872523250917          -0.103642667067          -30.6108420418           -36.1824963367           76.5976206056            48.154400996             23.16555575              96.6868329505            96.6868329505            -106.637661034           -91.1555619306           138.73029816             -150.37343966            -147.157886706           -147.157886706           -96.6055552839           -55.9861467481           -46.8976517151           -128.188968002           63.7793794776            -50.054854578            -152.258538069           29.5305779093            77.6792271351            -0.0741090867954         0.186368871783           -10.3810402686           -78.5979786822           59.1736423348            -116.066289459           170.092927898            1.35424062708            -95.6033073494           140.091838645            -11.6032891517           -52.1476312842           36.587223711             108.843342184            -88.7583626869           11.9447193874            171.744540701            23.0328325992            82.4347850249            59.952657593             -170.157205036           
rwgt7                    -2.99203944363           166.856854582            0.20681271347            84.5121030278            1.00319935779            0.0133643936783          0.762170055129           -1.1710261766            3.21314917098            163.732374829            31.6409775237            17.2766509843            18.8858691747            -132.635156078           -132.635156078           -55.6484106621           -112.98739247            -76.0531832867           167.260178               128.857398827            128.857398827            87.1468765933            -129.691054645           -150.672903799           103.31349103             -16.6179722418           43.409321251             38.7091960275            82.3078547658            -103.833980497           -0.0745180335568         0.400053549223           125.074036558            33.5484679435            -179.061860439           71.218543336             88.3460246133            0.0717809901775          -87.6013014195           -46.4481296761           63.3955459993            -64.3794582167           129.804037095            -177.364078934           77.5806139783            131.645063626            135.120449742            28.9842880124            157.484601493            -39.1553970746           11.6424003759            
rwgt8                    -1.27267003191           4.0058726737             -0.0694902010867         42.2106833659            -3.22364742515           0.056513159351           -0.440308179242          -2.28214409796           -165.019934328           -142.494152909           -148.789025049           -4.30344254948           2.38906191992            86.8595415478            86.8595415478            -28.1370249025           132.191418463            159.105763154            -148.224265242           86.8606349311            86.8606349311            68.3835587007            -55.1598744716           173.166133346            -115.965395953           124.085421272            79.9580277447            -31.0862098538           30.6014327994            130.791063803            0.00461797746428         0.0911091785743          176.722436632            -36.7893902625           -65.8954682965           83.3805237922            146.823225593            -0.77251655161           3.58063739324            -100.660001878           106.126884574            -57.4245707035           127.642708365            -10.1538765417           -97.13285694             -11.5449474405           155.357698867            160.504511795            -100.336566492           -81.597566194            99.0081143439            
rwgt9                    -0.403476946896          -138.054134227           0.102133394517           -5.58938066403           1.20429094558            0.124506440856           0.922343867909           2.39404659436            -6.92271100925           176.934931665            36.1887966798            122.741271871            130.105110687            -178.029446494           -178.029446494           120.956205547            -15.2891809922           -7.63351559649           -119.615964436           -42.2451954588           -42.2451954588           106.688727644            2.32288061124            169.373529151            126.547148413            145.35897981             55.9131935432            57.5797646639            103.453381795            -158.471459892           0.0891615374091          0.0532225717825          48.7767204105            -34.5167212964           128.762703206            -49.2678540951           122.385342872            0.568243017517           52.0903984364            -43.5807445614           -91.8217975928           -98.9180580959           32.2008100851            -83.6541933045           -23.9665088846           -169.742495306           -133.665374238           26.7573198349            -169.778178519           93.5305116427            -70.0252041752           
rwgt10                   -0.949280088163          -139.251355897           -0.184528836872          -74.6333443394           -4.50298650297           0.322879627207           0.684284353249           -0.120288926127          -127.298979159           -158.14407518            -157.378644666           -125.166651193           64.5410014911            -111.401429369           -111.401429369           -96.3311306922           45.0677049923            -28.5842285911           -132.783182325           -85.8616207372           -85.8616207372           113.710648362            -122.324343984           -29.937283819            65.282204229             -72.8599625401           -135.176873567           -116.350975639           7.58171106734            -26.3282703341           -0.0235831832372         0.243185500433           -143.985587159           18.8567002472            -96.0888011376           32.5208081574            -150.448323733           1.27333025221            138.863237093            153.908898725            -167.739932512           -145.177687773           126.701634695            156.900578445            80.726246828             -165.620832484           -168.897583474           53.5112377919            -82.3711516963           104.129071481            -86.4864886265           
rwgt11                   2.97723344869            118.1055732              -0.0644878746618         -122.9163192             -0.649574766156          -0.373663589423          1.07437190728            -1.27298033962           142.397026875            -37.8865709772           -45.6571808337           143.545773066            -48.5502478848           50.5584526776            50.5584526776            -8.69104960119           -49.3414473933           -4.72368667759           165.622383235            -114.730796172           -114.730796172           -177.959611326           123.039226209            177.893517915            120.313215616            -135.743432105           101.016218924            154.810120669            100.659305572            -170.511732255           0.0561170390407          0.215441702489           145.877730248            -148.454167581           -111.189373768           -21.3384985843           157.870665134            -1.32411428872           81.7287746096            29.4066788992            -76.4879322326           10.3570795637            91.6266609777            8.67920052362            112.794280995            -75.2791530019           148.127314404            -119.494717176           -92.6279168457           -148.79339359            114.971627789            
rwgt12                   -2.35834028823           -46.6089695333           -0.275248025493          110.972034494            -2.10896666014           0.197937701921           -1.03878990017           2.38830048472            -5.20111261398           56.2442862516            40.6353766293            142.355482183            152.991255584            108.615887806            108.615887806            56.3798651358            -99.2033261519           -135.563838881           -68.7420600751           126.596454002            126.596454002            -55.7578563901           166.679422535            121.775549317            0.0794416447211          100.974502722            -162.446027546           -10.0196232794           44.654463123             -164.282724139           -0.0637713222697         0.070472096737           61.8812585396            145.790557211            150.005548269            -176.836154784           -71.5964053982           -0.536238159301          -105.130057968           15.1141338793            21.1538971754            -2.80877973114           98.9698279993            160.145583947            -116.511573699           39.2683841627            -178.675658943           -145.281142461           45.5347393406            -28.9418962325           -48.6889417624           
rwgt13                   3.2995032522             31.7462112308            0.190592305777           67.8099478611            4.54163899911            0.0490276086746          -0.172143643405          1.1554462314             -130.206612407           -151.940717501           165.891466023            -109.574095417           -93.3292333899           150.292960499            150.292960499            77.2735040606            148.766233446            -178.496087275           100.21641048             -136.791519105           -136.791519105           -131.277183154           179.973117613            161.021664718            170.4579937              -148.27955464            -126.27422968            -57.5306166571           -151.572247852           168.389618208            -0.0361491914624         0.327119467508           176.443091314            151.488574058            -44.1592867008           -16.5815342154           124.488991483            0.0959055395657          58.0741689661            30.3188642402            96.1437541264            49.1288986423            -149.177144677           93.9130181867            -33.7646494254           -113.705087488           -108.254830471           135.001448917            -42.4082164995           174.014488801            113.230942084            
rwgt14                   0.176980791079           20.8262858888            0.0754823707523          169.022702303            -3.14483414861           0.129946903765           0.277254714166           -0.127974410066          -148.989985287           119.885872252            100.479867955            119.404032051            124.987212955            62.1778235975            62.1778235975            -9.98748783133           -105.259908585           174.068759202            141.300689706            -17.0744346022           -17.0744346022           -143.813290006           20.8886213867            -126.909112251           21.9564070261            -165.806781786           167.004646294            -105.766473191           153.089594271            107.185702558            0.0802066191456          -0.291609500846          -2.412889438             86.0751259374            177.87703055             174.943266186            28.2535489436            0.935381030648           -62.7220982996           -124.981454996           50.7315780384            -40.472134125            82.6946684248            104.816097055            84.9330180834            -64.9944473211           166.106417601            -80.5903708411           139.294010764            173.565779695            -86.5995469722           
rwgt15                   0.143550661297           85.8827581854            -0.232895155354          178.600163562            2.02320357947            0.337496084485           0.213168426603           1.44451503699            37.8171473863            81.6691826544            144.160812616            26.4237222895            -67.7879770057           98.0141900549            98.0141900549            164.955324991            -28.5228661713           -113.666834305           -175.253395356           -129.71319694            -129.71319694            98.2765203262            -48.0557196647           174.512390975            -54.9502418223           2.77648462902            -126.156045435           -86.091953935            18.5011795963            -70.2871389559           0.019923691778           0.452760000101           -68.3259920495           -114.931690353           -46.9671097359           4.06204294185            -125.683199301           -0.916299559417          -93.707565225            -124.351436493           -26.1981265544           -132.949170896           -116.074323144           67.3898322809            -116.175536773           -13.8169451001           50.5802195146            70.5716493641            30.4259947618            -179.569282709           -9.75495891859           
rwgt16                   -1.00708260127           117.94166423             0.109006004207           20.7341261427            -0.576386466107          0.400061419642           0.783587727721           0.0522617552254          -159.212834148           -147.190269531           113.845631046            -103.903404834           -110.372049985           80.7476406601            80.7476406601            -85.31169631             75.0215533274            0.119243401734           -62.8259357465           -164.125447809           -164.125447809           120.527018763            -10.8022673444           104.922039691            -161.226272401           -172.746284609           137.182765652            78.2689105892            177.138478471            142.757528713            0.06014738992            -0.0418480800997         -165.008348968           88.2032287758            -97.108513446            170.629780832            -20.1114527134           -0.952722041996          -17.3638682242           48.5049073889            -16.7285876136           63.4089245837            176.554414161            45.3105377904            86.8180015883            -94.9558354785           53.7656509017            -31.0985616918           -45.463914275            -94.9835408449           -117.112168849           
