                         ctHRe                    cHQ1                     ctWRe                    ctBRe                    ctGRe                    cbWRe                    cHQ3                     cHtbRe                   cHt                      cQl31                    cQl32                    cQl33                    cQl11                    cQl12                    cQl12                    cQe1                     cQe2                     cQe3                     ctl1                     ctl2                     ctl2                     cte1                     cte2                     cte3                     cleQt3Re11               cleQt3Re22               cleQt3Re33               cleQt1Re11               cleQt1Re22               cleQt1Re33               cQj31                    cQj38                    cQj11                    ctj1                     cQj18                    ctj8                     clj1                     cHbox                    ctu1                     ctb8                     clu                      cld                      cQb8                     ctd8                     cQd1                     cQd8                     ctd1                     cQu1                     cbBRe                    ctu8                     cQu8                     
MGStart                  100.0                    100.0                    -1.0                     100.0                    -0.2                     -10.0                    1.5                      4.0                      100.0                    4.0                      4.1                      4.2                      100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    12.0                     12.1                     12.2                     15.0                     15.1                     15.2                     100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    
rwgt0                    -110.178844596           84.1144626735            0.514491044817           -50.1424804396           -0.293653709652          -4.98713182717           -2.14800002133           4.77658134257            161.910908058            -0.234535024458          -4.05178053482           -5.46659501893           44.1926423558            -2.61894398124           -2.61894398124           135.675455521            118.685798878            152.286797285            164.952270043            -148.981877615           -148.981877615           125.437459605            -103.524146742           34.8964848336            -1.64827874499           -0.202982128779          -14.8959729831           12.598504391             -0.181986673618          -12.0967900643           30.699624029             58.7212601788            -57.0382120401           37.1518074476            149.284657184            71.5799456914            35.9599557029            51.9461405665            -49.4063119049           40.2308704894            -7.58566525525           144.610148786            -169.628241153           7.48306235389            -117.401387636           174.038876397            -114.29598077            129.595636456            19.2650768541            18.0415495872            53.9982178714            
rwgt1                    94.2389854492            42.7813746208            1.65074825665            11.6028105058            -0.0477184679102         8.46273991358            -0.174035373862          -6.53101334621           131.088718469            -6.70683871127           -7.30579678365           -2.23978417534           26.298615129             12.9598854928            12.9598854928            59.7831407413            -29.7018882245           -92.692698764            -44.2857936935           -136.818296403           -136.818296403           127.256861891            157.150286283            -141.207242034           -9.72458764427           1.10276190354            16.4996691294            17.8741821215            -17.2423674585           -19.4716758847           -116.222679601           18.4492901526            -132.948738567           96.3107414048            126.770310554            77.3315112616            -99.8664484606           -152.91014617            -104.36055524            119.789047079            -76.5762359752           161.314155198            -6.73908388791           -12.5593509075           -98.3317429651           11.9832368064            162.451831579            128.279121672            -82.7487440581           -139.226447427           -141.668530105           
rwgt2                    -21.9484014407           -11.0978001104           -1.33558426897           -114.962962424           -0.359189599528          -17.6716566666           0.789331632422           -4.92465407583           -24.4287198478           3.84546360386            -5.46745139197           -6.76783732562           -63.4389243889           67.6183647967            67.6183647967            112.706056822            103.455611912            -55.2276936574           26.3424356722            -116.82367072            -116.82367072            27.4442543686            -129.179242693           -72.8521863686           10.206161673             -17.6806252455           13.8859120478            23.6519007061            -14.5514035949           -3.55459634654           -118.813216507           103.540321971            -121.86048289            156.403129168            7.15125475582            -30.9892346593           -80.8955976439           60.7537096305            143.848168207            -122.071136853           149.833879404            92.5029785813            129.461145959            -80.5429149788           174.644092631            -13.1568680831           -145.951251382           116.340135144            -74.6284041785           100.050053158            -134.772329225           
rwgt3                    133.74603398             46.3256683233            -0.0247958647419         49.05504735              0.0699440820235          3.80695093544            -0.138408072474          4.79129061454            -78.8307200173           -0.955487032567          -3.24570965306           2.50135278702            133.061690023            61.1309117797            61.1309117797            84.2679026225            103.288490922            -2.04677912728           -154.534847592           -123.369242227           -123.369242227           -168.584003694           -47.7660222355           -170.969698502           -4.00468649472           8.26518528162            -6.42152292851           -17.4148191965           26.1657017547            -11.4119693633           12.7391646279            -162.665706545           100.751130982            -79.63721675             120.270996764            46.2374247833            -51.592045924            -4.20989432161           -112.248900314           7.13699132443            49.091222857             129.23224799             -136.459940679           -93.2560604843           -114.533696152           126.597370736            138.266166278            -154.348175704           -167.117136284           -48.4640268613           -62.6190424469           
rwgt4                    -50.9962474305           124.448479419            -0.859583049512          -13.327209964            -0.122941658784          12.596310651             -1.29851178822           -0.886573050035          -177.080060615           -3.00094504766           3.28154518128            -7.504323234             -137.936525766           -112.735059812           -112.735059812           89.0390218044            -14.9020788551           87.6225276728            -173.368673114           2.51560885501            2.51560885501            -140.139610863           -37.1553616446           162.746915507            16.6197631933            -6.625811471             -0.679537321368          -15.2920164976           8.3613540944             -20.6017653679           102.425147782            -137.467551953           176.48261857             19.7587946385            160.485887401            109.083953079            32.7495539277            -94.7706860679           -148.396456253           -46.204594422            45.2879117259            -113.529317571           -126.06451658            91.2456074972            87.1707235252            -127.443372256           141.311638271            39.2409398117            -133.644597779           121.724401363            24.031148413             
rwgt5                    -36.3718043957           -19.6566464574           -0.539162156382          123.632545342            -0.0701633554798         16.7859225038            2.35709952742            -1.82106511712           -14.3507616375           -1.04666440968           2.16802579846            0.71759080522            98.228874398             -131.501424044           -131.501424044           98.0376836769            47.0628205627            -99.1939389349           3.82433962715            -163.912968248           -163.912968248           120.878959755            -134.404179355           -34.8942119858           -20.066520025            13.2064282177            -20.0159458044           23.434668573             23.2760429929            1.88081807435            -51.0641216905           2.368681725              -147.72684604            152.901479011            -160.820239816           19.7868585947            -128.667152632           90.3652377165            -127.689465579           39.0461067012            11.8094129452            -28.1780788269           -60.4727798806           -65.739444083            142.787385598            -39.8976365512           -44.5312040841           137.855541189            -10.6233169402           -36.2830582993           156.346994343            
rwgt6                    -2.53750567572           72.2209699036            0.841485224029           -164.834647337           -0.264139796948          -15.2144775472           -1.77820398132           -0.810587829535          89.0300272261            3.41454526059            0.977833339084           -1.76458208425           123.125002581            171.379131635            171.379131635            -103.509977306           168.547685627            168.002687467            -71.1258241519           -53.0898541334           -53.0898541334           4.64309028396            -53.2468582096           -129.249250598           -12.5889779953           18.9453592943            -2.6271979944            -23.3351131775           -16.3519570364           19.1419553856            118.49265874             -145.560136098           153.400975399            -48.7376395769           49.7579635402            -156.244318302           7.44310580126            123.960494188            110.578205554            -107.134901204           -41.6754626977           17.7507267812            -110.422171419           116.582316291            164.933835679            -57.4870616057           8.008606262              55.8824588807            -92.6038077853           -41.0017630513           107.308480089            
rwgt7                    138.78362954             22.7232750028            -0.226560572156          97.882674038             0.127142909912           -9.90650810857           -0.745216734082          -4.69828358118           83.8210064814            4.52223239762            0.733107134691           -5.99208167378           -20.5947727868           -178.88487581            -178.88487581            -117.568335551           -26.5446659179           -36.3352070062           -88.4298547071           89.2503374574            89.2503374574            106.061211033            146.674630196            -41.3941480505           10.6028814478            21.7194626193            -20.4077077719           1.9009418631             23.068041999             -6.22525490003           33.5523491024            40.0967429281            -31.1226510835           -39.7337626563           35.0336342389            79.7232886248            -179.840270358           22.2884007232            -117.518818161           75.3305893625            -94.3489105039           -70.0024760613           -155.763416755           -17.5696237988           -101.154602409           63.9254288679            -7.42520074044           68.9760212608            -151.470759277           35.1108470048            25.35499979              
rwgt8                    -20.1938903231           -57.1948079741           0.248467363989           -92.4393963073           0.273058944473           -10.2120126253           -1.4601354613            -5.48577105001           -70.6785708538           -4.11464894337           -3.42705285872           -3.98834501041           79.790475858             49.6067310192            49.6067310192            102.473402542            -5.39478978672           -76.0977394274           -154.3010404             -104.392520203           -104.392520203           104.621908053            -48.1469255132           85.6006556976            15.8573523997            21.081665551             13.6262423623            -6.93279781427           5.20559300077            13.2642399781            97.3985310866            -28.622753442            -77.9544294076           20.5567862001            90.307383174             -84.7649707087           -57.0477320283           60.2163944088            -29.0282615502           98.4879548082            116.425753023            -98.9990179018           135.866197558            -167.322197147           -161.987386355           -168.806935374           137.388911105            155.648998063            172.994386307            -74.5636648297           145.192789786            
rwgt9                    24.3460452931            110.731932924            0.865880453631           -128.38036007            0.139325338878           -10.120012166            0.240002227898           2.13590029543            -48.072461871            -4.28647915329           -3.47537913946           -6.92193417403           -42.7563674944           117.562435918            117.562435918            66.4340266342            79.1682957102            149.687648736            -61.1652840703           -51.5258232597           -51.5258232597           -141.892065912           37.4733209009            41.3404108762            6.82130165541            6.64878685686            -12.9394088337           19.3950744559            -0.389899658668          -5.46911727477           -130.387467501           -144.064925075           27.5301558236            150.161828089            107.402803034            129.890693076            -70.2152863945           51.4724759498            -128.482117612           24.2457792033            15.4350038303            115.236709173            23.3146296627            177.417003185            -20.2406635317           -7.78877986031           -127.248113071           134.592261671            23.04408091              -173.000226844           17.7974912123            
rwgt10                   51.0223878362            -30.5588560494           -0.763226367651          -125.791570293           -0.153616431328          -0.591626992326          -2.52999709232           3.03393501148            -14.3651149728           1.42024860449            -3.51876391591           -0.892111745478          -101.167599846           164.599425285            164.599425285            -30.6618284247           126.038830783            50.9356169738            17.859954321             47.6836594637            47.6836594637            -8.97471952419           -80.3525121263           -79.9790295055           -4.22919224694           9.8261906553             -6.48358235072           -3.70525387444           10.1083973113            2.80645482371            116.561363133            -96.1831301386           175.433975565            121.013968668            -121.985409912           -42.7524184315           -2.90121757824           -118.875050293           -5.17630406057           -8.0873006581            -75.2325293687           172.301919741            20.7561838632            -155.412637506           53.2794251044            -47.0801636993           -127.495303279           -138.258566015           -117.06565282            -85.9652861896           16.4743127931            
rwgt11                   152.248804208            -104.624621837           0.238437479244           157.372310048            -0.109615169136          -2.06705014443           1.91563879138            -4.71594305272           178.372834459            0.489118611893           -1.7508849071            -5.77063911897           -155.478675769           45.9708052549            45.9708052549            56.619235289             -71.9692814355           23.0883501898            167.23255134             -3.85533397893           -3.85533397893           -36.8326526141           -101.360035716           119.608793893            -3.32643176466           -4.03809383008           -18.3185460743           -9.31767999301           -26.6790966923           24.8737377799            2.91915459572            169.220593791            95.9249976292            -161.201862963           -5.81816837189           -68.3803249553           -162.037411066           -73.3064346986           -133.214259731           155.198474092            164.76242976             171.187464202            -48.8071942286           -141.115094258           16.3781665362            -48.1707139306           -131.949384492           22.2981150611            -173.383007312           -5.40147531809           111.084221333            
rwgt12                   -14.2584171034           75.8320265013            -0.257587371862          -144.155033378           -0.266713885408          -6.71092429252           1.14810284519            -0.07254593287           9.03052690871            5.80202180988            -2.40019090527           6.10964989693            -9.52978539937           88.5091390462            88.5091390462            -102.565257502           70.8453186754            107.048457568            -123.308884922           170.908965226            170.908965226            -162.496176585           -55.9105617838           9.77209290917            19.9282692417            -1.22937993015           16.6066284824            24.6195309777            -12.2712080814           -12.7544075007           -54.4664984956           115.146732138            -90.804740604            -36.2815196268           130.439198739            -84.9168822141           149.296419232            -107.749032261           -123.896937784           -89.2480765562           -126.021143662           -28.271387078            -163.882240474           58.4338596281            -134.682340383           -58.2116736429           160.05949973             -48.9620211376           27.7700570715            -165.802345338           5.93048422427            
rwgt13                   56.9114842491            9.12201486071            -1.26306368789           0.0218123863578          -0.300882517449          15.8602631974            1.60986105237            -4.78655932069           -83.4641824778           2.69677169926            -3.02968478703           -6.61522504036           -141.592650101           75.6388750328            75.6388750328            127.1109987              147.594520475            -74.7925704855           74.1885560665            145.005728939            145.005728939            140.255043845            127.032107139            138.572034207            1.5996914156             4.91195036114            -13.3168032105           15.555439688             -18.1738621555           -19.0732351871           -2.85411903673           -155.472371711           -164.356199548           -26.5074266768           -6.42463205264           154.913027191            21.4649816951            -34.8335770287           31.9792411862            171.429808638            -173.506633695           160.559492763            1.65675837791            -107.300795717           4.09671548236            -66.4229636116           -30.1500586417           -156.562416654           -158.46563676            110.426065911            164.970633512            
rwgt14                   158.534299629            -106.685353162           -1.76971878239           31.8179212424            -0.0587839071844         -11.4161843919           -1.49918804819           -5.12945869825           51.7900458236            -1.94098649861           -0.120145484745          5.59414944565            -151.70616125            18.3752591017            18.3752591017            163.380384114            173.340112531            -63.3904507188           -14.4200322333           18.0204607237            18.0204607237            -31.7982305482           -98.7708572269           -166.770597468           5.3465741664             7.21232895856            8.04280226083            21.4687951041            26.3358274854            -22.7027053821           146.875091815            -26.3015796977           -150.123536817           -105.846603898           -58.4623022961           -22.5459908601           69.7115191817            -91.931441138            -156.33974009            24.7227171212            99.7108138654            -102.262202832           76.7457103692            -130.359885309           60.2015478315            142.591990272            66.2196997798            -158.859908832           153.235448855            83.674846208             -129.178048016           
