                         ctHRe                    cHQ1                     ctWRe                    ctBRe                    ctGRe                    cbWRe                    cHQ3                     cHtbRe                   cHt                      cQl31                    cQl32                    cQl33                    cQl11                    cQl12                    cQl12                    cQe1                     cQe2                     cQe3                     ctl1                     ctl2                     ctl2                     cte1                     cte2                     cte3                     cleQt3Re11               cleQt3Re22               cleQt3Re33               cleQt1Re11               cleQt1Re22               cleQt1Re33               cQj31                    cQj38                    cQj11                    ctj1                     cQj18                    ctj8                     clj1                     cHbox                    ctu1                     ctb8                     clu                      cld                      cQb8                     ctd8                     cQd1                     cQd8                     ctd1                     cQu1                     cbBRe                    ctu8                     cQu8                     
MGStart                  100.0                    5.33                     0.55                     1.5                      -2.68                    1.77                     0.64                     6.54                     -8.44                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    5.46                     3.26                     2.23                     38.07                    -28.57                   26.65                    -0.3                     -2.84                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    -4.8                     100.0                    100.0                    
rwgt0                    47.2848521653            -7.42469368022           0.47792192583            0.982759125884           3.55670759334            2.32045171237            0.769686068197           3.24455820925            13.9203129275            -130.820984727           -113.291259596           -72.6829133216           -165.846376072           114.01883619             114.01883619             137.477324484            -97.7295329822           141.02387725             95.7819549819            0.485018364443           0.485018364443           98.7077169786            71.0793550915            8.07695380477            -8.41734363258           1.46818809388            -3.56067847525           -47.1716158935           33.649662258             -29.7493004169           0.0127895229822          0.13587775634            120.59604544             -14.683137881            -158.618887601           -127.155592835           -169.449192656           -110.991836282           -105.960708297           -142.841677505           59.2033076978            156.819363657            78.4893576059            -3.75578409943           114.78636009             -170.364083583           -95.692649334            -79.9424232409           -1.94044042042           -64.4827830257           -61.3858236558           
rwgt1                    94.5073661591            -5.86283896747           0.759701301378           0.174787584148           -3.322292471             0.744449956906           -0.812891744599          -0.286200133459          14.8882415994            -46.9603475205           -121.686928312           -178.756969268           -162.7679664             -137.174114935           -137.174114935           125.154830928            76.2060304765            -7.45509011245           118.883285855            170.092084713            170.092084713            168.967209066            10.4455560517            141.958472061            -8.8008582112            1.87244271549            -1.30108960503           -63.993784508            22.959881197             33.8517987956            -0.150189532815          -4.40123033654           -129.674994661           -105.419545579           -37.2189162352           -164.283633536           -106.986264612           -93.1231115271           161.269414581            -67.7847251497           115.521537126            -30.0812445588           46.075324246             134.843134727            11.4632752621            149.287672875            162.280536343            100.093442319            0.0754407901983          6.9058668736             82.4283011366            
rwgt2                    -138.131428847           5.84160605164            -0.257647794585          -1.00150003993           -3.14576306288           -0.476158371235          -0.787266129691          4.40655721852            9.15236269188            85.5542282969            -36.2655304518           -55.6802133537           44.8943759687            -97.5949269517           -97.5949269517           7.57584902907            138.964972411            155.374186161            45.147923882             -48.1876796133           -48.1876796133           121.942841621            -161.281474171           61.1653854063            1.39394575916            1.50549785912            -1.42085147929           -25.332112582            32.4776013677            -6.52583489022           0.485287877886           -4.18507618439           -28.6373108328           141.814139669            81.5056169116            -46.6141106728           -159.674034147           130.527568582            113.930010665            -152.510141091           -170.176594187           -172.962073387           44.769273008             -122.215719175           109.724857637            136.249520252            95.6637847118            140.582922865            -3.90198817522           92.224751865             -130.619771126           
rwgt3                    -10.6283118586           7.05934511867            0.913711942567           -2.29421133271           -2.85344628445           1.47432048232            0.0350063768887          -0.51995365685           12.2275720442            153.832257725            -128.22520785            -98.1813209874           -40.7747982203           135.140218714            135.140218714            -150.558339871           44.4223399524            -157.961317347           -31.4955874436           87.6890196682            87.6890196682            -69.7771408555           -129.372923816           -150.656622403           2.56242744468            4.7244733557             0.536684115025           60.0927365577            42.5367412907            46.3924431474            0.28159425757            1.50282905371            125.890414794            10.2442710997            99.2198686332            72.0863244637            -169.587870595           161.942114477            75.5063755422            -59.1731733045           170.896991013            -119.885786171           -140.941498179           127.746207795            -149.33058026            -30.4388520197           161.593218386            32.32344175              -2.53411987625           -148.621486682           12.5069401469            
rwgt4                    -164.809132064           2.9180160086             -0.284459542879          1.81968557938            4.18024971481            0.60923766034            -0.985824053107          -3.12279203209           0.97833170371            -68.5093998333           -127.972377483           8.45395624762            161.104539191            -153.082683531           -153.082683531           115.166619709            130.786392064            154.023390335            -41.0679582485           -0.789571535225          -0.789571535225          102.935528859            -35.3245561549           -80.7268350639           0.132922674657           -0.740146353212          3.31626449345            56.7520085815            18.3919206919            -45.6261602108           0.532008178394           2.86713151666            0.318795146562           141.002838332            -107.637211011           27.6864029594            40.1947290243            120.286861988            95.3663585168            -136.918552063           178.694048559            161.407747432            -132.004302076           146.111443051            70.5852692771            -175.677351919           111.044552369            -77.7541592601           5.90035218634            -99.9874437215           74.6884006878            
rwgt5                    -75.1779288908           5.15594371077            -0.135095200685          1.420684005              -4.13730722197           -0.339967132796          -0.0139257483802         10.2015222748            -6.82767067689           50.7019034471            107.861724081            28.3242454009            -111.62389773            -33.7669326591           -33.7669326591           40.8348251517            25.3712222043            60.2380372671            -101.600315555           154.643115931            154.643115931            148.02019201             176.368808548            64.1316653593            -8.96422456397           3.748384503              2.90977739109            -47.2265590582           25.7847360325            26.5241798662            0.228288636761           -3.2811960937            162.634107475            87.2890803265            -65.5493770957           113.457768304            100.841803838            -154.346812815           -122.619633467           -24.9383033904           -120.754408837           106.460844387            36.5884211577            160.262539986            179.499383208            -107.192204885           47.2313169158            -72.0032387909           0.601653713063           -22.1690510069           50.4268048772            
rwgt6                    -92.5519577339           0.62881519431            -0.0315342331704         -0.661284260174          3.91874953309            2.68824094588            -0.828251621095          3.15563360877            6.01391326077            -7.12733415374           102.054745502            131.087605517            78.2969710035            114.232522744            114.232522744            -140.11916869            -39.5704200146           54.3989056612            -4.74686353222           -110.017919549           -110.017919549           -113.522881514           176.853571839            170.485810131            6.78264326999            -3.96869900893           -2.12103762591           -51.4909028353           -7.72614947483           -6.73305441475           -0.254044089692          0.972919147484           -55.833335252            -50.5040493046           125.481925439            53.7764432267            129.213488876            -151.934247753           -107.116970739           -25.5588062353           -12.7359734085           -20.0423079741           29.8237341974            6.02763222107            8.53539607144            -44.1191950334           -46.5419987296           56.3305442107            5.57216561989            -87.6227931566           167.865172062            
rwgt7                    -162.797940297           -7.85452843622           0.314141593566           -0.508042016411          -0.863986057313          1.27567193959            0.428211245196           -9.64500978831           7.14139342921            -58.6308562283           -164.277217836           14.3270820171            32.61502026              -87.5153057422           -87.5153057422           -14.8182033222           7.20760432756            -19.7841183531           -61.9606279645           -89.7208651942           -89.7208651942           170.901862096            177.637604296            158.169412976            3.57526099341            -1.26057991064           0.245960244473           -5.46407919735           25.5682290962            10.2680787987            -0.234690628206          -4.95505100952           -90.5313630367           133.1377058              -95.745620027            -36.5162423765           -107.22404323            -97.1812282047           -65.6954537043           107.623861436            112.347144256            47.7258313863            89.5517660744            -111.280295691           -3.45540340632           -68.1464279676           -179.611106591           -118.7198107             -8.34105953564           -115.684641115           -101.365496683           
rwgt8                    15.5723500766            3.66068686255            0.289162406642           0.172222096487           3.24282370863            -1.5988837326            -0.982350253268          -4.24161774899           3.33868180601            -30.9626736722           -124.429770916           -175.381192287           172.224180157            -99.5901179902           -99.5901179902           156.171850937            -49.9313790967           18.8601109811            11.0939184336            173.734820951            173.734820951            -15.884099014            -103.657935953           112.290766093            -8.2408728176            4.3842920518             -3.11138628486           7.55455561504            -49.716638771            2.34156497362            0.0196133376218          1.18728374853            -179.842983606           34.2036666853            60.6965660919            -169.081674722           6.30906434097            88.4766109427            137.334056986            179.587779462            95.9975051032            9.36819647033            -116.155962997           -155.714718035           -176.492087296           -157.405709443           12.3510175123            -49.1226888719           -1.09375033013           52.007296738             67.0784809881            
