                         ctHRe                    cHQ1                     ctWRe                    ctBRe                    ctGRe                    cbWRe                    cHQ3                     cHtbRe                   cHt                      cQl31                    cQl32                    cQl33                    cQl11                    cQl12                    cQl12                    cQe1                     cQe2                     cQe3                     ctl1                     ctl2                     ctl2                     cte1                     cte2                     cte3                     cleQt3Re11               cleQt3Re22               cleQt3Re33               cleQt1Re11               cleQt1Re22               cleQt1Re33               cQj31                    cQj38                    cQj11                    ctj1                     cQj18                    ctj8                     clj1                     cHbox                    ctu1                     ctb8                     clu                      cld                      cQb8                     ctd8                     cQd1                     cQd8                     ctd1                     cQu1                     cbBRe                    ctu8                     cQu8                     
MGStart                  -0.79                    -10.85                   -1.78                    -2.56                    -0.09                    -7.66                    5.58                     17.17                    12.43                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    0.67                     1.57                     -0.71                    0.74                     1.03                     1.01                     100.0                    0.81                     0.88                     24.99                    100.0                    100.0                    24.36                    1.95                     1.11                     1.76                     -1.11                    0.93                     39.77                    1.43                     1.4                      
rwgt0                    1.30170692785            0.958468561526           -0.359715578094          4.14059271512            -0.119550566747          -7.4114280294            -8.50220027245           -23.2071006489           -17.5161038667           -6.36638405022           112.335860486            -82.0128149425           0.0499746422418          -73.6836099838           -73.6836099838           -58.8367553116           -44.2690995287           -150.08711556            -28.0256432983           6.36604076599            6.36604076599            -130.877138694           -115.889608473           -54.0637632092           -13.0758465164           98.462332153             -9.42532038021           108.8910233              138.932762583            119.523665532            -0.594331637146          -0.716434788525          0.28318424832            -0.868051028855          -1.82491029834           -1.32026859159           103.889898233            -0.559125738188          1.12027297121            -10.7145087358           -19.356740862            104.738738642            34.0894068941            2.5989960824             1.82555555617            -0.573647706033          0.00942078785939         -0.48664687845           -9.3246885422            -0.381930620267          2.14525738446            
rwgt1                    -0.991545633051          -0.559900421557          2.65381816285            0.407285748077           -0.0904502045395         -11.0031687088           -0.86915838895           -19.7759563564           -1.38553027086           72.9217234093            -57.8009171314           23.1321896517            -22.6000748488           72.2032708026            72.2032708026            -134.701663692           -128.185227637           164.101312745            27.7289204598            45.7573381518            45.7573381518            -133.286158573           -56.0338502522           -95.4517420954           -124.720348612           28.3886137993            142.679772798            -65.0855336846           -31.6498435973           102.25095158             1.00128867487            -0.803600692795          -0.99326347746           -0.504564016941          0.597479466019           -1.23340958111           -170.158638733           -0.327348793785          -1.25072279584           -7.43581474711           3.10948030983            96.3908913945            9.0316135137             -0.286375241773          -0.0254781113726         -2.6226835561            0.214560401207           0.11723738995            -21.8989939736           -0.56406451378           1.00539053241            
rwgt2                    0.398657465082           -12.3681126247           -0.642430280355          -3.12991054438           0.0495201094523          -9.41285935786           7.1590927811             29.5893048274            15.1116562844            130.069820581            -88.723380344            -121.600268004           100.875553547            -31.9133738194           -31.9133738194           58.005187048             -176.375384456           -37.3696972155           -8.29486951092           -152.184735366           -152.184735366           -53.846224998            -163.029266805           83.9491687948            165.150575246            82.6058320378            29.3551809231            20.0669629682            103.223342809            19.4162066312            0.0608178383364          2.66568682862            1.07468836536            -0.634958023413          0.00773728041249         1.02696436518            173.573225177            0.0705533203192          -1.52305161496           -21.3798041915           -68.4215394031           66.1611930183            20.4102089804            1.49048283058            -0.358578987912          -2.13370050189           0.508385609839           -0.665085837865          18.1573937005            0.433280605403           -2.5146995202            
rwgt3                    -0.278248415836          -11.2370044704           -2.4426733592            -3.78970996545           -0.155620218336          11.4691196711            5.55400216606            -23.2448181918           1.42446254479            6.15685507235            123.942918059            118.180469937            -120.88569096            158.546699143            158.546699143            140.304003877            109.271786306            96.5558976689            -69.7867413242           142.394060629            142.394060629            -64.8787810226           -55.1688390303           -102.660963632           130.406500779            -77.3909241532           92.3138998275            -147.931748919           163.849899169            70.9077731768            0.359611210012           0.601936600736           -0.228909287557          0.465381406011           -1.15779462752           0.680925342034           173.604558517            0.663127750997           -0.765833348795          -24.2790209865           -68.9075033912           -22.0495250233           41.631935795             -2.41198157324           -1.31101864563           0.894874697487           -0.812443921079          0.801214711672           41.2663532752            0.964732492357           -0.222749712091          
rwgt4                    -0.671817248125          -11.3687883433           -1.70145387694           -2.20041932557           -0.0263538092278         3.79040838889            3.53974756062            -17.4334236749           -2.78339857226           57.7809672828            93.1214611899            -146.773550586           -53.505292485            161.32433156             161.32433156             138.691909731            -110.654038837           -9.25238161926           -169.481549974           -107.589269358           -107.589269358           -96.6717714195           -23.200589874            129.978171123            -55.5515095994           82.6893096173            46.9717316452            76.0598065676            -144.694488989           -44.4309948309           -0.429590779992          -0.608069671043          0.135826244321           -0.830268113763          -1.07697217575           1.41414414613            -92.8635080567           -0.665496990281          -1.42634154512           6.63080569269            -41.3737424327           150.491500423            -25.124955957            1.85283598065            -1.57296047284           -3.08524814625           -1.5451280205            1.28633040495            -52.7081156575           -2.44099936299           2.41869087166            
rwgt5                    -0.686649428675          -14.8052414961           2.41203239231            2.5336441233             -0.127541798221          11.835361087             5.86053200869            -27.9486033672           1.23964585892            -60.1601397041           -42.8595848824           -163.748274217           -5.52926776283           12.0015802638            12.0015802638            14.8201161422            94.8524355974            104.432465677            113.589622594            -23.3426815782           -23.3426815782           141.461112212            179.68980607             92.3595573127            83.7911601585            122.465287695            -150.124176543           -128.799319156           -129.142889537           -152.749166428           -0.56907327492           -2.39773935809           -0.878844940835          0.416464754336           -0.815654635023          1.79326875211            -174.923056602           -0.15951039445           0.0840441063325          -9.67218609888           -84.4573210466           19.8074960373            17.8884757204            -2.59388551041           1.86930390831            2.13745759674            1.27412139665            -1.39790904093           -45.1464931039           -0.291192747357          -1.83006160016           
rwgt6                    -1.05500418051           -12.174810238            0.582029943071           -3.41246696016           -0.0691864051243         -5.0755992016            -7.86967967314           -0.0922160850719         9.34545696257            173.9170649              152.066046219            68.4767654929            -77.8202035653           93.8444383823            93.8444383823            115.559947121            6.26395683077            -36.9964456726           94.364692141             -68.5508428848           -68.5508428848           -147.180250407           113.98130364             50.3410204947            69.3055430798            100.005294861            -178.545314246           133.797356148            -168.315548373           135.509329324            0.769552285895           0.185946726506           0.756056473157           1.19708955897            1.70377173679            0.49061440067            -53.1989715316           -0.10232209108           0.628844157722           -3.09857983069           -159.63424896            -87.9651906177           -41.7809370418           3.11143533803            0.741458347639           -3.02339313921           0.157867851499           0.546885054111           34.6869454657            -2.07639721986           -1.7035730069            
rwgt7                    0.494254489065           13.4134629854            -1.71736740641           -3.92258679425           -0.00697778838114        12.7445789884            -6.23509917321           4.64461398967            16.4388812188            46.3560041872            152.926854505            145.644611472            83.544110493             84.5171792137            84.5171792137            -146.848216721           -115.048361471           60.1018551503            -104.350981063           -128.399550679           -128.399550679           68.4044002404            -140.259434159           -103.633030775           81.7358523093            -27.0583745711           -172.334491985           -55.5007729004           -53.4622215596           15.7049963566            0.632948238409           0.0421162451296          -1.18359973803           1.08634493182            0.496154894588           0.209289852454           -156.466026845           -0.983221844359          -0.34830857531           19.026228204             -39.7197622536           179.732152657            -39.0687750039           -0.606252907762          0.62434834938            -0.110859989424          -1.07112318181           0.886844183057           -14.0184911085           -1.05640942067           -1.10074759992           
rwgt8                    -0.651313901794          -2.95310168979           2.21402094046            -3.98675444944           0.0729566788739          2.48678507777            -0.406428873051          -30.77773578             -12.0204001301           -35.7675039141           130.29009542             -164.973633973           149.024995395            5.60952413623            5.60952413623            -100.02434749            -94.5976677219           45.4959178083            43.2239262422            -2.36813072426           -2.36813072426           104.239370776            -15.0635422764           46.3968893094            145.802059325            91.9567838402            -121.346042385           -3.91357638016           -163.42477316            135.064595653            -1.19572697327           -2.05407425082           1.22424977775            0.140024614895           0.0966410507671          -1.27232732764           -65.6094364011           -1.38872157344           0.878448360799           38.2458418289            -116.793012511           111.810824472            -1.92364648749           2.5389502585             -0.649063841312          1.26740876952            -1.67288081928           0.867345573672           -65.3390230268           0.0697567889459          -1.94789559126           
