                         ctHRe                    cHQ1                     ctWRe                    ctBRe                    ctGRe                    cbWRe                    cHQ3                     cHtbRe                   cHt                      cQl31                    cQl32                    cQl33                    cQl11                    cQl12                    cQl12                    cQe1                     cQe2                     cQe3                     ctl1                     ctl2                     ctl2                     cte1                     cte2                     cte3                     cleQt3Re11               cleQt3Re22               cleQt3Re33               cleQt1Re11               cleQt1Re22               cleQt1Re33               cQj31                    cQj38                    cQj11                    ctj1                     cQj18                    ctj8                     clj1                     cHbox                    ctu1                     ctb8                     clu                      cld                      cQb8                     ctd8                     cQd1                     cQd8                     ctd1                     cQu1                     cbBRe                    ctu8                     cQu8                     
MGStart                  100.0                    -65.02                   5.11                     -6.37                    0.3                      22.15                    40.18                    100.0                    70.02                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    2.18                     5.15                     -2.21                    2.19                     3.88                     3.58                     100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    
rwgt0                    -164.32427694            95.0500287213            -7.39221516044           -10.6463647063           0.144861622624           7.66607668041            51.1933868588            -134.468127994           2.30250215836            -22.3132351696           39.4303706916            -2.12819722731           -85.4491736065           -5.99945230327           -5.99945230327           25.9674191815            -99.4584038239           50.884637104             -47.7378876786           -156.894192739           -156.894192739           17.474259643             29.6693831305            -5.31421514967           2.46321553303            -91.1582375846           -30.1506097817           -149.775403755           134.649924427            70.061537484             0.942669963565           -0.0840607495504         -0.888618104016          2.02262440645            -3.61308276338           3.2550166097             -173.941462582           109.239721054            25.3681609693            -69.2699600144           175.404617289            173.059661857            -79.1221328747           81.8983917712            -103.812994504           -63.215523847            -156.656367911           -134.939450161           -4.67053150052           107.456048901            150.344347084            
rwgt1                    -178.721092685           -30.5307513124           7.05817141723            -0.732182522892          0.467705111219           1.63163891518            40.9109400814            -23.4294007906           76.0351069871            -103.305802543           104.593055895            126.884063306            7.08945489669            106.209184299            106.209184299            -98.1374471179           -32.6594688152           -81.4277559714           -147.790195254           -103.839405033           -103.839405033           10.0046005291            147.193587436            151.871760282            -171.727987935           74.3689674285            -97.8270842566           107.904216184            -101.974509072           129.930208142            -2.8774728123            -9.22743861943           -2.29860044392           1.88675790931            5.16523204986            -4.87416869432           -109.716174677           43.0039910268            113.075117311            -122.829757414           167.146287792            -107.221156309           122.281415711            142.595332445            161.976597501            -153.27689757            93.9530274606            -42.8703799361           146.495364477            26.1205816264            97.459323224             
rwgt2                    -84.4847150198           -54.6119481679           -4.82215252464           -3.04204275099           -0.110031874758          4.61028086328            67.1093341611            30.0510311283            -96.9019685877           -171.990515646           75.4928152266            -173.426336526           169.050340562            -139.150748604           -139.150748604           134.315091708            -128.499125297           37.973527101             -22.0750193872           38.3363425767            38.3363425767            47.6150109958            -24.3094177073           -115.363818298           142.242230972            -97.3770997141           42.2952348999            147.69104134             134.471347471            177.488076401            -1.72518464441           -2.30196176138           -0.958715290456          -2.86459787273           4.16726356786            -4.19451032291           116.085204798            -102.365764132           167.412523726            -112.074706094           24.722631713             70.8039401341            -10.0582681812           -165.668566171           17.048918266             117.372546325            153.502702958            89.2757431798            136.386237848            -82.0833575436           70.5322451512            
rwgt3                    39.8860118323            42.9457662654            -0.244735127937          -2.00041180571           -0.432043128061          0.536971369213           -11.8527617458           138.534643966            94.738653818             91.5435709469            102.39945682             -25.1335284626           123.875523339            19.1107147058            19.1107147058            69.0346709098            23.0071827406            39.1730265339            28.1178077855            -64.5777229697           -64.5777229697           58.0250645714            -135.029413357           94.2229503973            64.9666243904            159.417589179            120.284229875            171.475956681            100.985387614            -4.92771059404           -2.58387611151           2.26532357171            -2.3732040056            -2.81569145205           2.78460319164            4.10273370714            52.6655698855            92.6922185232            131.684210731            4.8185487327             -128.884836515           113.059677721            31.8113743655            -166.135484924           -120.225894636           5.46448164642            115.070913035            -112.212600236           -158.2137852             98.0058660514            112.776514389            
rwgt4                    -22.3976024407           115.818946485            8.61235670162            -2.415155376             -0.341941117167          -6.75184462622           41.6697615788            -116.039340858           30.0060253095            82.0563808147            -142.946195199           -168.253655264           135.821537093            50.38051425              50.38051425              -147.108079503           -135.233944697           -39.6293350894           91.7324330699            104.987104465            104.987104465            -27.5333524191           -150.493969778           41.8157524336            69.516144526             -86.6359053455           101.390092422            120.287849747            26.8240751371            17.3874353428            2.2253407666             -3.2236265385            -3.64217248578           -3.74348441274           -2.79901789827           2.94909605554            -152.239065143           -58.9496188098           135.287792203            -94.6856807841           -86.07217651             -62.9941323252           -32.8841607072           -11.2236649547           -35.5548931624           -111.023030614           40.3553560108            156.978264814            102.257908232            26.4630691371            -36.7527940601           
rwgt5                    -148.546238336           -56.7234176057           -7.82540584901           -7.70311075942           0.195829204245           33.2996981833            -31.7373166487           34.9321612287            62.3374364084            -162.242407747           143.217313643            44.6333347816            -63.6636627093           158.213390285            158.213390285            0.31877506365            124.772446299            -165.562591347           -137.709032738           -128.399186581           -128.399186581           96.9754105324            -76.8168734833           171.032045497            -150.748349106           -41.6264221117           -72.7242874614           112.04287509             97.4207778262            45.9707216734            1.60193752835            4.15250000444            2.04477657953            2.55074878352            -5.76118198745           -5.65468319107           -170.053923057           24.3927325624            70.1613223356            146.229510742            -80.8526431898           -96.5602558479           136.338336491            8.29337347981            -107.628697094           -51.5168456902           -153.507089644           -100.358107152           42.7115029895            -86.3934439555           -100.530508386           
rwgt6                    33.2461454594            54.9031277668            1.41815520836            1.41946071277            0.532644125898           25.7059594265            27.6764468705            47.0656458057            -72.5938494836           -16.9708864834           -58.4817134072           91.0528646589            -128.12687251            153.568238281            153.568238281            118.975524282            40.0213737973            -123.717169571           67.624171663             -160.679921261           -160.679921261           70.5036212322            -95.5960239231           -112.714146064           -166.847495236           15.9795102263            -126.113802494           87.8806796162            -23.0855958558           17.9089419554            -0.650185801916          -3.43724649783           1.19538371972            0.364147289607           4.83582433244            2.26028316522            -35.8671390787           -109.268603032           111.555744249            -141.588908726           -49.2672718373           58.7317108238            -104.949546691           98.068603445             -12.8252490271           -109.761976196           10.0397055814            29.5814533759            16.1177104183            127.637561013            153.995104949            
rwgt7                    -79.6772486855           -2.64905191596           0.60343122535            0.90370216714            -0.253719225945          39.3592230021            -34.9155003321           124.97929502             -81.9403776685           -62.885242192            -9.57688525088           67.7175847103            22.5144867653            46.8731578612            46.8731578612            42.5156259573            -130.116368543           -159.93478027            32.497951574             -164.867831898           -164.867831898           -149.954068402           -8.35989210808           -53.4069079501           61.7860837379            -145.138639025           -72.423657178            84.3048076781            126.594382004            107.865561001            3.45508418575            3.53091997296            0.795916713298           -2.19545943781           0.980727978195           -6.05614267892           92.5227434859            -169.385529677           -127.280643717           -80.6467235484           -59.7154542071           152.817203424            -135.923395622           -128.688850248           57.9889284508            -137.550469529           1.96369554908            143.573065739            96.8405094427            -29.5223056639           -70.2642048941           
rwgt8                    -172.569938174           15.2708157294            -6.07105971301           10.9772503063            -0.146379667403          -17.0939515762           3.2044023349             -67.0225661055           93.1094340423            55.1274902057            15.4505671132            84.384528367             5.68713584441            56.0746111533            56.0746111533            9.59877871838            -154.269991755           -121.225836354           157.144932542            -18.7084079561           -18.7084079561           141.060130067            149.855326635            57.035693703             -164.422393569           -27.4707513078           141.453226668            80.7217154786            -128.737598248           52.379882941             2.66887383684            -7.05796341871           -0.467664590906          2.83727354234            -2.04158663872           -5.12218656117           -106.877307787           -41.2820473762           -138.373032394           54.2524828792            -34.9733735176           113.630506055            37.8224142336            -95.5827256232           64.2049660386            130.140074232            -149.218567238           125.470928956            62.5722112655            59.8313270274            -147.148564539           
