                         ctHRe                    cHQ1                     ctWRe                    ctBRe                    ctGRe                    cbWRe                    cHQ3                     cHtbRe                   cHt                      cQl31                    cQl32                    cQl33                    cQl11                    cQl12                    cQl12                    cQe1                     cQe2                     cQe3                     ctl1                     ctl2                     ctl2                     cte1                     cte2                     cte3                     cleQt3Re11               cleQt3Re22               cleQt3Re33               cleQt1Re11               cleQt1Re22               cleQt1Re33               cQj31                    cQj38                    cQj11                    ctj1                     cQj18                    ctj8                     clj1                     cHbox                    ctu1                     ctb8                     clu                      cld                      cQb8                     ctd8                     cQd1                     cQd8                     ctd1                     cQu1                     cbBRe                    ctu8                     cQu8                     
MGStart                  100.0                    -0.59                    -0.37                    0.68                     -0.27                    8.65                     0.58                     -45.91                   -4.51                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    -2.29                    2.74                     -2.42                    -16.88                   -19.3                    19.29                    0.29                     -0.87                    -0.29                    -31.7                    0.87                     46.81                    100.0                    100.0                    1.21                     52.33                    100.0                    100.0                    17.69                    2.45                     1.05                     1.69                     -1.45                    0.87                     -26.8                    2.08                     1.33                     
rwgt0                    -25.2189049579           0.190941114595           0.0592572235916          -1.05750467258           0.473424734225           2.62792722603            0.685800304731           64.8556364966            -2.26667901321           31.3406511981            150.018599351            -176.762999667           -138.337592581           -64.9331387036           -64.9331387036           6.887731475              -171.026032246           115.499332052            120.360159836            -108.43825374            -108.43825374            -60.0825377471           124.627965705            97.4770649809            -0.460499746543          -0.356209113733          0.651898642388           10.2532851161            20.0378498521            27.6679311465            0.173675604266           -1.27755573701           0.0487192211311          56.0189591137            0.572882691807           -5.05720843153           38.8977427336            -134.065044062           -1.25656098455           74.7720477366            78.3978351802            78.6927936277            6.36427097913            -0.16598713936           1.02349871406            -2.86498796137           -0.954351081078          -0.32593429283           41.6577724617            2.66570085168            -1.39602094328           
rwgt1                    -39.3418150924           0.549310901504           0.128210738815           0.0170683281597          -0.00259794966168        -3.79887359411           0.967898040339           71.1542213765            5.94995197296            -157.057916069           31.1003019083            40.6304444721            -120.861219454           61.4658830793            61.4658830793            13.2548882632            -7.19850919411           -25.6229041736           164.075220082            125.561787928            125.561787928            56.0249709983            118.102229441            42.8914838181            -0.369320919765          -3.03033955514           3.22071270658            26.649505713             19.0897804344            23.0019804702            0.253980537144           1.14353738151            0.216874213418           -51.0949886255           -0.681321189376          -4.5789247134            -122.62838544            6.05202559601            0.869900467178           -87.2747424814           -152.65980065            112.828651378            -28.412861657            -0.316753755851          -1.43756195109           -1.17766800607           -1.44602961707           -0.219002955192          12.6208511413            -0.906763921358          -1.59662131899           
rwgt2                    167.284429601            0.261893512191           0.34342272069            -1.1576699212            -0.230871374579          -8.54290097314           -0.0854989481849         52.3927464781            6.78175948577            -91.0124813918           -75.2820101697           106.135089539            -164.893806498           -144.617555716           -144.617555716           -87.5499515734           50.6233863411            -44.5426102195           143.919122071            72.727596005             72.727596005             148.696656015            36.0339335072            -160.732593092           -3.17136343174           -3.41510061451           0.207676906537           -4.89862432854           -34.5752976194           27.1841788607            0.363084970878           0.983078014975           0.107692292672           -44.7587243156           -0.416915406572          4.00819778432            0.302411963538           -148.803330314           0.0159622296152          85.8905458752            -33.5252688322           75.2067371936            -5.82373583924           -3.79428417257           -0.196559164779          1.24423891876            1.18282733589            0.684185658016           -1.31711656181           2.17382318114            1.29205408188            
rwgt3                    -106.838311982           0.098006239595           0.0818511784242          -0.812009973148          0.281980529184           10.7640501514            -0.450700568816          56.5210917968            1.54928138945            -53.5827982608           21.4858266834            -38.0779725672           74.064523957             101.443665261            101.443665261            136.915613827            167.088844711            -84.6560745106           148.918527331            143.571251671            143.571251671            -166.746343276           89.4260637803            137.1841646              -2.80497448123           2.66749182363            3.4606513674             -18.607565646            9.88477605495            -7.19755256953           -0.23401159176           1.41112386294            -0.305804712488          -54.5014081469           -0.167429643726          -34.2961623191           -65.119598808            77.4203362119            0.422878434501           -20.0501683              117.305727979            67.8392546555            4.97765176379            1.55666610868            -1.87069479456           2.56630361322            0.851861205              0.506646071184           -42.3631216147           -0.348188706681          1.00013205376            
rwgt4                    107.997093881            -0.254287520442          -0.210764410592          0.229355226872           -0.421797363531          -13.7343997017           -0.655875854939          -46.3816993875           -7.05794546348           -160.103856219           -98.3413366913           -108.283170521           142.957363187            154.875522169            154.875522169            -35.4860263122           66.3880106567            169.181706728            -28.8564457431           -119.657342293           -119.657342293           13.3050930576            53.6860634318            -29.2564919517           2.44393874919            -0.375253407125          -1.82108048338           4.36922498432            -22.4384640788           31.4964884992            -0.206830631519          -1.04550779786           -0.449395579712          27.318702536             0.493030812048           -47.6910649167           71.5303862612            -94.258449355            0.0664047457391          20.3518467182            169.328818899            78.5938895745            -18.6818199402           -0.613347735188          1.38269362889            2.33074566324            -0.659207772736          -0.361473146351          47.0046846242            1.13038211386            1.18085678175            
rwgt5                    81.8014917299            0.770549331705           0.120547827414           0.463789284476           -0.18889766876           -4.93771876614           0.0327984607701          -75.8965436191           4.75115900058            -176.322760068           162.812875386            -115.662568639           30.2263199567            -169.949585273           -169.949585273           59.3297930149            -156.444960841           20.9826679727            -20.6380114932           -58.9408866616           -58.9408866616           170.673416347            -146.99849816            -97.4265295664           -2.36114630437           -4.33928570551           -0.707436206889          4.98613686073            33.0950041746            9.00049689165            -0.321223751112          -1.10852598378           0.514811224904           5.81510545391            0.00474002019346         -41.9884349998           -42.5012251129           102.699819943            -1.21598499564           82.2583976483            83.3322247054            -140.097039797           12.3755477058            -3.00033365576           1.12093182376            2.92143520525            0.991937942297           -1.07819115402           -1.88878582701           0.883095549048           -2.16950886967           
rwgt6                    -7.40292760518           -0.452496461826          -0.0514507815817         -0.554281070828          0.145957757283           13.7325006955            0.805632875255           -67.0502484305           -6.24200121484           50.3477378767            -55.7756580065           125.098739499            -79.0926162192           -10.3486562974           -10.3486562974           4.98554220772            84.240118994             12.8188451202            -169.767867811           39.2173529622            39.2173529622            -91.1150153135           117.622060328            -85.2171649306           1.02834183204            0.758296572017           1.8994328448             10.7710844478            27.8634878754            3.37215217926            -0.423115619174          -0.917248996284          0.356444581845           50.8847785756            0.136653218654           -83.8603886287           103.238823269            40.1527802207            -1.02888942212           -21.6281523946           126.074444088            147.849168823            20.3727496814            -0.559170622502          -0.0825844732623         2.45013561645            0.0899684383926          0.183025579728           23.1755332364            -3.39344781488           -0.0167248147658         
rwgt7                    -152.571341939           -0.145628527918          -0.435354933392          0.98051012988            0.18446689273            14.1490571754            -1.01203675218           -73.3186148575           -5.94285794819           -116.382843572           121.515231695            82.77713524              -48.860008876            53.6517514951            53.6517514951            -106.42740589            -125.618503814           131.377352178            -111.322867384           -164.408443624           -164.408443624           26.971151183             -147.515985228           19.952887796             -0.998119828038          -4.34149392084           -1.95618489307           2.73579902367            21.8308832599            29.0477767842            -0.398330000175          -0.203093620338          0.0968593972498          -56.6712482137           0.173698922436           -2.23238934203           71.0652942701            -169.475227226           2.00203244499            -14.2378680198           -91.7137742771           -135.289840839           -23.0853945971           -2.65581254984           1.77706987693            1.42311498885            -1.61199440426           -0.323557632776          14.9685152923            1.33749953282            -1.60989017914           
rwgt8                    12.2488549829            -0.484108298515          0.0818316882039          -0.354846778943          0.352213440786           1.75398163939            0.490451118699           46.6233841805            6.56886803106            -32.8258256155           -119.12603089            -12.2597458519           105.59553004             -179.568909775           -179.568909775           41.5781626961            95.3878927456            -127.435371352           -83.28061665             -42.5026237487           -42.5026237487           -73.4554674552           136.593224877            -163.466821113           1.20086461747            3.13036751814            -2.58910799551           13.384788606             -22.0760342645           -9.96721365084           -0.351811430227          -1.05074484319           0.017059551906           44.5269085313            0.865827224772           75.8645399026            -116.966144973           -159.375629681           -0.924254845873          -44.8858261464           162.817091887            -174.789677056           28.7215041704            -0.339652805821          0.0147383462275          -1.9697183611            2.41334704424            -1.46652881572           -35.4123752835           -1.76714767149           1.61902927508            
