                         ctHRe                    cHQ1                     ctWRe                    ctBRe                    ctGRe                    cbWRe                    cHQ3                     cHtbRe                   cHt                      cQl31                    cQl32                    cQl33                    cQl11                    cQl12                    cQl12                    cQe1                     cQe2                     cQe3                     ctl1                     ctl2                     ctl2                     cte1                     cte2                     cte3                     cleQt3Re11               cleQt3Re22               cleQt3Re33               cleQt1Re11               cleQt1Re22               cleQt1Re33               cQj31                    cQj38                    cQj11                    ctj1                     cQj18                    ctj8                     clj1                     cHbox                    ctu1                     ctb8                     clu                      cld                      cQb8                     ctd8                     cQd1                     cQd8                     ctd1                     cQu1                     cbBRe                    ctu8                     cQu8                     
MGStart                  -56.85                   -8.51                    -1.25                    15.63                    -0.35                    100.0                    5.86                     100.0                    9.14                     100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    21.13                    -21.54                   -20.74                   100.0                    100.0                    100.0                    0.23                     -0.41                    -0.32                    0.45                     0.3                      0.45                     100.0                    28.69                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    
rwgt0                    74.3756937339            1.71479577923            -1.9222786318            1.85103283783            -0.468119611674          109.912802511            -7.45610146721           107.637581419            -6.1307551196            19.5639355801            -46.8594490866           78.7327157461            81.4859775308            -129.176490768           -129.176490768           -165.578942847           109.924291722            -41.6991049308           178.153620107            33.1658929618            33.1658929618            77.6733606175            -48.2624304595           -172.693856669           10.7451860647            -9.54416526295           -33.1365565813           117.76009051             10.8719831476            143.002227613            0.295893482794           0.149296115021           -0.483651695269          -0.641480577918          0.399089232748           0.504516894984           29.4997973113            15.6365073004            -67.4434495774           -116.711365623           -163.439563571           -52.6975335316           -87.8284990796           -25.0510912391           29.8210202301            -152.785113676           -179.493391551           148.413235031            -88.146928404            -142.443306406           -47.5448314885           
rwgt1                    -76.3285070309           5.50046951078            -0.726743537015          5.78061011795            0.357668281688           -62.7861462775           4.46466586803            -22.3909011118           6.79458301712            129.481633982            6.4834289267             -145.457633541           -53.0005158633           61.1582984261            61.1582984261            113.781090642            125.433383521            68.689749406             -123.318731194           45.3170891902            45.3170891902            -15.5199603727           -125.16317649            122.491496215            -19.9471704371           16.6926790126            0.690772885284           38.5761567008            -34.7352403882           71.9384915269            -0.107678509694          -0.374922268615          0.49166329215            0.78898541359            -0.459360412657          0.753119551516           -70.8817986199           12.3999956424            -61.3392015125           -159.010852193           -140.696374945           86.7174018707            -48.5293173964           104.847181696            0.550241162982           44.1572055482            159.269111907            -32.1423957433           44.2111832836            151.951868868            96.4037170602            
rwgt2                    78.3993128416            -6.25173382596           1.22963828902            26.8331947698            0.0977728826637          7.42243404954            -7.09110070857           161.288310463            6.40157853322            -167.847543521           170.025662142            98.0504392553            49.6744288046            -25.989266133            -25.989266133            -130.151647717           8.7203378748             -105.513200165           93.3746845295            23.15354171              23.15354171              120.605362001            -70.2697311928           115.566509367            -7.9095745023            22.1760747441            -13.3612023313           -156.102916624           139.881297429            -58.9860431677           -0.253034254565          0.707121911851           -0.461005890935          0.631599593756           -0.388263113429          -0.777877242619          9.99110671735            16.921878266             -82.0959123194           -99.011208725            113.527470897            123.360093169            139.835004291            137.512940173            157.892492955            -73.8906292358           175.574524705            162.725059015            -80.923480028            -43.0579928575           -175.951085947           
rwgt3                    39.508542613             5.73076227569            1.55583621004            9.93766113202            -0.287734440048          128.622674016            -9.26484894475           -157.800117088           14.0947335901            171.530889658            -18.333642615            -157.105481296           -20.3610365279           -152.619512278           -152.619512278           98.2957106427            -144.742825033           -8.77773811639           126.35544373             38.1018282811            38.1018282811            24.9535602331            -101.807858398           32.2462074652            27.9581898795            3.73759597188            17.6948425335            97.5612532021            30.0582312239            75.7503421476            -0.344269944511          -0.207442544461          0.133661066575           -0.224838201224          -0.443449342774          0.609617476277           22.379563429             -33.562780425            -83.9552906584           -146.81588805            -64.0665683266           -88.9844803968           16.6381468673            -115.591105832           37.0770253599            167.586656285            -77.3419535556           131.612576745            -31.6399719945           -112.90522562            147.892155635            
rwgt4                    67.354526719             -7.0210291044            -2.19102778494           26.2615054236            -0.285103773152          -125.362909209           -4.08989665794           42.5334100516            -7.14651730238           72.9103638204            -115.709667586           50.7938275664            -81.7485127701           173.079627811            173.079627811            130.985248329            -145.362226374           159.84677731             -34.4823329197           -116.999582748           -116.999582748           51.8153015193            33.3975672529            25.2648748942            -12.1683090768           1.72386619538            32.8594302394            -130.743406469           -11.5481008525           -7.86939086648           0.346822771096           0.298020631175           -0.207269877586          -0.142179604958          0.469687355735           0.545882756211           -164.144976507           -22.632565514            78.8875537277            -148.250958778           -88.1666860014           -176.071204578           -166.287221658           156.551151558            -150.615418677           -28.6770465367           -129.83417148            77.7213843827            178.23101602             -45.5013329024           171.649510025            
rwgt5                    -81.6799668758           -10.7105409742           -0.378234489027          -24.5365067107           0.621721425472           4.68527755825            -1.17623188375           -134.063282011           -4.52551138056           -145.207281316           35.6295846513            31.8837678256            -4.42765693582           18.0367663181            18.0367663181            -117.842304764           -143.528957779           -69.2971783981           136.109558492            71.7473734919            71.7473734919            -32.6381341304           126.884216384            2.49697314201            -7.105314449             -19.8455783208           24.7418277953            -135.544876377           -78.6092755848           -172.919044136           0.317219792897           -0.395322002339          -0.382288258819          0.237753489235           0.298254077668           -0.494550589033          -109.389088524           18.4195217842            -39.5742218171           -172.542867759           47.4502008065            -38.3697257445           34.8743142332            55.1424933425            32.1884344841            24.3289250812            -151.26648417            -145.884465936           28.2967142349            24.3308813358            178.608843667            
rwgt6                    39.1363144401            -14.311486958            -1.49414558887           7.37502993372            0.377885743445           146.947660119            6.97716201929            -34.9569140069           -2.38698347744           161.175574166            38.2202431887            -61.2285387989           105.76119022             137.050930187            137.050930187            -147.702231169           -97.6340333644           -76.6842946351           156.422304551            43.3545403348            43.3545403348            -157.267021675           -5.3449660139            135.234909341            -21.3352324553           35.3572010267            16.0936283551            26.5174413999            122.750987413            -29.5511351818           -0.178175377814          0.543626144367           -0.176499382289          0.0739325470284          -0.464173774674          -0.241122954717          -142.411508244           -40.1100795221           43.7367223326            138.070616429            172.377006974            -161.997066186           -15.2004579087           95.3659920698            139.565412395            94.3416577078            -19.985827967            -22.0793414168           -152.299909675           97.7136328697            -121.233474905           
rwgt7                    -31.5799962184           -5.67262094908           -2.14389243321           -6.07032718093           -0.31749318717           120.122094727            -2.02090988144           -52.3871007109           7.79749913605            -117.36097127            -42.054933632            -97.6779734666           113.169723188            -116.578313346           -116.578313346           60.8202748252            -144.387615463           80.0418144615            -178.683183284           -77.6378153796           -77.6378153796           -123.886461568           125.593611914            94.962835703             -29.9594237888           -5.62887577037           -24.6794315928           26.3348596525            22.8997385459            -96.5476468583           0.359134277338           0.473658243893           -0.0279652665482         0.236486329272           -0.465150293997          0.429741923545           -100.552069382           -45.6998329444           161.796251484            174.222455056            -85.4369092039           -115.577817713           33.2945711856            31.5067646448            86.5932995282            91.3472917382            45.3652668061            -60.7584206127           -5.48902275038           151.505571186            1.61486122806            
rwgt8                    8.81411834788            14.4904868401            1.3793513145             -5.35142800439           -0.405788968331          -135.483485496           -2.26247091953           141.961338143            9.83439440916            75.672652639             -153.829827008           -43.7456020204           157.154532394            110.296901132            110.296901132            71.5861523851            95.5245995624            92.7174816965            27.6054675955            161.812041021            161.812041021            -167.432322766           -111.05442854            -83.9623910412           -12.7913684842           27.0813251545            -2.84809875635           151.993853517            -68.741707142            107.031978988            0.404356230752           0.0217496770514          0.367486643326           -0.115942980386          0.450294172161           -0.387397536818          -103.403961894           -3.26889959621           -95.7403448467           -29.2209691339           11.8775997986            171.910151171            -72.700130596            95.7293846733            -12.1459637223           86.2571221921            -135.842539172           -108.545898743           -28.2545425307           -164.835371942           170.097264469            
