                         ctHRe                    cHQ1                     ctWRe                    ctBRe                    ctGRe                    cbWRe                    cHQ3                     cHtbRe                   cHt                      cQl31                    cQl32                    cQl33                    cQl11                    cQl12                    cQl12                    cQe1                     cQe2                     cQe3                     ctl1                     ctl2                     ctl2                     cte1                     cte2                     cte3                     cleQt3Re11               cleQt3Re22               cleQt3Re33               cleQt1Re11               cleQt1Re22               cleQt1Re33               cQj31                    cQj38                    cQj11                    ctj1                     cQj18                    ctj8                     clj1                     cHbox                    ctu1                     ctb8                     clu                      cld                      cQb8                     ctd8                     cQd1                     cQd8                     ctd1                     cQu1                     cbBRe                    ctu8                     cQu8                     ctt                      cQQ1                     cQt1                     cQt8                     
MGStart                  -4.39                    -1.98                    1.97                     2.62                     -0.19                    16.01                    1.98                     23.94                    1.93                     100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    0.54                     1.16                     -0.51                    -0.44                    0.82                     0.68                     100.0                    4.43                     -0.75                    65.61                    100.0                    100.0                    41.03                    1.42                     -0.85                    1.44                     -0.75                    -0.68                    55.1                     1.2                      1.04                     -0.42                    -0.27                    0.53                     -1.25                    
rwgt0                    -4.26137307565           2.14992403764            2.38677766281            -4.07341440232           -0.102482487239          -0.249834975435          3.48099839298            -30.5229411685           -0.672997512369          133.137670328            -24.9901919345           -64.2325481368           -90.16986128             17.2187786789            17.2187786789            34.3270594774            107.320983315            11.0602061304            168.750512836            121.582091105            121.582091105            17.0229789385            165.531773775            -35.2434684048           -104.893229204           92.2673799865            -156.348278877           -6.77971829845           -8.7688711871            18.4616699797            0.530888293642           1.24357430187            0.577380734396           -0.685871392921          0.0127349763491          0.969791265803           141.451749308            -6.30751884033           -0.134851027135          6.82454179162            -106.077171294           135.720461616            -71.1573990401           -0.268151915257          -0.908147370407          -0.744931935947          0.666278930635           1.04912272853            -79.6052304363           0.729587047716           -1.81644748214           -0.352768999595          -0.438684364561          -0.281225082303          -2.01745093179           
rwgt1                    -1.02603884588           -0.731909252398          -0.839944406989          -1.52859523502           -0.28806529993           -25.3921050037           1.4494815124             13.87056577              -0.551090098292          -155.045612237           82.179211538             79.4262448928            47.5019831427            -126.487920009           -126.487920009           -155.44671041            69.4593809748            -61.6778567626           43.5655443701            -164.87127301            -164.87127301            112.031606812            41.7223614773            129.011009458            -16.3924178511           -99.0499221151           178.249395388            -123.890444734           -171.903973317           8.76686681716            -0.00327490611764        -1.46745098425           0.72234396303            0.788829570022           1.30341766655            -0.323054338871          96.9713985556            -6.2792094832            -0.650329988042          9.22560954314            133.437306408            110.112541714            -44.5460450586           2.12736119186            1.46070038729            -1.55916237454           -0.652252222563          -0.608255462816          21.1611178374            1.38102695849            -1.0399111978            0.749157927157           -0.0948767225457         -0.667034424858          -0.285508572362          
rwgt2                    -6.96276799118           1.31976374135            -3.36417288792           -4.55806769568           0.0554284852265          26.9825422635            -2.1727730991            -18.4190453134           -2.62679911403           50.8653097446            2.0422246363             147.422213815            -2.41305103344           -174.677074966           -174.677074966           2.09519695448            41.4315504943            15.5506411875            -155.045156762           139.445269618            139.445269618            -22.7002260186           -165.185617382           -67.9058518493           30.9545434602            -2.13718748889           151.429240141            113.92875349             128.260632306            -160.263308871           -0.784891041042          1.56817109581            0.498206366383           -0.452236549317          -0.014870636799          0.927059581312           92.8234123073            -1.6715405313            -1.08156271716           -17.3467842273           -166.736690539           -9.87626068361           -65.7968940114           -0.407385721022          -0.545399756965          0.410715419187           0.487313352654           0.925253751819           -34.4414089999           0.181279802822           0.927204855484           -0.744085556676          -0.287128649218          0.507077219955           0.782997820343           
rwgt3                    5.3491320424             -2.76003500973           2.06417468765            -1.83670381644           -0.22967940983           -20.944119593            1.33743228071            41.9686983297            2.33444256517            -116.994898199           59.7553155612            110.507724346            108.823674797            -103.24731417            -103.24731417            -5.82354466961           -10.6304530335           -69.7687237751           -142.121176174           15.6598560749            15.6598560749            59.8431757875            106.571799331            134.866253732            148.401780008            46.3930143268            -24.2880981249           -176.736829755           163.235060066            -177.643857321           0.79457486285            0.736035865882           0.836521708451           0.614490577705           0.235555166113           0.871147168932           124.631986838            0.809768570696           1.02325362655            -102.076483562           130.020732089            48.3896249066            17.8407418394            -0.46730921094           -0.0862232022802         0.594315594576           -0.604427414218          0.821292604873           -5.65428701686           -1.53674968575           0.460107693154           -0.0492646808966         -0.144824401284          0.731669968157           -1.06212457926           
rwgt4                    7.08825978725            2.23482172345            -1.60570172044           -3.85592985501           0.134036265555           -21.7338766539           -0.874293715281          39.9666693184            -1.21202241199           -7.63906572507           0.465861992977           148.791965682            85.6936787308            58.0158126704            58.0158126704            0.686890137014           164.497409458            -148.183246917           6.22691615463            6.38147382584            6.38147382584            60.870860734             52.5198025388            129.418800719            -89.1989368001           162.896079845            132.359484775            -153.167353058           -170.946193027           -169.8384407             -0.273839737567          -0.0155137064199         -0.689957484606          -0.392818419873          0.29277051549            -0.783627477621          -121.770706262           0.361513365337           -0.17977113172           -40.1487117732           -30.8202547866           -96.6483430424           -4.43461591223           2.21575526564            0.111559318498           -0.494398712019          0.953127025592           0.348287460074           -22.2772116544           -0.447144969102          -1.60444261417           -0.495519309582          -0.341684429612          -0.815319171288          0.977054910269           
rwgt5                    1.26607967306            1.29344031934            -2.80086467961           3.83478327506            -0.27685721968           8.95227523712            0.533529094523           -41.4538691024           1.45090868342            15.9471278277            -10.8017415013           23.6129111131            -90.8615248372           117.705875517            117.705875517            -98.1523933089           63.8977742005            95.2016191508            -146.534078511           -84.0976960634           -84.0976960634           -86.454054414            23.2690624224            124.662751172            127.002795652            119.141568432            88.7451184821            -73.4246304994           121.157026875            99.9177172126            -0.507084618018          -1.30506663842           0.0346166367787          -0.717044939104          -1.29868368414           0.889416863194           74.9707004244            0.433879632259           0.104345186641           -116.913116462           102.520027666            19.5150433875            -60.2006037505           -0.848682101383          -0.187106021145          1.1063493095             -1.06396162953           -1.06913432848           20.9829001273            0.101812143496           1.18787740215            0.333648919321           -0.452288555495          0.419088287987           -0.540679271591          
rwgt6                    5.00757975842            0.839968355672           -2.64266440625           -2.48604625563           -0.126660123304          3.26305009162            -2.17009128912           38.3039356598            -0.00969292013814        -20.4666748486           39.2749293994            2.17306100631            -98.419721633            114.568156328            114.568156328            -50.1647863832           44.1457234206            137.94333806             104.650849691            164.388499159            164.388499159            -163.958176075           -77.512975323            -81.8296832282           -100.781280716           -63.0717818401           61.17835352              117.238471817            1.76427011543            140.176437674            0.00783230716103         0.86834645201            -0.0124636465156         -0.154261098383          -0.933110297254          0.537239163154           69.8652453422            7.52226689869            -0.549728505105          -84.7433532408           -161.591040616           0.0904109728481          26.1804617504            -0.400775173345          -0.358641854804          1.13693260095            0.550305800366           -0.475890755391          -45.710494639            -0.855042782255          -0.884875175899          0.681981757734           0.102787398424           -0.799804771238          0.398391932181           
rwgt7                    -6.71806263059           0.446472907812           -2.33107200968           3.08586553541            -0.198602730176          7.89669071169            -2.80652457823           -31.5728987502           -1.35641967681           57.3131357539            59.377718982             68.1729940436            146.707240353            19.8368003966            19.8368003966            -131.162921782           99.7571961739            -105.943981563           -152.28776191            -12.339203557            -12.339203557            39.6344442834            30.0713469876            -15.9797008682           -1.54924895939           90.5773551925            175.444632819            -87.2796538056           -101.190893089           -118.156107367           0.708567982488           -1.83380148116           -0.200226873946          -0.340459889035          -1.39688116195           -1.04021358967           -37.6610187212           2.96155312229            -0.98142178918           9.67701123085            -5.07433140232           -132.374292172           63.655426382             1.64236029176            0.0473806585979          0.122087898329           -0.959224726681          0.587735918654           -57.4105932554           2.15337347482            -0.602769139288          -0.667509326599          -0.473932030524          0.0665938437184          -1.63712151896           
rwgt8                    5.42472458582            -0.608420284424          2.83316277581            0.323774281169           -0.162404407857          -18.1925555736           0.91325380824            -19.0801418761           2.89201433158            19.4184936691            -144.778213579           -87.974069666            -159.167748942           -139.646662823           -139.646662823           -112.259499313           -136.377866369           -31.141612192            -113.817864987           -38.007986588            -38.007986588            106.698039562            -71.9469589915           -79.9773786663           174.389641566            -81.8971870809           -0.0559178790027         -63.0242352937           176.704248787            128.800500907            -0.604073342154          1.07177401879            -0.0257785548742         -0.361221349834          1.37689457695            0.923334741297           -147.24790071            -7.72210874935           0.225887190453           17.0041982001            47.401547937             166.748963588            -43.3705008101           0.63554769324            -1.2908183505            2.0210395817             -0.55448488507           -1.15525607181           -23.3561493248           -1.77835100124           -1.662357633             0.473850714982           0.200584807772           0.426816814231           1.18757223746            
