                    ctW                 ctp                 cpQM                ctei                ctli                cQei                ctZ                 cQlMi               cQl3i               ctG                 ctlTi               cbW                 cpQ3                cptb                cpt                 ctlSi               cQq13               cQq83               cQq11               ctq1                cQq81               ctq8                
MGStart             0.13                -1.66               100.0               100.0               100.0               100.0               100.0               100.0               100.0               -2.07               100.0               0.3                 0.71                -1.35               100.0               100.0               0.05                -0.21               100.0               100.0               100.0               100.0               
rwgt0               -0.232602323292     1.96646422944       16.2107275987       141.402989797       68.7193828922       -131.189251998      -9.31736615274      -58.6134881613      46.3777259511       1.55069383146       172.417142966       0.000975124862449   -0.573330507584     0.177319358348      14.266356835        -129.455811019      0.0223580635115     0.067380795593      54.9317875931       -148.977529528      -152.560046404      65.3695564609       
rwgt1               0.0651183968638     -2.89237735379      126.75776507        -129.860788296      85.3112144337       -142.968820263      -13.6866268299      -72.2715857718      -12.6701217666      2.85701372783       89.0955652722       -0.167284334773     0.290949827224      -0.717958723165     77.9265853223       75.5322275259       0.00477089462834    0.373156894387      -0.208023782618     -104.350970832      -134.998591377      -127.620422542      
rwgt2               0.0537000934114     -0.197118017062     119.079032271       -60.3986232452      136.569444823       -116.534475838      -116.203821542      13.8773007622       132.437569731       3.06140563671       -159.713634201      -0.505675737212     -0.13673512602      -2.42182974365      174.025137851       -144.487821666      0.0450339141368     0.292264497584      -177.780347483      -0.7946381957       -99.5768811845      -97.3669002293      
rwgt3               -0.202648058594     0.496508746154      98.0742892721       177.86428181        -18.5304703819      -115.804895342      -159.390235002      -45.5976646721      74.9051284489       2.06911022119       -52.8709452967      -0.208498588365     -1.25753596015      0.0332042243628     -176.764314267      -62.7759256862      0.0121936970878     0.166364732895      94.4869126008       176.194630422       79.5626562896       74.0738589054       
rwgt4               -0.150207443682     -0.832299721943     64.7224532515       64.4479907568       -155.237320965      101.998319776       -160.447632169      165.737381078       89.0573306549       -0.0898543368261    -59.8870658548      0.528622170197      0.259527451103      0.135225971046      28.6986447766       -17.3804747205      0.0105623681594     -0.0427988881101    -70.9343379758      68.6201115325       109.104404829       -120.728825505      
rwgt5               0.11296185922       -0.594844511645     49.2817313446       175.041492776       46.8536777368       -166.878817625      -50.3184525348      -150.735457863      -79.5820438224      -1.85686048466      -144.242093536      0.28272875017       -0.261190185182     2.22943284439       -149.921511463      13.45838093         -0.0702926065394    0.197475929974      -120.21136785       89.9464561097       38.7953098092       4.2819629589        
rwgt6               0.00178661524394    1.20725532874       -45.5987954283      -20.2196818452      -145.368914116      -170.021928825      85.9626142661       -5.88670770698      -44.4813644151      2.13750636302       131.020485989       0.335631710416      -0.0863523111557    -0.207604513377     174.205126437       161.024775508       -0.0647251973686    -0.352560091875     71.0646666106       -166.077420815      -17.031610767       -32.2434937534      
rwgt7               -0.0877269437473    -2.09156484833      -134.701360639      160.554842567       -156.716539546      38.1244747638       152.514790836       -124.143184628      -26.4510012637      -2.9128332716       -5.70843487418      0.0668714388314     1.26804665303       1.83937965962       172.703080711       -132.829705229      0.0776117984758     -0.337389250751     106.823014355       -144.437043623      -114.940203986      141.368715304       
rwgt8               -0.0349907371001    -0.598803801101     34.6082813528       -149.977970328      -43.5749337067      9.85661986815       -175.628501403      -86.3490464132      169.700331479       -3.4006032783       23.2161449731       -0.0605289249235    -0.740636328861     -2.40493055494      -40.3618609702      -42.0360722444      -0.0278708140056    0.0280062284331     88.4615720944       -97.7652169087      124.529106981       -97.6548699661      
rwgt9               0.0177328695361     1.0847642204        -67.2998477348      166.755971033       -124.321033374      -92.0284841394      167.160435138       -175.181346231      -156.426588545      -1.85979407863      32.670510449        0.386637180788      -0.146460214806     0.310673211111      61.4300591432       159.871238088       -0.0560993414926    0.0795987406358     -166.627775378      -7.22895343166      -68.6649978759      -164.082177359      
rwgt10              -0.165534190659     -1.08929656811      0.938166381914      5.22822157437       -150.17037462       -85.259023343       -29.1626099918      -81.3027156148      24.2794623875       -1.82290013479      79.9812700039       0.196722282413      -0.413430848706     -1.77323435748      -156.024949494      16.0374795192       -0.0414210673397    0.354437760013      -177.319628071      -73.4025184875      27.8418693887       -57.7034761261      
