                    ctW                 ctp                 cpQM                ctei                ctli                cQei                ctZ                 cQlMi               cQl3i               ctG                 ctlTi               cbW                 cpQ3                cptb                cpt                 ctlSi               cQq13               cQq83               cQq11               ctq1                cQq81               ctq8                
MGStart             0.82                100.0               4.17                29.54               -24.42              -11.07              -1.76               10.14               3.57                4.24                2.67                1.19                0.45                4.33                8.41                21.61               -0.1                0.35                100.0               100.0               100.0               100.0               
rwgt0               -0.866630455376     178.62432448        0.0914433570389     4.22926063543       -17.5035864103      -12.9281085919      2.08195058163       12.1177630659       -4.79189526404      2.20476421011       -4.19808856132      0.609407908065      0.0389657466308     1.75669865538       -2.83549628401      14.8866151221       -0.1320383003       -0.287313869072     -7.43417635405      114.786067189       127.81797369        -48.5171751804      
rwgt1               -0.0973322270634    46.7766822348       5.60614814139       27.8693187495       14.7464937416       2.93367711077       -1.91696180553      4.73012852677       1.26893008552       -6.60191988239      -3.32557180403      0.401678377612      0.0579316279007     -7.56685457805      -1.26430880105      16.5385551998       -0.0164392477767    0.201216829237      -120.669708544      -179.465649014      -10.796926834       -121.470693531      
rwgt2               1.03584017569       52.6600465931       -1.58452272247      48.4368542278       -4.29983711348      -15.6349953774      -2.04024489678      -7.68121783752      -5.14222431047      0.665720175062      -1.45489086161      -2.00145238933      -0.568529191431     3.85648713472       6.04630706672       24.9560387367       0.137187511707      0.0814272014913     130.356361288       -104.285248336      -77.2690134481      -117.777310273      
rwgt3               -1.00397042891      -144.439959193      -4.73349447591      18.0558321633       25.6876146574       -11.7738361764      0.936394215247      9.2589535567        -1.54512257856      -5.25250407234      4.05669767358       -0.119126210491     0.0362690129331     -3.95614735812      -14.2271157663      -13.286332846       -0.111626558708     -0.126591501136     118.114129763       -153.581297052      -22.373664038       129.243251416       
rwgt4               -0.849394517243     -167.911068253      -6.26044360635      26.1863269982       11.9204736479       -14.1938227295      -2.18314802865      -1.28086120851      -3.31201782795      -3.86109222109      2.78861466831       1.45242136625       0.26460042805       -3.1609598485       -1.86210832819      -35.3652718505      -0.103420172305     0.417583821852      -79.5310803206      -94.1477446464      -117.971556797      -171.689095502      
rwgt5               -0.0652485429494    127.032629119       -2.18031394394      13.8618554674       40.9635414612       11.8926707168       -1.39544666014      0.213614292474      -1.86785326079      5.39659171564       4.35572435954       1.83841672485       0.54157164603       4.04108467397       11.0769051403       30.739719481        0.137586428049      -0.587287959134     49.5328443876       -95.305626721       138.868799998       169.974982115       
rwgt6               0.336857843048      -57.3290655058      -1.5486839806       -11.5037502683      -5.90564131515      -5.16889937725      -0.773029357139     11.0496985986       -1.25331486127      5.0058403779        4.0148664767        0.708960527231      -0.0807629241961    -6.08440973537      -14.9795003029      -2.13280314408      0.120142549153      -0.578492815005     4.09300191979       -108.114148776      101.609414756       13.2226894416       
rwgt7               0.837474080605      20.1825312573       -0.523470979282     -5.40335460157      38.282584817        -1.43076149686      -1.07102675498      11.0174189494       -2.912481471        5.8133798724        1.68898173502       1.47632330108       0.214644795645      -4.6347960171       3.28112726766       23.1225821111       0.158821408394      -0.0486453596727    -157.432671605      8.24553298889       116.017628366       32.1868718966       
rwgt8               -1.07369967496      148.085546614       1.32655002639       6.21147585844       29.6011669236       -13.8818326002      1.70865794141       -14.5149319396      4.44848994633       -0.210310903843     -2.67685081211      -0.288714585691     0.183441664183      -4.5246320431       -4.21700510941      1.34191042798       0.0389926999958     0.116237852292      -153.422772826      -107.661800515      96.1333305556       -77.9735914808      
rwgt9               -1.12804994875      -73.808770773       -3.95485141428      -42.2880418693      -22.4343285287      -13.1265860935      -1.73746313578      12.2271870105       -4.94589948725      2.93649949826       0.580457942106      -1.5844922003       -0.638420369424     -3.31838991125      -2.56995490565      -0.532269859667     -0.178064622759     0.394652916173      160.716364097       -26.202008938       -129.058767314      -38.8232313869      
rwgt10              -0.37978964769      25.5954664069       5.90238225823       -7.40082612117      -15.8741484008      -0.180904450696     2.69929669378       -5.83642149533      1.68173628997       6.2882599935        2.52905195208       0.28150512294       -0.088498134452     -1.1526316589       -14.6778260752      -4.87990451187      -0.136388131713     0.531214124998      -12.5623737721      -6.78690025518      -70.1953178571      -54.6515167085      
rwgt11              -0.252899351507     -118.724713334      7.21946127165       -31.7075093771      -43.1134693059      -17.0242738597      2.20221017937       2.1780389663        1.61792636321       2.50726280392       4.75199671815       -0.030084401726     0.131528222814      -2.83279684814      14.5221048566       -31.2059088615      0.0138795820372     -0.587108636429     174.920838664       126.771612062       -51.8536918365      -138.161906319      
rwgt12              0.251054745607      97.6588725067       -0.884314449454     16.394696442        -34.4674014884      15.2300498272       0.662453495542      -14.2957011463      -0.686077536841     5.90146618491       -1.80932486854      -1.7187217509       -0.617135773803     -7.22499982778      -6.40314813483      37.1198568026       -0.0522516846137    0.58428065917       39.0532116628       138.752053432       -65.8942561036      -52.8170362434      
rwgt13              0.0526180168502     -169.133498892      -0.505558529916     -23.3126408781      23.3014543047       8.08714262404       -2.37262257599      3.14234244345       -0.33394678171      -3.41095070354      0.418516975233      -0.870851568608     0.505268009038      -0.742474109135     10.7011675253       13.7468648492       -0.0906769832756    0.0604449082946     -55.058040099       -15.5628524246      -17.1844977376      -173.231848042      
rwgt14              0.308294498949      150.616745878       -4.37896722003      48.497583893        22.0802029725       0.639165101608      1.30498888082       -10.1659790118      -4.10004902578      -5.83483453029      -1.78830537596      -1.66089527692      -0.0383455924855    2.167340475         9.3592631823        11.6432799219       -0.0134232367642    -0.232309725593     -10.9537994362      151.638964201       -141.813152203      12.2411738313       
rwgt15              1.10415965318       153.24020685        -2.3830290413       30.3505234552       16.2581887944       10.3234014447       2.34829475914       -7.73972386378      -4.73013654008      0.389417222549      -0.752286620076     -1.79479952209      0.448603563438      -0.349973972519     -3.88959789708      10.5593382496       -0.0968815368391    -0.158499913972     144.544922121       -34.1832816555      66.8101476622       116.804909417       
rwgt16              1.06781734252       179.055256027       -5.57495704584      25.7795245132       -18.788061931       -11.7087428211      -0.997792961269     5.16851974771       3.0934674291        1.57889765753       2.2083097196        -1.24849909683      0.144990069675      1.88449676735       -6.82164437234      15.7671351162       -0.111806339159     -0.0239139332967    -76.4906573908      98.8141575944       13.4275481001       14.237224336        
rwgt17              -1.24016102945      -32.3059137506      -0.455112031194     11.4109126543       39.2247871025       -8.08866641174      -1.1976672149       -15.204497235       -2.14052847402      -4.83022950853      2.33281100879       1.83559530556       0.610288901507      -5.2298341325       15.0529891502       31.8020682727       0.0309120029406     0.376105457108      167.842848897       -67.0417702869      -162.521994711      -10.1380172852      
rwgt18              0.340503548613      -152.552317804      -3.49624614917      36.9007238063       -33.1435819823      18.5613990323       0.036128781477      10.0222873958       2.00324611314       -7.38853046738      1.29081571737       0.869353228542      0.368081555039      -3.6026287771       7.44637766278       -10.2181161202      -0.0841272249117    0.409764083399      132.488702296       -119.666834561      55.836027228        133.814259889       
rwgt19              -1.07966311641      31.0700720932       3.75122708027       -24.7564901199      28.4592698198       15.590998449        2.34384216953       -0.474051003587     -3.11942954662      3.1054991233        0.851238738337      -0.74896053261      0.574482429281      -0.945809745581     -8.61738267228      15.6433187772       0.111880568584      -0.487541830393     -45.2366869294      -89.4715496392      -117.31828111       179.182344934       
rwgt20              -1.41047028085      -179.864372412      2.01668912332       -44.7766917442      0.325834623604      1.72382859858       -1.36842484154      -17.5679740483      0.992509477949      4.63822149715       0.0827781680046     -0.428101977692     0.602065756015      3.86685470777       6.81306879933       -16.1036451307      -0.00280038882896   -0.110329988055     -49.9899657159      151.682754731       -61.2766939262      96.2368180699       
rwgt21              0.67807999142       87.4178772182       5.8803574447        -23.1172369303      9.76539062273       14.3843320709       0.660471524642      5.0051507863        -3.19321892471      -0.157823338492     0.798671897627      -1.77931851054      0.145387244374      -7.41848241887      -6.85070154648      8.25124171854       -0.0979945339785    -0.0620847425523    95.5001257897       -170.062341849      -54.4037623844      -129.58326505       
rwgt22              -0.967955468084     -90.5543659801      4.51966276394       -4.5389498109       31.0032652734       17.6436467791       -2.92586507598      3.75128577506       -5.24361266084      -3.71264861547      1.42737227522       -0.226467450278     0.0646855826724     -1.04873438559      2.34819336665       5.33351188966       0.0413394051679     0.367064698197      -20.0259508743      -0.277187734601     -101.757173795      -178.462277519      
rwgt23              -0.0134960783582    160.489334631       -4.7053498225       -16.6227971847      -14.7252850459      14.0812589135       -0.207918244821     -8.37539835291      1.06256397786       4.04748966684       3.67301622979       0.207324037923      0.603836539548      -5.63968772522      -0.782321545526     -32.7956115052      -0.110062462258     0.201750556897      59.1581919159       0.187731589199      -4.12455658546      20.3383456707       
rwgt24              1.00701165366       -82.2734068163      2.62410307672       8.32795764533       4.987588787         6.05424679195       0.462146717674      -8.06960462154      3.34585991909       0.279762891355      -4.62747866973      1.07246942663       -0.447799931248     3.48362866775       -6.55422564849      37.7575866182       -0.0788417385954    -0.448564239605     -25.6672351428      -47.6100330006      -7.54312800012      24.5651410993       
rwgt25              0.380654980532      -114.157320334      -4.31732466271      17.2886022618       22.9037801941       10.4886877318       2.69726808435       0.113077105878      -0.765000605603     0.558864480845      2.94956278591       -1.21797188414      0.307543915052      -7.18419816398      -12.5102292422      -20.6010672832      -0.000739513340568  0.50058346553       150.929533734       -134.625751793      -33.7423853092      4.58902954456       
rwgt26              1.18674192684       -45.716801918       6.68233932045       42.8696020119       2.05013370439       -15.280731932       -2.70829630698      -13.8724474993      4.18832212034       2.04352910594       -2.66442500339      -1.10175779444      0.591947334899      -7.12539577381      10.5510912738       -21.634056787       -0.0441586535093    0.381617330108      -130.084931076      -174.453593551      174.993579374       -58.8133839821      
rwgt27              -1.40228874844      -80.7190734076      5.47451130469       14.7412425879       -24.3637425456      -18.5351506912      2.59090203174       -17.4306532677      -4.00023767452      -6.34523030578      1.74769060413       1.43751242804       -0.171198700029     7.50689528786       11.6068301818       -25.8604189791      -0.116524667769     -0.419671341111     130.089243358       88.5574346801       44.3645905646       120.170649771       
rwgt28              -1.17222336299      -136.184420451      0.0565856997052     6.45541433832       -5.08774948297      -1.19464408562      2.10206538601       -8.28476161722      4.41488067568       2.97659918051       0.452532455357      -0.0665103934041    -0.0600273793031    -0.806149500379     14.1428482632       38.8268108523       0.037754433831      -0.156381368816     85.7062145307       23.6079126205       -23.9970238969      40.4856351899       
rwgt29              -0.154585276258     -165.372791076      -4.74048767094      0.642285567926      0.955065266538      -1.70357377113      1.04883533409       7.94402878972       0.808781957508      1.60699568487       -3.8347653985       -1.78649829058      -0.454789816326     -0.443143895021     6.60657741552       28.3735371773       -0.162456465616     -0.344936358422     -164.893956895      152.458224006       -155.551922044      105.850469306       
rwgt30              -0.421377745246     -110.284971965      -1.55367401377      42.5211869066       -16.2934303174      -18.6993339784      -2.884811132        0.968892952159      5.17393518233       7.35261653313       -0.86604283873      -0.0285675074548    0.586312674872      1.85049588785       0.786868375942      -9.93519453647      -0.131193628963     0.449757903453      42.5206046309       -107.139804127      26.4144067743       -78.2221526604      
rwgt31              -0.497639042603     -122.061721349      -0.640144625943     -25.9312183767      37.114084513        -17.4011609765      1.46345722655       12.5190288589       6.42139455913       3.36212412811       -0.722294685565     0.989770487157      0.417406844027      -5.14205491394      7.74399026275       37.5049374848       -0.175502204943     0.254733620683      114.809703428       -9.72625576902      124.063247155       -157.5425876        
rwgt32              -0.494160461668     -149.933529996      4.91600609268       -37.6242920184      -2.82834960919      -17.7498922072      2.11293544939       -14.3467039957      5.62718141192       -2.69011812773      -2.81825402736      0.532123310762      -0.437673895209     -5.34609173848      10.7354726114       0.987335667916      -0.0461046799874    0.263707705567      -148.304867486      113.162492046       56.3200966822       65.4873954603       
rwgt33              -0.883500443894     -25.6174964892      -4.02234785128      -15.4671893034      3.56004501831       8.56612763978       1.14939763437       6.6967666912        3.48625406713       1.31364966525       -3.1168686139       -0.366498139182     0.701495162606      7.13835363081       11.6264583979       -25.6603223526      -0.116055911663     -0.387169945623     86.5668679261       -97.6132899194      -170.469891041      -26.2292537413      
rwgt34              -1.29401501036      177.784300891       -7.05358413916      -30.2523035304      16.7935912368       -11.2252734489      -2.77563425676      12.1563232575       -3.11471323474      -3.06157291669      -4.22562013433      -1.60110155471      0.633385848588      1.99291474299       6.27966525847       18.6942947756       0.0574851024725     -0.0900790764604    -64.5445138913      -170.426561434      175.205061121       -67.6120051485      
rwgt35              1.16328603618       -148.151924553      -1.03962869144      -5.58609396029      -33.2097594932      -2.99755309293      -1.52968617544      -8.5959176758       1.0178779656        6.51760880545       2.47715783709       -1.8236522294       -0.59790029032      0.201982043911      5.25829457604       34.2825699987       -0.0233884884551    -0.625452970551     -15.3900618228      -174.829538082      -21.0277039664      -83.7984901993      
rwgt36              1.32708919312       76.0876447888       5.89429667836       12.0970667648       -42.8883109379      -3.46462576779      0.00670008822434    4.67699730752       2.18521529992       4.04492186597       4.51054306391       0.852498932696      -0.566134098134     6.77577995937       11.6982278344       19.2833903652       -0.174580924815     0.486145535294      110.77126426        72.8773563256       9.19431502297       -168.298100921      
