                    ctW                 ctp                 cpQM                ctei                ctli                cQei                ctZ                 cQlMi               cQl3i               ctG                 ctlTi               cbW                 cpQ3                cptb                cpt                 ctlSi               cQq13               cQq83               cQq11               ctq1                cQq81               ctq8                
MGStart             1.0                 -0.8                -11.14              100.0               100.0               100.0               -1.25               100.0               100.0               0.09                100.0               7.34                5.79                16.53               12.88               100.0               0.68                1.54                -0.72               0.7                 0.99                0.93                
rwgt0               -1.28542577985      -0.926436883206     -2.05361951514      35.9892391138       56.724660687        37.6062791178       0.031324076358      -143.986696524      32.9679418254       -0.117273625144     48.7070981266       1.38646848501       -6.9746990165       -12.0336293747      -4.7270473957       103.771498591       -0.83554773246      0.267883411808      0.399731729395      0.738193626932      0.174813768068      0.447862289494      
rwgt1               0.220648012639      1.20471958208       -3.3041937534       -0.114328335001     32.808734545        125.431927102       2.16995108988       -178.452552451      133.920035107       0.0393556104753     -21.6709544103      6.77589312335       -9.20821332426      16.7824969692       -21.5034443827      52.4426316898       0.346217990522      -1.70658361775      0.48665928268       -0.446686909975     0.326885941207      -1.31814360521      
rwgt2               1.28084818044       0.306441388844      -0.781772613388     -137.742135258      102.870139135       -8.14687862426      -1.52279015389      165.832601019       2.6917537081        0.122210136578      9.17053936171       -5.85713991237      2.80513568887       -3.45445047216      13.1957292902       -178.323079665      0.453009916076      -2.45475006885      0.971271164595      -1.0608178436       0.00483397402696    -0.257715775772     
rwgt3               -0.649351703501     -0.978166202424     -2.15762476028      124.020317575       37.5568709189       -170.080196977      1.29318883514       -31.5316927373      -42.7316351645      -0.154498868674     64.4803103995       -6.63522221271      -0.596958552747     9.05675762727       15.5584956828       143.691868329       0.603647100749      1.25307851293       0.16087672615       -0.255257971907     0.346908230985      -0.574685710206     
rwgt4               -1.00046179418      -0.972526928331     11.2770429888       -134.713363057      46.6308979704       -149.64381121       -0.320967956778     -67.8484946473      16.6296068167       0.0594079283574     -80.6840196219      10.6910397827       6.24275048405       -18.194967907       -12.1503119287      -118.993731696      0.743297434171      0.842625045644      -0.85355514341      0.89956582026       -0.456647071573     1.54295241409       
rwgt5               0.657760342105      -0.389611135062     9.66792914032       0.612606531371      -178.32746667       -63.3918085227      -0.556912788251     -76.5860895859      177.792027116       -0.0381843289345    36.363548102        -11.7697473089      -8.8565153538       -22.7168522818      15.8047736305       25.0156708797       0.240341581234      -1.82223618583      -0.421371637488     -0.714502028613     -0.085247601595     0.255891540893      
rwgt6               -1.76866425517      -1.13183760722      7.29707477859       -153.125227244      -139.996047263      39.5792444202       0.663152232525      50.3336409621       41.5872712571       0.010578805806      63.0217000964       0.0340961289214     7.56129011035       5.44502570432       -13.5390506709      -111.93201162       -0.325858658457     -2.10039402431      -1.15697701485      0.348497442138      0.859470160262      0.421788692423      
rwgt7               1.78802631257       0.246216061302      7.42217629721       -7.87141057047      -148.004903553      -9.31740995134      1.86502989007       -100.302562288      157.637536128       0.105560458087      -31.6032836547      -0.772581845084     -9.67286698812      25.2680275316       -21.696027616       83.1386611719       -0.961630762796     -0.868157807575     0.35399204581       -0.0756157695127    1.19581056198       0.842490021643      
rwgt8               -0.222569326168     -0.123735197855     -16.0134089498      -104.632850784      -2.36365181788      146.621092415       0.771414190425      172.419235714       172.957923423       0.0856432019445     139.493588115       12.5698955635       -9.26817987855      3.7536326642        -18.151990491       -95.915884715       1.11390176552       -0.601648152439     0.920336740324      0.825224736389      1.34206725201       1.2573912888        
rwgt9               1.71020068606       -0.519410498021     -4.79169791729      -132.641822325      45.1870859603       -116.251792113      -1.97386096748      -148.271320649      -136.808126124      0.0851632267004     -90.1718045111      7.61995901108       1.65133291643       -21.5327914235      -7.58660808191      -125.508132229      -0.61059268741      -0.316526576343     -0.556494639688     -1.18609828691      -0.0442935833631    -0.362838733202     
rwgt10              -1.18480461278      -0.584409236985     -7.50188197609      41.6763455986       158.718882589       -27.3750051346      -1.58634600475      -173.822286467      -168.636828521      0.0750328123746     148.723608747       -12.7913253268      6.66924043451       -26.3919418941      21.5045772143       -111.256815744      0.19579319757       1.04330411113       0.664400978667      0.0372716005026     -0.115417335902     1.26518806852       
rwgt11              0.92931825463       1.29680641629       -14.4447186293      121.355586697       6.43505559663       -69.840415619       1.99573058944       160.415285619       101.226760074       -0.0263843503164    -127.291434472      -1.38552812642      2.45528982729       5.03242131854       20.2543435793       -45.1736928031      -0.669585001821     0.131601763651      -0.817127971498     0.496229163849      0.989947156315      1.63394569391       
rwgt12              0.17963596102       -0.978685032974     10.3945286059       -92.1372670935      53.863145434        173.794735457       0.930100007264      -24.0577208489      -130.96871552       -0.0982742449687    -172.506637772      -1.10565304715      1.10728485585       1.57640154802       12.2272368023       163.607694749       -0.209206076511     -0.968455287129     0.955274478646      0.501004806288      -1.17921477609      0.551464662289      
rwgt13              -0.153050752442     -0.131890855362     -14.6812092619      128.49456215        60.9909865519       55.1708715059       0.874209032458      91.9489263335       28.5138331392       -0.107676555927     -169.104805995      1.37471746837       -5.95507451929      19.0063164311       -22.3852008076      145.664945026       -0.603295608283     -0.0642551188376    0.208474348721      0.508236717093      -1.26251176577      -0.890326691181     
rwgt14              1.35160075102       0.315060533765      -16.8343761413      54.5613613822       179.566307141       -91.1003879618      1.85623266407       -70.6164103566      -158.108793019      -0.0873196097581    127.828679228       8.51983014122       -2.67113795043      28.2516125005       9.43725274871       -122.676599778      0.430817602848      -2.49255856741      0.417388081503      -0.476133539881     0.970747756699      -1.02024755273      
rwgt15              -1.55110273549      1.14471018529       11.0929421426       69.1505327022       133.969963831       -70.1774844445      -1.00285272871      -110.276509277      108.8397937         0.0203491904844     28.2529679814       2.22246076145       -0.3150780512       1.50272447285       9.38779302904       -56.9450550814      -1.11605646384      2.26782568293       1.02011290644       0.80062428441       -0.0821293603839    0.939909794557      
rwgt16              -0.281224727209     1.29796886648       2.9807439959        -134.285772152      -57.2887191693      106.144629157       1.02757988598       -151.010055688      -153.695112783      -0.079741298279     135.450388953       -6.52214533773      -7.19521807777      20.2064782522       10.2924505602       -23.7011087752      -0.435535931545     1.08322037645       -0.873845288998     1.25154134754       0.918083077229      -0.91903445095      
rwgt17              1.05150553875       0.733548418529      -14.3051022725      67.9430180288       -64.7386239829      48.9277394577       0.732323890376      103.390847999       -145.861774404      0.122584870771      110.167569104       4.93884164893       10.1526470313       -29.0067087755      -20.0257367359      -0.21116787911      0.68198973409       0.382272613681      0.827657051969      -0.87035943426      0.987581115893      -0.422151501685     
rwgt18              0.674175364477      0.282243717526      -6.89172895963      -98.771790644       46.1786584487       -10.8839410464      -0.293892970854     170.390186091       158.786518447       0.0399317612866     -176.966993156      11.5048485077       -2.94467622181      -18.5550268773      -6.73664854349      167.21692872        0.861129541896      1.60479705368       0.607735209774      -0.99340073608      -0.357689566414     -1.26655408007      
rwgt19              -1.60866083828      -0.429467077385     0.475833624073      -93.4991623917      172.264799084       -125.643225256      -0.423169526303     179.745505397       33.7170874048       -0.0163791011626    108.890934999       11.3772853749       7.19516342423       9.81360101575       -11.8477427252      70.1906802827       0.912432744692      -2.16960610871      -1.19931102308      0.326570833042      1.00597535939       0.476827586148      
rwgt20              1.30322430548       -0.174084068151     -15.3605533913      40.6966664446       151.830018803       -51.1602816832      1.40476949683       -171.515699715      -167.166212764      -0.00518580269767   63.0306957199       -12.5571235987      -0.495522882649     3.35201198555       3.72361807338       145.359612495       1.21231777836       -1.59438472108      -1.26485883906      -0.846899321243     -0.831872987503     1.32331029443       
rwgt21              1.62184837875       -0.463218645802     15.1840950284       -112.458533219      19.4857760319       -159.926585632      2.21015013424       135.494515605       -97.9511428382      -0.0780022447186    -82.1711229064      4.16474991509       6.17675649334       23.9779897956       -10.4946137184      92.5079649679       0.948754425373      0.638315521425      0.630933699658      -0.733529949657     0.842499046049      0.62758906134       
rwgt22              1.16674865361       -0.403005031052     -0.1383022725       38.1216015002       -128.943088385      -165.012397816      -1.72833737075      34.6782569963       176.440994025       0.0976322731715     97.1487938923       -8.03591472144      3.65375497813       -8.1831008457       -22.7956493739      135.446845299       0.262136128036      -0.0980773374158    -1.06616054222      0.150181248684      -1.38307978421      -1.21765150419      
rwgt23              -1.47304320019      -0.0963654523915    -5.94869760652      -72.4409460311      -118.700084844      124.179321502       1.5231428946        -78.1737777449      89.0322168276       -0.0958668416909    -146.306368622      -11.877932645       -5.02466507033      -1.78736112245      19.0079927027       -55.4450811585      -0.652850810645     1.06121798835       1.29239045537       0.425308146023      0.204420766993      0.10513403599       
rwgt24              1.48812955506       0.376748573363      -0.729829628757     120.357278503       -175.091317591      -17.7090026698      0.206636490521      50.8578421175       -140.668642111      -0.146263898247     -39.2675912996      -9.76744745712      6.79948937337       -8.42727835087      15.814610514        36.8247740428       -0.233788954547     2.34600147276       0.264981740536      -0.506134951345     0.962353719024      -1.12501786196      
rwgt25              0.211334965165      1.0373625124        9.37271498453       -26.5374593003      88.9125030357       39.9013595943       -0.32539497597      9.71440019164       -59.976469108       -0.00230657364463   1.57239804021       -2.85733192687      -7.83617852674      2.51922922422       -2.94192012326      42.3985520409       0.803248699775      -1.12626427141      1.11526928174       -0.300815364633     -0.464628696611     0.0470502171594     
rwgt26              0.90538033472       0.127820260413      3.28678163671       29.9271803509       -96.8281988277      156.90253202        0.692572462076      -153.717999535      -106.954539807      0.0357750310585     147.365487671       9.77827912237       -5.62809735425      -1.16511743606      -15.5725642032      46.1148833434       0.44579209226       -1.69118035069      0.144062686212      0.690645269989      -0.256173659773     1.24336526339       
rwgt27              -1.12450425432      0.89268771754       6.28045712743       92.9554599178       -47.05991923        -50.1789206042      -1.78910634686      119.393827714       -136.656988979      0.0143416489479     -135.469963237      -5.23447048216      -6.94757746652      10.0480825843       10.3599990614       104.807556777       0.510190589595      1.50170837211       1.29014390111       -0.577775174463     0.554665467589      -0.331360330042     
rwgt28              -0.194540836803     1.01738701391       7.26027077523       40.0673915491       86.3223548042       -30.6744189553      -0.256994360613     -65.1106553538      25.05630505         0.0726843829334     -176.533684603      -9.60837201917      3.27961402989       -4.32396234922      -17.7732576105      -21.3835746694      -0.272295709882     -0.608029707042     -1.05821490071      -0.241017447239     1.06089166576       1.60587422163       
rwgt29              1.68001810384       0.716355319082      -14.0405339644      -117.134497444      123.86650996        13.8057584974       -1.10876809226      164.836314183       -130.600736302      0.159617142386      -173.66877547       0.518080320686      6.00384551343       16.1476573934       6.35235801066       -178.429018101      1.14504043736       2.7689642306        -0.118608124136     -0.863072279119     1.66030667922       -1.56497348413      
rwgt30              -1.34594125178      -0.930082209987     -6.12059793374      -46.9617230164      -175.861476144      -32.9828747083      0.809162932423      123.193830295       178.229996022       0.0446181884144     139.833625496       2.79523177652       0.357969605717      22.5982372723       -17.8547744281      -125.350549498      1.17510093525       2.63634145141       -0.766291557142     0.118859451047      -0.971316114243     -0.789343003173     
rwgt31              1.37774948474       -0.451314908663     9.2823212532        176.266058783       123.94529922        -15.0975562251      0.678811176283      4.10444775078       -118.44488745       0.0370194581112     174.151365124       -2.65712313059      5.67268449433       22.8328525434       2.80976385693       74.9183728387       -0.925930092704     1.87706979145       -0.431763592682     -1.18734032483      1.63441480219       1.33325629149       
rwgt32              0.541175729524      -0.444455945988     16.7628640591       49.3142502332       -1.51109612866      160.451840843       -1.69131171151      -67.8683148464      112.887086745       -0.147090987233     -24.9081109413      -8.71491198931      6.42520222634       7.26199529987       14.4887814784       -59.4860296508      0.659184751891      -2.66430157001      -0.362196452661     0.724384293953      1.32399695816       -0.469782380374     
rwgt33              -0.879039563044     -0.465533688135     -17.9439738159      -124.330395297      119.306372729       80.3947257318       -1.56924800234      78.2760854115       -112.53528704       0.13394300743       -173.669680926      3.28230280759       0.455592225894      -29.6082015518      23.1124322974       -123.964569391      0.982930999606      -0.282941658293     -0.228759700403     -0.402414043479     -0.616894103692     -1.66020051009      
rwgt34              -0.67440429175      -1.1593864108       7.18924382215       157.340055533       43.7591091949       156.836894683       -1.21909535316      -27.3189755889      -68.2432887744      -0.026361042892     132.954510323       6.97188443835       9.03325048311       2.74158293329       -18.2094633726      -162.412829509      0.930473280794      -1.90914263481      0.127426659242      1.2362248428        1.48266403652       1.04474077063       
rwgt35              -1.60730743575      -0.927738241231     14.3824131079       56.7647413986       64.3383111812       -92.2146580403      1.07163225944       170.585373697       12.5533587387       -0.0607214581886    84.5588632644       9.79195237229       2.46040686918       -8.65869275038      1.51352149161       -25.0718665985      -0.712126270083     1.34197302336       -0.600637816179     0.618368996902      0.234574607366      -0.543105734403     
rwgt36              0.162211848981      1.42926544869       13.116612573        158.948475644       153.159458033       -74.2051861971      1.42331969212       -160.866852955      52.0136281078       -0.0499234796334    -42.2173743681      10.0225496278       -0.0254015545621    -4.08556503822      19.9829380831       -166.969661385      0.843003236436      0.749050466168      0.915212794637      0.17546709624       1.64998439481       0.892972724985      
rwgt37              -0.459066349638     -1.20373038322      -15.1021304113      37.7350501556       -112.152916371      -81.3426808987      1.50851748654       85.9740208183       55.012389904        0.107103637445      25.2623202988       4.15526236021       6.85174798278       1.86215639503       -1.49115226049      -8.7352407052       -0.436973611788     -0.955524611939     -0.106734672783     -1.12039069676      -0.0631738731646    1.66193404373       
rwgt38              -0.790023538827     0.36110313802       -19.8374670974      -147.078890263      -45.8802697891      4.14684767451       -0.2900873479       -86.9894997318      -6.97817563772      -0.147201318474     42.4772120631       13.0679359788       7.06604525674       -27.7850482283      17.4269051138       -37.8810727165      0.385302217977      0.773586746043      -1.27484385303      -0.294294275353     -1.40668006808      1.23128877424       
rwgt39              -1.59344016356      0.946283396327      -18.6038910898      41.4968758533       113.813994844       -26.9562808842      0.835085621943      -18.8356934157      158.064100874       -0.109003908312     23.3798395873       9.55389230955       0.558177673325      4.95034757034       19.6947233119       -141.121965871      -0.380907268438     -1.6630920635       0.21978995526       0.315196895703      -1.57865058304      1.23447791821       
rwgt40              0.76839289731       0.725831074984      -12.8062840999      -22.2286275596      113.086600563       90.9050083658       0.572924620867      172.920504376       66.2512440377       0.144895229867      -158.545717071      0.74996930871       5.29686907339       -22.3717247256      5.92175461287       51.6115481908       -0.303587903914     -1.05231905332      0.439162324911      0.212147837131      1.54329875866       1.42722856272       
rwgt41              0.0597217508308     1.26490492221       9.54380107895       -15.8402917593      90.994849771        -80.504219615       0.36956120799       139.157522352       101.994175354       0.0677228679636     -103.766283791      -12.6476316069      -2.88089187362      -20.205522095       20.0708033107       -93.5793675373      0.238071443492      -0.649872727949     0.0688489017581     -0.672218310367     -0.778079055624     -0.451051656348     
rwgt42              -0.626105117631     -0.715638939062     -18.353885614       -147.102133614      106.981715431       -70.7444416674      1.50343026627       42.0384612451       117.906177783       -0.117174476182     -32.1345989279      -0.230941166239     -8.32253606413      -7.329993749        -10.9120156109      -115.247719801      1.19355155809       1.17628077503       1.22460187651       -0.0725926879172    -0.316822073125     0.304064803488      
rwgt43              1.14006435844       1.08496122369       -0.610916910293     -128.537613635      -136.685248425      168.982137627       0.015154756197      -99.1683111918      -43.0056190737      0.143184869478      118.87711299        1.73753584844       -1.34730985409      28.1478123642       -8.66080692725      177.645993684       -0.352553266986     2.59968424075       0.286612278335      0.756086732739      -0.150725203076     0.277224324307      
