                    ctW                 ctp                 cpQM                ctei                ctli                cQei                ctZ                 cQlMi               cQl3i               ctG                 ctlTi               cbW                 cpQ3                cptb                cpt                 ctlSi               cQq13               cQq83               cQq11               ctq1                cQq81               ctq8                
MGStart             1.15                -48.33              -6.79               100.0               76.64               100.0               -7.18               32.71               18.42               0.34                11.65               100.0               3.93                100.0               8.94                100.0               0.25                -0.52               -0.37               0.37                0.4                 0.36                
rwgt0               -0.355506601322     23.8617614009       4.05361459501       -83.701381342       -75.2460054145      10.5006419313       -10.9316843459      28.6688991032       -8.47545046957      -0.486464562893     -16.3924794606      -29.9894879746      4.77465154754       -115.853869668      13.170422153        18.2078706006       0.335923563416      0.783583780625      -0.02579810931      0.238266188321      -0.00488609609052   0.48806780719       
rwgt1               1.74533317264       -57.5600176165      11.701860877        -22.7244645561      71.9216203575       148.310976638       -0.213068379321     -53.6776084895      4.99061886445       0.102762551929      18.7796021539       -97.0087868214      1.24530811837       30.5373966128       -12.7139277508      14.3998788012       -0.129415097017     0.841441608079      0.335519156327      -0.377056584514     -0.203017466756     0.617961558025      
rwgt2               0.0297975247481     86.5861680367       0.856560522566      -132.428616039      80.535532043        20.8959655135       1.74646527762       14.5785617117       -14.0901955413      0.527978277323      -20.5797014851      20.8687536474       2.04222387698       -138.285039238      14.3871581266       -61.5824533224      0.326826485207      0.276013155482      -0.607460134946     0.375353130669      -0.369194056886     -0.249025871594     
rwgt3               -1.26314342725      -47.8080986507      2.00424118809       141.054593673       -41.0167520304      -96.8399001678      3.69832230572       -7.30464130147      30.4892410555       0.0386634835019     -0.296166482715     36.1598955975       3.66746321657       -171.226654516      7.73922133941       -172.223908009      -0.415551549479     -0.424828935058     -0.325215944176     -0.404658858109     0.50268712395       0.126294272249      
rwgt4               1.28751491248       -1.87621573141      -11.9828721035      73.3019487861       -68.030308745       -171.366431228      9.15688942176       53.9288166978       -32.1847103846      -0.394260256346     4.97947137162       -98.1781862034      -5.21216593569      178.560703836       -11.5321741474      68.1458681217       0.440514618996      0.632234183268      -0.488650852225     0.36031073146       -0.657166048321     -0.594028706442     
rwgt5               -0.732256280633     48.3661344561       -6.18845280259      -144.785974637      -109.687365751      10.0157915671       11.545440737        -3.09289898146      1.14223481677       0.0589613831316     17.2881784864       -127.789882354      -2.81902650231      -179.705586907      -2.97728084551      -19.4544571594      0.0722009696043     0.756683471844      0.207172240763      0.547529386052      0.505602498309      0.128780292111      
rwgt6               -1.45043039339      -50.5124081799      -5.44699177599      10.8168983291       -100.314477748      -1.96663068493      -6.44338308078      -19.53901146        -22.9671445838      -0.115152495807     20.3094034344       -140.096362118      0.318025212409      150.623682337       -6.531018529        -111.271762817      0.192830388423      -0.749803167701     0.0976812714193     0.331905490609      0.0150036832065     0.32761350442       
rwgt7               0.961021449849      -24.1126326173      10.8580493887       147.573113832       32.464007202        -9.06590693913      -5.98506580669      34.9391378261       -18.4118690017      0.174579609567      12.7873317823       138.725677594       -0.178290617581     -28.8092080382      -6.42206819967      -122.485324642      -0.344849954674     0.430921445359      0.465839273519      -0.644651824696     0.331105266103      -0.429444327467     
rwgt8               0.9934092156        -2.37411681696      -12.2203750014      -134.379814284      125.271853364       -42.9320211695      5.5747109097        -3.45141252991      29.3338661882       -0.363682667338     -7.11749213525      28.9853671782       1.65503987649       126.159233449       4.40959329136       64.6941712817       -0.190434306141     0.919268704036      0.577785171304      -0.0416764249389    -0.465900897426     0.539488790693      
