                    ctW                 ctp                 cpQM                ctei                ctli                cQei                ctZ                 cQlMi               cQl3i               ctG                 ctlTi               cbW                 cpQ3                cptb                cpt                 ctlSi               cQq13               cQq83               cQq11               ctq1                cQq81               ctq8                
MGStart             -8.3                64.33               45.88               24.32               24.43               23.75               -6.09               23.95               21.54               -3.6                21.8                49.59               -51.1               136.1               -43.5               -20.0               3.0                 -4.0                15.0                -12.0               15.0                -8.0                
rwgt0               2.67005616298       -58.238068972       18.6221743876       -22.1146921709      -26.7633888968      10.4973239494       9.26603336672       32.8852298958       -23.4034293353      4.80129902181       -2.29924516354      88.1850764466       -4.98439066334      121.897869446       74.9552611288       -28.3442652042      2.08604534195       1.20208346989       14.7826387477       -11.2428046906      5.54592591735       1.53418435382       
rwgt1               -1.6386722023       -56.343375741       -2.10335530936      -31.636938242       32.2558816321       -41.2686863449      9.17110478868       -11.9589414223      -17.2770025755      2.87030948939       -0.409459938144     -4.66058907337      -18.2765482233      -180.738104301      -4.63317966136      10.9086297402       4.29393317429       -6.08081423136      17.7839309746       16.6457620367       -7.14762842206      -10.2906504295      
rwgt2               13.6421641308       -65.2512213454      55.8980470258       -14.9635989268      -12.8375024823      10.7671332816       6.26777837677       -33.9538116045      -33.1984974477      0.32863279569       -22.3990114331      28.4583624141       65.4057873733       -83.1978746625      72.0210778858       -32.1712908285      1.207443437         2.50785405345       7.98229278492       -9.24280475464      -5.00328115893      -12.1579794191      
rwgt3               2.33632275727       21.524967198        -6.76939831275      41.2225111151       17.6687949793       -9.38132910836      7.4016797183        -38.4254865976      12.3121254386       4.88747717364       25.6228739434       -60.0264499156      73.3904907719       146.555905164       3.79778191086       25.9083980106       -4.2621105626       6.07198951616       -19.3242896953      11.7942615142       13.1920958067       -8.32422419657      
rwgt4               8.83554544499       -24.9995304483      -23.752775446       35.2580549654       28.5369170164       15.5501915527       -7.07177102514      -23.3910583633      -15.291372267       6.40674364589       -38.0665431678      -72.2440186749      -68.2679723451      -26.4155461656      -14.6788187219      -0.771455633173     -0.21371275476      -6.60626192822      -20.4417353322      -7.05010332302      4.5789074431        -12.9704585637      
rwgt5               -0.217243456867     -79.3925748433      59.4565614238       30.5614183919       -12.9633224136      -22.5360872052      -2.76034364479      -9.01024666079      -22.3884183508      -2.45762890403      38.7498883403       29.4493298736       -12.6519651932      163.371355301       45.2506767853       25.6199996893       -0.129640536776     1.36200463872       -2.92448156376      -8.09607655848      4.02023180065       -7.37076913038      
rwgt6               -6.3893177748       90.1495375452       10.364384611        -16.3622845087      -8.89701488143      27.2351705037       6.65840626456       32.0206695509       -26.4850077087      -0.978628788621     26.010640618        25.9013976934       58.4570799686       122.86914626        -46.4908432957      18.0060406482       -0.626654084629     4.69124133924       -13.0237237658      2.9895616238        -19.7159700451      -0.911545860543     
rwgt7               -14.6721187648      -40.68522778        15.7738559626       42.5422706341       -24.8359114552      -25.1938210851      -4.8312928212       34.3141145637       18.1429056357       6.47093359565       -37.5864395999      -69.900649435       -11.5887263122      -221.413431478      -53.349983556       -1.92336344985      -0.446755965524     -4.04669212763      12.6660445197       -14.4479390221      -9.76441092253      13.8216063924       
rwgt8               -0.448075424567     -16.2315531875      -65.5133526828      22.2409653958       37.7379882356       -11.1556223575      -8.62737486746      -27.5353239555      26.1215789148       0.157219742799      4.06430234701       8.60776521097       27.4811219543       105.996773103       -4.47170451603      -32.3682068283      -1.21056380523      2.02798412895       -24.0484552999      -2.04558190544      14.1736330918       13.7382722223       
rwgt9               -13.7616545169      -92.6730151452      -12.4195796137      -31.1313711307      -18.8222508154      37.5357528277       9.35565802119       24.2372303616       -30.6970657842      3.0147010598        22.3626888807       64.5713217794       -32.7891535646      -151.429045302      -30.9215306001      7.12144997255       0.321516020627      6.28405304277       21.7223902934       2.09688600478       23.1489768181       -12.4931065278      
rwgt10              -8.03354743556      40.8719489538       5.82981670562       -17.512510451       -12.8658589353      28.7613013949       -0.998336585591     12.9717393002       14.304502377        -4.76415919727      -15.9673428561      -76.3827224943      -30.4951527422      32.2911501526       38.5589851466       4.06900526707       -5.10940135975      5.32846143172       -17.1812007375      -13.3836528261      -18.6231259857      -1.26930715521      
rwgt11              -0.922119920464     -39.6686716324      54.7833121008       28.8639690635       22.5756324162       41.9937388188       -6.13561526062      17.2689927386       11.0294612365       2.71231792797       -30.9988351669      49.1329947497       20.656575159        -35.2174756674      -45.8511221487      17.9539350157       1.27361506232       -3.38248453232      -11.1690891965      3.27584718896       -2.44625964016      3.71249399973       
rwgt12              -6.2443114627       -108.033104172      49.9389178091       10.0983420111       -38.7562095711      10.5536839012       4.86182186298       -39.976503625       -24.7061114843      -1.53007721169      22.7357338696       -43.1647978702      -62.9961518323      134.528426812       -45.1492261019      23.4321835665       -1.90083471542      3.38978216724       15.3032574617       -4.02990378236      19.452794854        -7.12266115571      
rwgt13              6.93395574064       -90.0915965967      32.3651335041       14.9199333147       -28.12121702        5.77166525296       -10.6762933772      14.9786473885       4.84226969723       4.19415558133       -14.4530901192      -44.9773344547      34.9446604485       234.075038724       -58.5769583848      -25.872712854       -4.54321523923      -1.22944792191      -14.0896938991      3.0484974699        -24.5465700814      0.88991482047       
rwgt14              -6.6605967256       -104.441528784      -20.581979054       -23.8569874669      2.77928329359       -1.37692442416      -3.55754117279      -33.7321232605      -0.3477791103       5.53112073868       -11.0562390517      59.4783242776       -10.4530364958      243.55894446        -62.7728063301      5.74475255565       -0.970075102579     -3.35568516702      -13.5826279216      10.4761618541       -23.4226891605      0.310890738029      
rwgt15              4.99233464924       77.9951451688       11.3273884673       -37.8117697339      3.27201918622       3.08185883164       -1.48351493975      37.213145925        32.9178206735       -0.249014510339     -34.6040937976      -12.7614321549      45.1446160216       -6.42825161861      3.06271687248       17.7998643963       2.90368049897       -2.36625695511      16.851739889        0.435016289676      12.6087320736       -6.30703510855      
rwgt16              13.4341798295       107.935156013       18.2757338312       -35.6164050669      -27.7656066505      15.6356671159       -10.441713163       -26.4949053954      11.705516848        5.7043810612        -31.884419225       -23.5745621702      -20.7278205581      244.163812475       13.2266407297       -32.3384382105      -2.58351207774      -5.73727318218      -12.247593788       20.3889574225       -22.4344286945      4.11643513745       
rwgt17              -11.6917134239      -30.3362584031      5.04970317999       16.4130030667       28.6440610478       27.891139289        -9.96172238225      -37.3298404052      -12.5214391334      -5.44666481812      0.65354063833       -38.5242329034      65.2826347286       73.3446935807       46.7446038676       -9.24463876253      -2.23010321628      2.39640804135       13.5678901253       4.51212602143       -15.6347233072      3.25768788294       
rwgt18              0.703952511119      80.3184627397       -16.3476861828      -26.9543438982      -41.8101482155      25.385019993        6.92008853627       7.14055387899       2.77123425108       0.0488960011477     16.0335459363       -57.2492915294      -58.2889932722      38.9916562179       77.8871764089       14.4150612958       3.38075510455       -1.57651266187      20.7481716484       -5.66305005781      20.1197275934       -12.9076056347      
