                    ctW                 ctp                 cpQM                ctei                ctli                cQei                ctZ                 cQlMi               cQl3i               ctG                 ctlTi               cbW                 cpQ3                cptb                cpt                 ctlSi               cQq13               cQq83               cQq11               ctq1                cQq81               ctq8                
MGStart             -5.02               32.91               -8.06               6.003               10.16               4.804               -3.86               -7.15               -8.33               1.606               2.824               -3.82               -13.2               14.49               -32.6               -7.06               3.0                 -4.0                15.0                -12.0               15.0                -8.0                
rwgt0               5.72603429343       56.9103734898       14.3719305714       -0.5349435702       -17.4424834752      2.98049937614       2.6319020335        -11.0271234761      -10.8509064196      0.0510322604876     0.481266211918      -3.5151637367       -6.86217357525      25.3872990474       0.818779633319      4.92776439999       2.66084264549       1.8291113426        24.4565133006       -9.30431116474      -18.3300810097      3.65594856706       
rwgt1               -0.704404748541     -25.0211311776      -8.8637144752       1.2518434275        1.98642855976       -3.83788719716      -3.49910625805      6.28851253821       -14.2316969112      2.15088841218       -2.0545549434       -1.27694603264      -9.74943818688      5.57194448691       -34.9396291299      -10.5009368002      0.110233138265      1.42202815059       23.2294472024       18.6488175603       -17.4349922273      -12.1220643137      
rwgt2               -1.94584997848      -50.7306262852      9.1435648356        4.03700344678       -16.6063371369      5.76955434817       -2.28832237724      -12.2584846569      -10.0744716843      -0.100837622169     2.6933556596        1.24438148438       3.15985731609       13.6300417715       28.4938247866       6.46107113759       0.530659204927      -5.64873983984      12.629937817        -11.3435132429      -16.2866437958      6.61478255302       
rwgt3               1.0263146458        -43.1190943533      0.851033454924      7.70748757473       13.2956672356       -1.06151954521      -2.51183356681      6.44483374027       14.4155521509       1.25599415437       -1.03908161005      -5.49103381573      9.26233699521       -25.1899471944      -38.0044009081      -0.297532329562     0.886437822197      -1.6902205881       -14.6153993119      -6.0587993526       -5.99521213844      -1.90560833798      
rwgt4               -1.23018167967      -43.3212945219      -11.8243964979      2.7424452743        -1.66696635059      0.0443697543372     6.79772778926       -11.109683612       3.9786118446        -1.32547255372      -0.671807501782     -3.33789069489      -16.1522668687      12.9317829298       44.8838602571       -2.46490561248      -0.480008176871     6.72060839212       -12.4098262723      16.4931938219       -26.1278601079      -7.37651706341      
rwgt5               -1.75758325656      -34.020631297       4.75399727218       0.347326603529      -11.017176565       8.46286776131       -0.906016200702     -10.0482051729      6.22262900472       0.191931365581      4.86188576256       -2.39781610006      7.18876317692       19.322524427        -1.44894477607      -2.76395935711      2.31980452585       -1.58103349605      6.84641932682       -4.23008479381      11.5071096493       -8.36721517684      
rwgt6               -4.49661490287      -53.0226518211      -6.10742101368      5.6306823009        -11.598348405       -8.01326584669      3.74490106361       7.01233963701       -14.7610719463      -0.731010291233     -2.96062579692      -4.73026999396      22.4240470826       -22.4043564858      42.8138981767       -1.46460447623      -0.887507699385     -7.04398094546      -12.4880792905      -14.3861805756      -19.8944884316      -0.379618525528     
rwgt7               2.10140602426       43.0717581484       -12.6199703459      9.7078570405        12.4298450678       8.28371991718       -2.09927715264      11.7327009106       9.72543946359       -1.02774005497      0.190420138182      0.185445098903      19.6065534888       18.5274373348       53.1426004497       5.054601088         -3.00727500767      4.80012246952       0.152214790462      -9.97018764982      -16.7568760631      7.56455744408       
rwgt8               7.59905427466       1.81062637591       14.2571100627       -9.42859110234      13.2187861017       1.26820812814       -4.53218651422      1.5668536621        -10.1430030173      1.28961697655       -2.84750648493      4.14679357544       12.1094986285       10.8447160549       22.1834130036       -6.97585086554      -0.409051277451     6.19385801475       20.4610517256       8.90122851943       3.38672963724       3.07609257256       
rwgt9               -7.29943374284      47.4821434379       10.3101181275       -7.05563338189      15.3096539545       -5.68263759964      2.44011854911       12.7947778992       5.06908331529       2.26827023783       -4.59973572819      2.19623338204       -8.07049129143      -0.815309035264     37.1109542583       -11.1582397775      -3.4457932317       -0.987715366418     9.84106250417       15.126666537        -20.5633608629      10.9599160018       
rwgt10              5.86051045849       36.6966628638       -5.36586210521      3.3418199652        -11.522610082       -3.61884151194      -1.46617217398      1.38173358454       8.04732500295       1.15437060844       3.44730401228       4.15093711467       16.9012962295       10.8221696857       39.0950421104       -2.88322137354      -4.22607042306      -2.2401484591       14.4502761038       -6.23054181841      4.94570734732       -13.7592466951      
rwgt11              4.48980090848       -23.194894542       -8.02316378296      5.83285018822       -17.4545095002      7.91004278519       5.19811241448       4.40822823089       -12.3271798193      0.650024615994      -2.09698280053      -2.46599657017      -4.63607542698      -24.1688208828      18.995864032        -5.97362642298      -0.802818663412     6.45624256163       -4.29565839207      4.72997046052       26.3810623537       -13.9713053087      
rwgt12              3.48817099323       45.6367937011       0.3610976585        3.72309084649       2.27333403578       -0.043895242069     -3.4202979241       -5.06477424         10.3498531932       0.239407954209      0.726741190764      4.46703085986       15.137418029        -15.512097465       -36.4881461111      1.8938771967        2.27808516167       -2.41652768745      21.1204708749       -0.635462795588     -17.3868778445      2.55078302697       
rwgt13              -5.79368718276      -4.31757280755      1.90313225074       -4.93220834538      -2.64898854809      -1.08322477449      -1.59842094078      7.863150363         -2.42893295919      -0.0384617541376    -5.02367467741      -5.52180458097      8.03695037484       -6.11618877456      56.4698971957       -4.46025107         3.82788135988       4.94527965566       -2.19150064201      -8.81951097522      -2.25464383646      4.12310009865       
rwgt14              -7.73996748522      14.3291718571       11.9386050276       -6.23578506736      -5.25177558848      2.31593163349       6.40011110163       -4.0553448435       12.0634019763       -0.640633645097     -2.29425865611      6.544098597         1.49940264421       -17.6328858918      39.9325370617       -8.74541988562      -2.07085556676      -3.26863205533      -12.454030209       -3.04717966681      -2.24158517325      2.93464859931       
rwgt15              -2.72107558919      -20.325979707       -1.51206745534      -1.41936224971      15.0013222765       -4.70493623687      -5.31811492467      -6.46000901738      -14.9363039681      2.18100597301       2.45200870819       5.58142234783       -14.3941165062      -19.4999033405      -32.9046994149      -1.84737490159      4.72170490763       -2.01670875424      1.85401751247       -5.13902247476      -14.8061791896      3.65934901004       
rwgt16              4.30793041126       8.26879232863       -0.997349912765     -1.38520373409      14.9681168997       -3.9256799748       1.09301109117       -1.37899676591      4.79174337689       2.48733212227       -5.00142619948      0.8904441758        17.9058548965       -4.99266858346      -31.8817685368      -4.61906135841      -0.0425051872108    -6.02306971817      -1.09241169252      -0.247955384399     -3.84754596262      7.1739977042        
rwgt17              4.56331225878       -1.7946658746       4.10158188316       -3.55033611305      6.67517392795       1.5901493215        -4.47072059973      11.1853355663       -14.1856281928      -2.51470961712      3.34031130015       3.32461182512       17.7167002408       14.2704111153       -4.98803202588      -8.42360750062      0.571193441852      1.30091832921       20.6102150082       -12.1050046369      -17.5173492701      7.05494464422       
rwgt18              5.32726541791       -32.8060001747      3.01677364087       4.58189595942       15.8660295456       7.13714281295       1.68350086702       -1.69262348013      -7.06413957243      -1.39465797799      2.82206938876       3.43469234321       17.4246183838       25.7450107973       33.2319313462       12.6363192032       3.53538272219       -7.08963846121      -2.45255765281      -4.60164295767      20.8234016521       -12.9597192392      
rwgt19              7.77892574577       -15.5403493642      -9.81007788315      0.32339335239       -7.63622445459      -6.34744679336      -4.44974110309      -1.33528159303      -11.762333666       -0.962123536979     1.42405967178       4.70607135731       -22.0227319874      8.25790415824       -55.1068265342      -7.60536451636      4.62057453109       1.74008858722       -12.1124334443      1.89918085687       -20.3458057877      13.7844831063       
rwgt20              3.59205239511       13.0557896178       0.869591146593      4.01966364863       3.79155664919       -3.74295232973      2.06407691284       4.68488605686       4.62880759041       1.85044405618       -3.03320617388      0.372162940797      11.8326966856       19.0278273422       -26.1150760178      -4.29980174848      3.5741218533        5.82663764238       13.7858430497       8.16058932656       -11.2063517692      -6.53887817509      
rwgt21              7.54353019509       31.5801282594       5.29936179725       -4.77752956798      4.03199061961       0.400647403033      1.73544005221       0.412807337652      -0.673562675931     1.1113906751        4.86589381103       -4.64359930105      19.0906276421       -4.89966492341      58.1761148383       -2.02296405342      -2.6145085525       -6.04228323576      6.62451603117       3.73288355231       4.928927859         -13.5386336204      
rwgt22              -6.20511586608      51.3924552009       9.60421073439       -10.3482197968      -12.1535139432      6.35699502063       -2.63288596758      11.1037126458       8.97032133435       2.00160647145       2.5652118312        3.47104792741       -11.9894330693      26.0418638766       -48.503749218       8.8161297771        -0.355686025721     0.310533357936      4.85573040118       -2.83817891025      -2.57402681704      7.71037902825       
rwgt23              1.80386352031       39.5295487434       -7.33208699292      9.86873178847       0.476570135858      4.72396540564       4.30356540216       12.152710397        4.2501282583        0.65635821344       -0.851002190233     -2.73837065292      -1.62056544453      17.9223335159       -53.1824420862      -11.3410366656      -3.40979715274      -3.47253425616      11.8563524271       -15.3983547031      -23.8811021808      -12.0474983383      
rwgt24              -3.05972182046      -27.2354909558      10.3959300019       -7.87017586883      -9.08480645906      -6.34943293939      1.34943852639       -11.1446325996      -12.4293008045      -2.72386557535      1.1669154848        5.83193166611       9.27199990564       20.6939201159       -24.4692209722      -7.70905359756      3.42846174562       -6.44529909716      -16.9028383027      -6.67274995674      -16.4072689689      3.93051727464       
