               ctW             ctp             cpQM            ctei            ctli            cQei            ctZ             cQlMi           cQl3i           ctG             ctlTi           cbW             cpQ3            cptb            cpt             ctlSi           
MGStart        4.0             4.0             4.0             4.0             4.0             4.0             4.0             4.0             4.0             4.0             4.0             4.0             4.0             4.0             4.0             4.0             
rwgt0           8.558447        -24.465871      -12.31296       -16.583108      -21.867315      13.465728       -0.336483       0.833515        24.568084       -2.843245       -17.802999      36.887291       -12.731062      -66.854597      -24.046608      13.802944       
rwgt1           8.180606        54.470722       3.121151        11.151203       -16.987776      -18.557935      -0.367047       -0.608392       11.861188       0.691084        3.516331        -6.112437       -48.864873      -3.129543       -21.871732      -5.285265       
rwgt2           5.653503        41.468226       -13.303578      -5.74261        19.983822       6.903612        -4.780233       -2.53469        -5.929065       1.577711        21.645565       47.905788       -13.167681      -58.191144      -39.139625      12.824964       
rwgt3           -7.271842       13.138598       33.071183       23.472414       -5.096705       17.123497       5.536163        -6.577917       -24.47608       -2.310991       -6.539321       13.974159       49.406584       29.734833       -43.336513      21.039137       
rwgt4           0.319675        30.676769       -24.395913      20.338382       6.185885        22.153721       1.806223        20.555046       -24.907137      -1.637654       -12.466282      -41.001629      -28.994577      7.415685        20.60372        -18.182937      
rwgt5           -3.564438       -12.342461      43.56269        12.565892       -10.273059      -6.095282       6.399429        -20.159742      8.846891        1.175828        13.936696       40.947503       -3.489698       95.88695        -8.552444       -19.916203      
rwgt6           -0.882069       -8.648481       1.266114        1.639726        -9.369156       -21.193725      -6.917434       -14.292557      -24.278494      -2.877947       5.700503        35.60946        -14.233911      77.44947        -2.723631       -7.552017       
rwgt7           -8.437499       -7.127544       30.361555       0.950771        -20.007248      -6.507106       7.088128        -3.656974       3.528069        -1.574155       -4.85505        -17.989636      53.485728       -75.976896      -23.899871      -18.563351      
rwgt8           -0.134555       -40.292485      -17.610771      18.158924       -3.376692       -19.760115      7.071785        23.549078       -21.42983       -2.196621       19.166513       32.859          -9.588396       -27.80395       -8.577303       -22.712712      
rwgt9           -4.575687       10.479988       45.981382       9.359364        13.983685       -2.203363       6.264553        -13.98113       19.233469       0.294658        14.599491       -6.187044       -22.206161      126.549894      -35.735577      -9.459723       
rwgt10          0.349589        -1.2224         33.927715       12.450868       -9.31381        2.26452         -5.685072       17.139425       22.20227        -1.849386       -12.180976      -28.566304      -3.435739       10.735564       -23.693597      -3.141795       
rwgt11          -8.731016       -37.044164      47.784158       24.867922       -4.943852       17.785565       1.661362        11.714422       -21.473918      1.534687        -2.743291       -45.167539      -18.476211      126.629306      -23.105217      21.139395       
rwgt12          -2.469282       -19.371556      41.472057       1.74343         0.634502        18.519543       6.994968        -4.059552       -5.052413       2.504062        -1.379463       49.628607       -37.435264      -48.03885       -10.817609      9.039957        
rwgt13          6.472109        61.075127       -18.900077      -11.120341      -4.371806       2.858967        -3.107189       -14.451533      -20.725         -1.804252       20.334574       -42.417014      41.775431       -26.238368      -12.43752       -20.217627      
rwgt14          -8.723599       57.883462       -4.29232        -17.735613      -9.345812       17.039238       -4.079955       -20.782943      15.454908       -2.460109       9.528651        -16.290525      -2.871426       -93.222895      1.868917        2.92969         
rwgt15          3.288756        32.600066       -13.050944      -20.412662      14.949277       23.761008       2.750293        -0.836694       -4.199444       -1.035173       0.073351        30.807838       -34.92226       48.442609       23.829691       -23.627032      
rwgt16          5.029564        53.805682       -4.265938       -20.887207      13.363075       0.247323        -0.656173       -10.702398      11.167732       -2.672376       14.142056       12.57409        -0.313242       45.777145       -10.160955      11.660478       
rwgt17          -4.02212        -16.754614      -1.972851       -14.999428      8.915357        -18.770046      -1.115335       22.291077       1.930345        2.727029        -6.601845       -48.577935      -20.542603      36.516944       9.986667        -21.383987      
rwgt18          1.610056        48.765563       4.595959        9.25216         18.552874       7.751248        3.779172        -3.051749       -0.674998       1.42456         -23.758825      6.03215         22.174217       -114.962584     -28.935144      -8.118407       
rwgt19          -0.907208       27.994514       13.735385       9.284803        20.061965       3.074955        4.700388        -9.061289       1.426454        -0.310729       16.761379       43.711172       -46.56776       56.490827       -33.183292      -3.324137       
rwgt20          -5.662705       78.463395       32.870557       23.815613       -4.302          -16.064817      3.046351        -6.17197        14.53017        -3.996137       -24.554037      -48.344216      -42.009542      -58.249831      -30.792143      -1.33952        
rwgt21          2.572752        61.775997       -11.884081      12.541229       10.056191       20.089269       0.022257        -17.231343      -23.245333      0.917286        -23.943727      -9.734577       -42.840393      -28.110247      31.315332       3.51622         
rwgt22          4.576388        9.12687         8.802695        8.166599        -15.462844      -6.002903       2.377725        -11.972041      5.318593        0.685561        1.414452        42.918416       30.763169       20.500125       -23.128505      10.162194       
rwgt23          3.465702        14.463646       21.32667        -9.779873       6.626916        -8.76166        -1.507445       -9.324103       4.798918        -1.362464       -21.694069      4.92431         38.582353       13.32566        3.469256        22.377514       
rwgt24          3.333833        9.29869         38.23968        -18.414028      -9.733396       -16.206757      -5.118703       -24.719094      2.240958        -2.676169       -0.349332       47.187161       35.960877       89.037793       26.909378       -2.221866       
rwgt25          -6.12572        14.443984       42.186107       2.883948        22.001671       22.559913       -4.159555       17.066369       -1.150717       -2.781663       12.369505       -33.895637      -2.916078       -78.300772      -24.487906      12.039524       
rwgt26          -7.530044       77.716404       -11.421532      -16.730527      14.015964       4.54407         -2.41434        1.395551        -21.126909      -2.609673       13.84678        -22.554134      -51.481856      58.026156       26.804961       9.581862        
rwgt27          4.124424        -19.610553      18.649418       -11.630456      19.455336       8.492004        2.127541        23.740389       6.598051        -0.240905       -2.092208       -42.90821       52.255023       -136.016103     -10.396769      -0.241701       
rwgt28          -3.973562       -15.698685      6.071796        -13.648126      5.186691        23.135576       1.673784        -10.408962      23.1916         -2.012914       -4.376805       18.475814       -43.628243      -102.843041     -11.695888      13.039335       
rwgt29          -6.292381       -39.788356      -26.344906      19.900081       23.482548       23.193328       -5.063776       7.901172        -2.543678       0.974261        -16.913813      0.822697        51.368537       118.686881      3.201753        22.011          
rwgt30          6.803379        19.976133       -10.445147      -11.633498      8.484728        12.768286       2.592393        -7.215118       20.480397       -0.747147       -0.023962       31.347225       2.238443        1.235888        -11.914863      17.551718       
rwgt31          -6.253989       15.03632        -8.373851       -2.062748       13.584405       6.846791        1.217728        23.306146       21.75055        -3.213658       -7.779325       25.177001       -15.939976      -102.151202     2.498823        -12.675045      
rwgt32          1.287522        20.321551       45.260759       -15.297855      11.997511       21.840124       -0.785028       -2.530925       11.705792       -2.374239       -10.016545      -25.849353      -42.848785      39.697567       -23.7086        20.541995       
rwgt33          -0.825286       34.881314       29.43986        -11.231401      24.57824        -24.274018      0.775274        -12.618313      0.800288        -2.32301        3.189333        -23.189195      19.360426       -139.260294     -35.363468      -13.666741      
rwgt34          2.175634        39.124348       32.343434       -7.347773       -11.744386      21.162314       -4.472772       3.643282        24.423529       -2.821315       -16.803866      -42.561977      -38.465186      114.679742      2.551451        -7.514797       
rwgt35          -4.162111       29.066417       51.706396       2.648413        23.449448       22.751672       -0.03078        -8.150966       -10.357415      1.756335        21.72494        31.263899       -30.234906      -42.860649      -31.555988      7.901085        
rwgt36          -8.515028       -19.981784      -0.12913        -12.875306      19.375916       19.055694       -4.224859       -7.002405       -7.910672       -1.735886       19.006156       25.683119       8.207662        -107.291338     -0.765274       4.033975        
rwgt37          -3.259933       17.076448       12.692505       -5.75941        1.861635        18.730759       1.36696         2.970758        -11.627444      -0.528956       4.576021        13.087707       -20.58109       -25.811479      -10.582056      17.836642       
rwgt38          6.898032        2.456327        45.366798       -18.591948      19.092722       21.963501       2.946215        14.588835       0.271415        2.690589        15.746143       -37.92374       3.477025        33.03885        -35.67443       5.536011        
rwgt39          2.873762        19.764698       7.472986        -6.439445       23.836113       15.530501       -2.787538       -4.915386       8.599054        0.211535        -19.266581      -38.223719      -34.783511      -21.766508      -13.499879      -19.846338      
rwgt40          -0.423669       -22.641347      -5.968398       -6.060159       5.135625        24.068011       -5.858216       0.040612        -1.66088        -1.650813       12.715435       43.000472       -12.311192      90.482407       15.122561       -1.106737       
rwgt41          -7.295807       74.261063       37.886533       -11.922439      -22.726617      6.877411        4.524624        11.319385       9.501733        1.731257        -4.783268       35.061294       -22.517925      116.064459      3.15641         -19.286676      
rwgt42          -7.175767       68.648572       3.789175        -4.400861       -13.877613      -20.707306      6.207044        -22.621487      4.480134        -1.193702       -13.573721      1.520183        -39.281594      18.697223       -40.321907      -4.899548       
rwgt43          -8.836647       11.887458       -11.936111      19.255653       2.817462        -13.675294      -1.88416        -23.86601       -10.617441      2.521038        -3.967112       49.673619       30.656921       -70.351196      -33.490524      16.742909       
rwgt44          9.721752        74.344538       16.635883       -13.169216      24.201142       24.762293       2.562562        -8.751261       -9.352927       0.147315        18.281259       39.445082       -11.319969      61.138151       -42.340787      -8.694238       
rwgt45          -0.513275       -18.83526       -16.320927      1.399169        -16.650507      -4.055039       3.78286         12.654669       11.944813       0.282449        -5.62031        28.576228       35.037083       134.9746        -31.228937      23.63598        
rwgt46          5.860286        7.309445        9.369658        -20.220737      6.719801        14.001069       2.254215        -21.563705      -14.665858      0.568121        10.376332       -0.827751       -47.569307      141.022804      -10.976759      16.879168       
rwgt47          -5.709067       -38.03019       18.40088        -24.281183      10.428911       24.983767       -2.054201       -1.247526       -13.661197      0.227017        21.272922       -24.999802      4.998202        72.600301       3.739           24.716407       
rwgt48          7.155837        -7.314905       20.251277       21.235957       9.1361          -23.6649        6.929742        1.422027        7.348279        -1.725726       22.018501       -47.097903      -10.57661       136.137586      -40.077799      -13.202114      
rwgt49          -1.705013       69.773547       -22.776664      -14.955333      -9.022784       -13.22196       -1.679638       -11.149429      14.779305       1.587063        3.310912        29.677477       6.693846        -61.765117      -38.946661      17.389441       
rwgt50          -6.781968       -15.135126      18.587238       -24.11184       -14.398419      -15.300385      -5.233498       14.072299       -20.323934      2.337608        15.587261       18.375607       12.134433       -18.128542      -37.322668      -6.089038       
rwgt51          2.762668        26.600231       -3.011896       22.979227       -16.591738      18.657983       -2.422726       1.657099        -7.478985       -2.1819         16.400756       45.331058       24.482793       60.914724       -13.161236      -11.190597      
rwgt52          -3.09588        25.935719       40.509365       15.852521       -20.828284      6.649221        -4.409695       7.82807         20.320649       -1.902682       23.194264       35.208088       48.714807       -123.058616     18.144167       -13.234118      
rwgt53          -8.740061       29.888063       5.766553        -16.756306      -18.859902      -18.586094      5.058211        -1.260496       15.371722       -2.616826       -20.710236      -37.534018      -21.504482      69.00346        -1.675881       10.497736       
rwgt54          9.357331        -15.871016      38.843718       -13.783891      9.159925        -4.310956       1.368544        -16.337134      10.9488         -1.88286        -17.968828      -16.465949      53.570415       -103.249425     -18.935264      -16.56258       
rwgt55          -8.501703       57.13385        0.542207        -22.419179      5.70431         -10.258195      0.438352        -5.294871       4.381956        1.645873        -17.542336      37.15292        -1.728706       -83.888866      -7.666065       12.850035       
rwgt56          5.679703        -35.518741      -16.400382      17.567348       11.557353       4.539052        -0.306819       -4.97569        15.594297       -1.126674       -23.709794      21.619167       42.293417       95.484376       24.038689       -14.272273      
rwgt57          -0.282707       -17.317348      -1.912806       -13.287263      -15.204825      -6.661334       7.06265         8.291027        -23.252015      -1.20602        -14.498702      32.504627       51.328847       -100.6727       16.847909       8.747503        
rwgt58          5.365764        24.536982       49.183418       2.034602        20.181067       -21.006134      -3.76887        21.178323       -17.608284      2.358104        -4.102639       -29.78291       -43.535002      -138.023277     11.224118       4.440833        
rwgt59          6.151848        6.68308         -15.924316      -13.646939      -13.055064      -7.028786       -1.715757       -9.816976       0.644586        -0.404947       12.416891       -34.742961      3.374468        -86.189516      -19.277278      -6.616739       
rwgt60          -8.948422       68.914515       -1.194087       8.547975        20.794967       -8.336813       2.551479        5.656735        13.108223       -1.78362        -23.987743      2.318204        43.101818       89.464551       19.196347       0.482249        
rwgt61          4.681465        67.792351       -6.02083        -4.711118       -10.228968      -17.50381       -2.921264       0.228451        -8.246697       0.171542        2.418552        51.325392       -37.695661      -66.818009      -11.452358      -12.904585      
rwgt62          -8.450535       52.134456       27.370854       -2.935929       -8.306476       11.454297       6.860609        -1.219777       19.775477       -3.056792       1.877166        -15.053729      26.915375       -11.996525      -15.860273      9.744895        
rwgt63          3.100669        21.221526       35.47797        7.142326        12.141924       23.854813       -2.605669       19.19237        15.257232       1.987746        -19.787988      24.858342       -38.148173      14.375557       -14.419427      17.662435       
