                    ctW                 ctp                 cpQM                ctei                ctli                cQei                ctZ                 cQlMi               cQl3i               ctG                 ctlTi               cbW                 cpQ3                cptb                cpt                 ctlSi               cQq13               cQq83               cQq11               ctq1                cQq81               ctq8                
MGStart             -3.82               51.5                23.0                8.938               -7.0                8.968               5.727               6.952               9.243               2.43                2.116               -7.37               -14.4               -21.8               -20.3               -9.99               3.0                 -4.0                15.0                -12.0               15.0                -8.0                
rwgt0               -3.46548517504      36.7905285558       1.77380320456       -2.94539404047      6.5372106456        -1.09470914301      -2.70215971981      -7.20468023214      -1.54916453464      -1.06771636699      2.76171052323       -10.0492898116      -23.6997288961      -34.8376339663      -31.7651483127      16.1142885072       -2.32958285603      -4.14557564117      -13.0246716801      6.60798083001       -6.84707927774      9.60727753785       
rwgt1               -2.88833985429      -81.8755093552      17.5840247701       -3.22416011016      11.2988237107       -2.66083562724      -1.41857998403      -7.8671305015       2.1073505905        3.73684671193       1.75903742265       -12.8698063644      -20.7547690339      15.5413430212       3.56521472          -5.18417187191      2.07578089028       1.74206396947       0.0297602460418     15.0629718107       -24.111840254       -5.40884896177      
rwgt2               -6.13193801515      16.7685945897       36.0160482778       -10.005498514       2.56412882531       -0.713950210703     7.01785678406       2.58596984765       11.0085543892       -0.589715384445     -1.92001175908      8.67400504542       11.2298035985       6.03365617647       4.7501163585        -3.11175592173      -3.47733527609      -4.98284692239      6.893225101         1.21556457765       -5.72032419659      -3.35777783307      
rwgt3               -4.41947176429      -7.31363778328      40.7745268645       11.5140202592       1.88065839818       -15.8055840103      5.40496727003       -11.3641783228      -12.0372139356      -3.10470591727      -1.85704897481      -9.38656612493      -22.8350759075      -30.3472873259      5.44211951423       17.1761005026       3.50664703596       6.71427469072       22.3765763742       5.10844038904       -21.6448906713      4.95374328151       
rwgt4               4.80991370215       32.5636753591       -38.4426933613      13.234696176        -9.57760623553      -9.82226012086      -2.74923604523      10.5254697978       -12.3604262333      0.12501751257       -1.76440194173      9.08420631234       -18.6767832269      11.5559848357       -1.24836597667      -14.6743808089      -3.27421300562      -1.58581328708      -2.37885252113      9.74824814289       8.18050262171       9.6213124564        
rwgt5               -5.70558827697      63.008247643        -21.6907035744      -14.1472536538      0.56756388995       -11.7771876048      5.10580203297       -9.74877819732      -1.78447959575      0.473887541688      -3.05626357048      0.46720078851       -21.1466234227      -3.1264860355       -19.020826042       9.95180327236       2.20374184233       4.40304376653       1.5882519137        -5.68064503447      0.469159974155      -3.51493539158      
rwgt6               -3.90140510797      64.7587043869       2.23026227049       6.72836704893       -3.51244751123      13.3963486094       -10.1277221215      -2.13380277304      9.27607206966       4.2019390889        -3.49017234977      5.34413275187       17.9790611849       11.616796116        -12.4374498146      1.06249301341       2.44550727521       -0.979921337389     5.85124416471       14.2899910442       1.56861072694       -2.4489172006       
rwgt7               -4.69212551795      -60.3092531284      -9.09543420147      3.16404154048       9.22746714924       -15.9354683189      -5.96830378322      -10.0705070597      -3.21109009764      -3.76053270153      -1.00342174286      9.0701885318        21.3206292894       -18.4081869121      9.6696428041        -13.1167718631      4.43589282391       2.89062330753       22.8566691404       7.16897131203       6.02746521644       7.64279677981       
rwgt8               3.82581239174       -56.9954036227      22.9792991652       -4.1685222297       10.3509046056       10.4606666716       7.08884481769       -4.65813025432      12.2497275831       3.34279102232       -3.56497962141      1.2178474439        -19.9552392913      -23.9102866557      26.8469316485       -4.54199171532      -2.52519770955      -6.4352979986       11.9630255484       1.97048255804       -23.5342466286      -5.45026493287      
rwgt9               2.67675999698       -25.9277748279      -2.38656487051      -3.98131832         -2.95287378344      -11.1002067879      6.25407480779       -1.27360735938      9.67265723826       -3.67533218833      -0.618227361756     4.79526785229       10.8258714044       -27.9226027409      -24.179322603       -3.1211315853       -1.65368311998      -6.2292241048       24.9904236527       15.7335540716       -4.50226239568      4.84866384806       
rwgt10              -3.80326360913      -18.0090594447      -38.7735627126      -9.11316322942      7.46126685024       -5.84183279194      -0.609931926638     -10.1936933791      8.91289331359       -2.54027711642      -0.365206733902     -3.61926379465      9.75970156627       10.5422279033       16.3701806658       14.4511816098       -3.82733441925      -1.66704002051      10.2721424209       14.6324349964       -5.23091330446      -11.2066464701      
rwgt11              -6.16448710557      -38.7395480914      -25.2759033095      2.21220413855       -0.52853046539      14.0484914275       4.86911741489       7.70008210358       -15.1424815366      3.51784559419       -1.35021392049      -2.88698003613      18.8244175454       2.88507962313       -6.23910219916      -6.99851925342      -4.40722366656      6.10867022183       -11.7244359449      -19.351877917       -3.83131585607      -13.7445516992      
rwgt12              -4.18653625713      -31.2331541946      30.2327011442       6.68325680459       3.58405110158       1.37285336916       9.25584092856       -7.60425817207      -3.18753439473      -1.55867343336      1.49486563246       4.98001737799       -8.73107503067      34.454785327        22.6497494452       -0.686322502468     0.835544753315      2.91767461984       -22.2114756771      15.8917116709       14.9834257459       12.8325287057       
rwgt13              0.615903651579      54.3766818533       -21.059923349       -15.2794943031      0.747556196607      0.989004465573      -2.60416019532      1.39504094688       16.007781373        -2.87555384714      -1.32959118798      -5.2695611017       4.64380589971       -1.98032489477      -2.3433357479       -6.4299512255       2.24587060966       2.57186293761       -21.0244811572      10.9554059413       8.88255847624       11.7205602296       
rwgt14              1.85832685093       1.49171216313       38.749094664        5.47746997756       7.19667345154       2.5934352532        6.01054996886       -4.21260101803      14.5499866111       -3.37871347177      -1.36719520449      -4.7457481201       -25.3776238411      12.9349057184       -4.15510316753      1.98522004868       -1.47088109877      1.25898934095       10.5577868539       -13.176009799       -2.3472702531       -11.4912170635      
